	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	192.067133	984088.463330367	129.0	0.005921563681514725
1	192.975129	940518.291420526	131.0	0.0056593885243083
2	194.459601	247955530.04955	26.0	1.4920248697999747
3	196.801129	576900.634782803	146.0	0.003471388979819596
4	197.049395	37944038.5207279	36.0	0.22832097804901136
5	197.995579	1174805173.78372	20.0	7.069164926891184
6	198.98548	738643763.744404	25.0	4.444647252711305
7	199.018009	6117570.02201691	75.0	0.0368113048890985
8	199.953361	1678165.3398215	112.0	0.010098038233507623
9	199.969754	4314438686.62733	6.0	25.96130773283715
10	201.298041	21075553.0514287	45.0	0.12681810037161315
11	201.558222	146933683.750135	27.0	0.8841452752544638
12	201.689673	122499445.143578	28.0	0.7371169284040247
13	202.219147	983623.466256581	130.0	0.005918765650761652
14	202.548775	813185284.306969	23.0	4.893186563328125
15	202.713416	4043683.12891316	94.0	0.02433208806725689
16	202.994908	3017566.16784024	100.0	0.018157625957303445
17	203.103598	28367070.455325	38.0	0.17069340858925444
18	203.384242	763518.142585759	140.0	0.004594324059051182
19	203.585327	2724871420.14206	9.0	16.39639142166617
20	203.692001	5394802.34565577	82.0	0.032462188948821386
21	203.712668	2704151645.81769	10.0	16.271714151583
22	204.380148	3216914330.72184	8.0	19.357165313045364
23	204.767825	2871307.71257153	101.0	0.01727754373999684
24	205.425263	6095558.05992325	78.0	0.03667885212682185
25	205.441739	7434323.05317968	71.0	0.04473461383682294
26	205.497836	2449122919.50251	14.0	14.737127679163446
27	206.242011	9617512.57896645	61.0	0.05787153829787343
28	206.626109	6103264.32095109	76.0	0.03672522307529155
29	206.993487	1673533.45531881	113.0	0.010070166756429966
30	207.866153	26775860.0393954	41.0	0.16111860494128866
31	208.005953	1362440.13945372	122.0	0.008198222363794324
32	208.291535	22228968.8738093	44.0	0.13375855897670555
33	208.527476	3748893.53768637	95.0	0.022558248212260934
34	208.530956	73365868.1764136	32.0	0.44146504775191353
35	208.791817	27761884.9182294	40.0	0.1670518206318919
36	208.796987	20497475.752433	47.0	0.12333963104045514
37	209.363705	8045907.05580052	69.0	0.04841470333391847
38	209.479321	1350742.20293606	123.0	0.008127832273255904
39	209.619052	682699.588388307	143.0	0.004108013901823478
40	209.830677	6063319.50832791	80.0	0.03648486282262296
41	209.839724	20961252.1786004	46.0	0.1261303167804765
42	209.874108	1617156.56652344	116.0	0.009730929635371078
43	210.479586	1115876046.75913	21.0	6.714570201543779
44	211.129323	5304892.99820741	83.0	0.031921176685882
45	211.209946	2337001210.88687	15.0	14.062456790937759
46	211.252195	531827.107760553	147.0	0.0032001676714125634
47	211.730874	78138204.3136504	31.0	0.4701816656163328
48	211.837484	1631859.98656478	115.0	0.009819404646871772
49	212.297858	2510093579.70436	12.0	15.104006939049706
50	212.510507	18719899.8300711	51.0	0.11264340868319785
51	212.526686	2777612.08614477	103.0	0.016713748269122374
52	212.604362	2474734976.07433	13.0	14.89124331983596
53	213.008459	4746475.59207671	92.0	0.028561006991301284
54	213.125595	841825.24537052	135.0	0.005065522038840132
55	213.43403	102501672.545745	29.0	0.6167841653048963
56	213.539887	1434285.89300976	121.0	0.008630540413219196
57	213.598004	16618726340.8546	1.0	100.0
58	214.470358	625555.090880283	145.0	0.0037641578424843026
59	214.549206	4694250.26051596	93.0	0.028246751070061624
60	214.691894	6102066.27336108	77.0	0.03671801405358052
61	214.894587	6081149.55528443	79.0	0.036592151712221486
62	214.898283	2551140262.29027	11.0	15.350997482994115
63	215.180815	19812944.3427054	49.0	0.11922059450487671
64	216.13199	19795092.0946777	50.0	0.11911317202458825
65	217.498126	39308888.7868083	35.0	0.2365337028877682
66	217.940994	3681141275.2514	7.0	22.150561960948092
67	218.142461	1518400.5489141	119.0	0.009136684230616062
68	218.28578	2806211.09621609	102.0	0.016885837329888805
69	218.93693	524582.238346493	148.0	0.0031565730585314936
70	218.962971	1923873865.94086	17.0	11.576542187901065
71	219.226753	7957012239.3075	3.0	47.87979581652055
72	219.568192	40256936.5046209	34.0	0.24223839829202415
73	220.050822	8535698.76739962	66.0	0.05136193106697899
74	220.980507	16126820.6190185	52.0	0.09704005161558725
75	221.026693	2111466827.67378	16.0	12.705346874164846
76	221.27473	5658994.09332602	81.0	0.03405191214572351
77	221.51055	27865210.7742889	39.0	0.16767356416349752
78	221.810772	4499832004.68303	5.0	27.07687648493784
79	221.851209	10972467.9371746	57.0	0.06602472242533089
80	222.469062	5226572.59006664	84.0	0.03144989864366386
81	222.677999	15195515.8333647	54.0	0.09143610359603098
82	222.886745	1473877329.75934	18.0	8.86877429430941
83	222.985346	15502344.747826	53.0	0.09328238777069127
84	223.014604	4927433.62502332	89.0	0.029649887265487833
85	223.039901	2060463.78412489	110.0	0.0123984458367279
86	223.095279	9232627.49293537	64.0	0.05555556607390763
87	223.158204	6540581.52341582	74.0	0.03935669550882969
88	224.214217	809850.177208843	137.0	0.004873118195694396
89	224.261764	5161539370.08731	4.0	31.058573709096184
90	224.271791	1495732.96992432	120.0	0.009000286419346644
91	224.309395	1669574.37501959	114.0	0.010046343749672297
92	224.70017	8404746905.49694	2.0	50.57395334102802
93	224.896667	8515698.29482397	67.0	0.05124158205728093
94	225.185601	355470.920740768	156.0	0.002138978122931702
95	225.498778	4873156.49931797	90.0	0.029323285066305348
96	226.321318	5210178.6054122	85.0	0.03135125098367961
97	226.378578	13493407.1079166	55.0	0.08119399062938486
98	226.536424	3479314.97493174	98.0	0.02093611088822358
99	227.474107	432874.926441847	154.0	0.0026047418891403857
100	227.625797	789279885.456887	24.0	4.749340408335403
101	227.833737	3653237.43772376	96.0	0.021982655967700927
102	228.664494	8510796.74422164	68.0	0.05121208791614281
103	228.941619	467655.752398557	150.0	0.0028140288419630376
104	229.10011	4844060.84743615	91.0	0.02914820755864886
105	229.436758	848068356.807667	22.0	5.103088765128893
106	229.948891	1060750.09425886	127.0	0.006382860349840216
107	230.95189	515317.491132171	149.0	0.0031008242181913884
108	233.617057	2447305.52779989	107.0	0.014726191872981043
109	234.873311	912815.770222655	133.0	0.005492693913483833
110	235.501447	2613257.15558055	104.0	0.015724773980760824
111	235.664033	72852403.5051794	33.0	0.43837537252227865
112	236.268143	204171.145843338	172.0	0.0012285607311639426
113	236.415386	184132.218286535	174.0	0.0011079803259884848
114	236.988902	1393273917.55632	19.0	8.383758712791176
