	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	338.5014	1740178928.00276	7.0	19.558456993881002
1	340.77925	2285005491.25044	5.0	25.681946213827953
2	346.09661	1287109796.48767	12.0	14.466260449377822
3	349.44896	1262707531.34536	13.0	14.191995173744974
4	353.17052	8897322158.63034	1.0	100.0
5	353.6018	3035833743.31272	3.0	34.12075778742014
6	363.02382	978016810.096161	15.0	10.992260285275739
7	364.53965	3104150690.77697	2.0	34.88859496636261
8	369.48115	1089050994.11017	14.0	12.240210871242848
9	375.73674	960417606.542832	16.0	10.794456909838132
10	387.21038	1618972140.81279	8.0	18.196173095096913
11	389.85292	1495625881.77692	10.0	16.809842951748955
12	394.46798	2037307469.99974	6.0	22.897984738290788
13	396.83853	2718483123.02129	4.0	30.553947295078892
14	400.04502	1567031839.63477	9.0	17.612398558759164
15	407.79651	1296695877.40593	11.0	14.574001641023463
16	410.33047	600937011.219474	17.0	6.754133440437124
