	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	323.05829	5395013119.55245	2.0	72.77160809230777
1	326.47805	2647717160.68169	5.0	35.714210751055546
2	331.24259	1664766594.06886	7.0	22.455504641811707
3	337.27522	7413623610.88558	1.0	100.0
4	339.19865	1360615732.5037	8.0	18.352910855979783
5	349.91027	2785936842.02282	4.0	37.578611867105984
6	361.65658	1022026248.74986	10.0	13.785785499673835
7	369.26494	2847936097.77983	3.0	38.41490001728905
8	383.04818	954269979.41147	11.0	12.871842832839468
9	389.62343	1206213643.53736	9.0	16.270230414263963
10	390.63122	1970449796.08539	6.0	26.578767678360915
