	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	272.7783	5629769883.04498	9.0	19.553610648574526
1	281.393	4342082773.76634	10.0	15.081148559519404
2	290.6669	2804946798.87604	11.0	9.742287648446919
3	368.8433	1730410996.11994	12.0	6.01015380433996
4	372.4931	7881092348.49617	7.0	27.37302136132847
5	381.9672	28791459460.9942	1.0	99.99999999999999
6	390.7107	12066631897.3162	6.0	41.91045581994101
7	393.0499	13365479152.3604	4.0	46.42167990986198
8	397.1972	14617618882.0051	3.0	50.77067698429323
9	412.9725	14884337332.8253	2.0	51.69705743118077
10	420.504	12526560586.5381	5.0	43.50790415299615
11	443.558	6317624158.15565	8.0	21.942702024934086
12	452.258	1624026869.64812	13.0	5.640654902709264
