	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	320.2761	0.0003316109318829	26.0	0.4046137245545788
1	350.139	0.000824272526294	17.0	1.0057327574158463
2	350.1449	0.0018590156715694	12.0	2.2682703812208493
3	350.1572	0.0014412269063198	15.0	1.7585071251518587
4	350.284	0.0006223068206599	21.0	0.7593051263214541
5	350.2964	0.0024058929526142	10.0	2.93554046276314
6	350.3109	0.0038527143685212	8.0	4.700873705945186
7	350.5368	0.0002735366479619	27.0	0.33375462414828255
8	350.5513	0.0019149574527311	11.0	2.33652751709249
9	350.5628	0.0074128007388249	6.0	9.044698554678563
10	353.5188	0.000192114209798	29.0	0.2344073686740751
11	353.6869	0.0004128323312999	25.0	0.5037156834226064
12	353.8505	0.0001402980886772	36.0	0.17118414005608273
13	354.1768	0.0007845457757198	18.0	0.9572603249088445
14	354.4413	0.0001429574881097	35.0	0.1744289954152002
15	354.6056	9.67972939525831e-06	41.0	0.011810682298854179
16	364.0884	5.06834398484658e-06	42.0	0.0061841192188342295
17	364.0961	3.40348757039014e-07	46.0	0.00041527514624187847
18	364.1864	3.39753603519565e-07	47.0	0.0004145489721051613
19	364.1941	3.54142459876604e-06	43.0	0.004321054764388551
20	364.2033	3.33979615631836e-07	49.0	0.0004075038643594008
21	364.2685	3.35386351004963e-07	48.0	0.000409220286781158
22	364.2776	2.67479321763535e-06	44.0	0.0032636380231968265
23	384.7086	0.0819574106755661	1.0	99.99999999999999
24	384.9985	0.0586390286320707	2.0	71.54817135963118
25	385.1668	0.0352175325354671	3.0	42.97052852838172
26	402.4726	0.0270289813877186	4.0	32.97930127967883
27	402.501	0.0054065883779728	7.0	6.596826734040125
28	402.5491	0.0162237986692834	5.0	19.795401703826876
29	410.3075	0.0016599546076882	13.0	2.025386836901475
30	410.3213	0.0005497626162774	22.0	0.6707906115453941
31	410.3506	0.0030923984611093	9.0	3.773177355920585
32	410.3713	0.0007372388051301	20.0	0.8995389179003095
33	410.387	0.0005496187345685	23.0	0.6706150548657552
34	410.4008	3.6859292269929e-05	38.0	0.04497371496500662
35	410.916	0.0014445900197869	14.0	1.7626106143169973
36	411.272	0.0001804174418291	31.0	0.22013560499525114
37	411.2969	0.0001809111768664	30.0	0.2207380337850704
38	411.6535	0.0007746618384827	19.0	0.945200479245557
39	411.699	0.0001743375978923	33.0	0.21271730824004076
40	411.8752	0.0001742051089477	34.0	0.2125556523952454
41	411.9207	0.0005033708680203	24.0	0.6141859093290872
42	429.9165	0.0011267988240029	16.0	1.3748589843368877
43	444.6527	0.00012065771897	37.0	0.1472200231503551
44	444.6689	2.24770395137827e-05	39.0	0.027425267987979226
45	444.6721	0.0001792061423388	32.0	0.2186576428679519
46	444.7117	6.30766387540343e-07	45.0	0.0007696270323098348
47	444.7148	2.24629178589507e-05	40.0	0.027408037508495315
48	444.7188	0.0002590503090089	28.0	0.31607917682315273
