	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	474.18054	2746778.38481134	7.0	4.759059430786085
1	481.46084	4476214.73931653	5.0	7.755475318709104
2	482.40972	504768.243503358	10.0	0.8745598417729565
3	513.17516	15286641.6550392	4.0	26.48558636391719
4	517.84615	1036493.92143624	9.0	1.795826048085925
5	517.86474	21262477.3736462	3.0	36.83930018761844
6	589.33885	57716833.0162592	1.0	100.0
7	602.10412	26966377.8312981	2.0	46.72185984927742
8	633.63765	1897909.57328586	8.0	3.2883120471132
9	648.41813	3582842.06449841	6.0	6.20762068405434
