	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	273.3184772	4.90211684153489e-17	18.0	1.4706468514224162
1	273.3195173	2.99161797465868e-17	25.0	0.8974925929576458
2	273.3199647	2.64812531338801e-18	43.0	0.07944439678199697
3	273.3211384	1.49603599706641e-17	32.0	0.4488143999463362
4	273.330886	9.41135329807014e-17	14.0	2.8234286417165793
5	273.3309064	8.82268439425149e-17	15.0	2.646826553696964
6	273.3314467	9.80318158628249e-18	33.0	0.2940978071276341
7	273.3329344	5.29795574116959e-18	39.0	0.158939947406207
8	273.3330439	1.22618155058823e-18	49.0	0.03678574164870814
9	273.3349389	1.34438321389991e-16	13.0	4.0331819998154135
10	273.335209	6.7214504723291394e-18	37.0	0.2016451319635933
11	273.3357457	2.2061652613847003e-18	44.0	0.06618548884601956
12	320.2946921	1.46921652942242e-16	11.0	4.407684951010511
13	320.2961177	8.51273571795974e-17	16.0	2.553841204790371
14	320.2982222	7.83901306791265e-18	35.0	0.23517227881853742
15	320.2999646	4.25716391609602e-17	20.0	1.2771594214460698
16	320.3111934	3.3054914359403004e-16	7.0	9.916553868078104
17	320.3112204	2.64428571865187e-16	8.0	7.932920801575626
18	320.3125027	2.93813981654989e-17	26.0	0.881449016807809
19	320.3160332	1.56829982669486e-17	31.0	0.4704937227675219
20	320.3163143	3.8891064418704395e-18	41.0	0.11667412932965869
21	320.316489	4.72178873894311e-16	5.0	14.165479866110777
22	320.3171302	2.3608267696895402e-17	27.0	0.7082537132082278
23	320.3184037	6.997033874577739e-18	36.0	0.20991270036154036
24	468.537685	7.08998199359903e-16	4.0	21.270116630396977
25	468.5407226	3.7050778854898003e-16	6.0	11.115322834419258
26	468.5524404	3.69880056404553e-17	22.0	1.109649071899687
27	468.5568006	1.85302109150589e-16	9.0	5.559107875097494
28	468.570385	2.33348287630735e-15	2.0	70.00504793792364
29	468.570438	1.27608253527375e-15	3.0	38.2827831999997
30	468.575708	4.20129143492397e-18	40.0	0.1260397542614331
31	468.5757975	1.41789616513327e-16	12.0	4.253722622907254
32	468.5804092	3.3333065900855405e-15	1.0	100.00000000000001
33	468.583089	1.66663122746413e-16	10.0	4.9999337967329325
34	468.5884123	3.78178456200717e-17	21.0	1.1345444710233272
35	468.5905553	7.40017059857631e-17	17.0	2.2200689911294367
36	468.5917885	2.1020478963224802e-17	29.0	0.6306194283402345
37	655.976872	9.377991531841459e-18	34.0	0.28134200315491525
38	655.979395	5.8156527253217794e-18	38.0	0.17447098153586094
39	655.98544	7.79375258322273e-19	51.0	0.023381445338404125
40	655.988733	2.9083930616485798e-18	42.0	0.08725249187396061
41	656.005227	2.35154889755372e-17	28.0	0.7054703292364637
42	656.005274	1.68797471319365e-17	30.0	0.5063964767640329
43	656.008387	1.87550820222536e-18	45.0	0.056265697485007815
44	656.01416	3.4553644807654503e-17	23.0	1.0366176609865274
45	656.014176	3.35934126683853e-17	24.0	1.0078104656890627
46	656.015732	1.6796334205041e-18	46.0	0.05038940688804137
47	656.016955	1.55920548974548e-18	47.0	0.04677653997934427
48	656.017657	6.14838340902337e-19	52.0	0.01844529821322433
49	656.018478	4.47893086471673e-17	19.0	1.3436900398057263
50	656.018823	1.10631046649438e-18	50.0	0.03318958027398222
51	656.019412	1.2797054685927199e-18	48.0	0.038391472071576824
52	656.02096	3.9996891400876604e-19	53.0	0.011999163689245335
