	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	190.26082	14307.2980691706	123.0	2.9751358037015075e-05
1	190.46997	1262916.54327312	19.0	0.0026261759605576028
2	191.59442	19094.5864288195	112.0	3.9706300565349894e-05
3	192.5098	10514.4120905785	137.0	2.1864228811279344e-05
4	192.76003	424290.29978075	26.0	0.0008822918596775502
5	192.90423	24451.3798314398	96.0	5.084550222880666e-05
6	193.4593	281548.547571077	33.0	0.0005854670534640137
7	194.02177	405981.334823555	27.0	0.0008442192222658487
8	194.22729	48089563008.7548	1.0	99.99999999999999
9	194.74908	24496.7665517218	95.0	5.093988179360689e-05
10	194.86219	625733.33515734	20.0	0.0013011832422836198
11	195.30662	42921.2748611492	71.0	8.925278620921404e-05
12	195.73227	1483526.05025239	16.0	0.0030849231255902893
13	195.77622	15156.0978807946	118.0	3.151639759761469e-05
14	196.77719	11561.5320154747	131.0	2.4041665783841496e-05
15	197.34791	266716.3132019	35.0	0.0005546241149110541
16	197.37938	94049255.600581	4.0	0.19557103395482955
17	197.80376	12052.8392996567	130.0	2.5063316332199686e-05
18	197.88015	534874.159414943	22.0	0.001112245830384377
19	198.15142	41648.6168445876	72.0	8.660635330997994e-05
20	198.78423	17736273.7857931	10.0	0.036881752871333384
21	200.46684	87434.9232775372	52.0	0.0001818168388463407
22	201.51697	9788.83834953789	141.0	2.035543210853426e-05
23	201.72481	13907.0745283926	125.0	2.8919111878518818e-05
24	202.22916	60282.057883942	62.0	0.00012535372357816503
25	202.23291	229058.224755512	38.0	0.000476315879006452
26	202.68598	47186855.7581867	8.0	0.09812286243814743
27	202.95695	21500.1740376369	103.0	4.470860763222729e-05
28	203.17474	4259.15050355951	170.0	8.856704526061349e-06
29	203.77279	10379.5782494374	139.0	2.1583848136752202e-05
30	204.22672	61116.2589356792	61.0	0.00012708840569949215
31	205.28241	247485727.90633	2.0	0.514635011054841
32	211.64243	19748.9894817693	111.0	4.106710114661253e-05
33	214.80036	4463407.21044766	12.0	0.009281446807148337
34	218.08873	21070.6245609519	106.0	4.3815379559834944e-05
35	218.3157	12850.3327905196	128.0	2.6721666795308937e-05
36	219.01688	4521.96185402941	169.0	9.40320845337309e-06
37	219.07421	2226239.28613579	13.0	0.004629360607270436
38	221.62642	17452.9775192786	114.0	3.6292651517962956e-05
