	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	193.05325	14630552.1607564	8.0	1.246589817281227
1	193.618757	120918910.633188	5.0	10.302843054439977
2	196.670862	220936719.198637	4.0	18.82481682101488
3	197.732787	333008636.208488	3.0	28.37385564146389
4	199.6968	54327.9135629289	67.0	0.00462898618572578
5	203.9748	161824.912527772	42.0	0.013788221109019063
6	207.857186	492624809.516199	2.0	41.973882088346876
7	210.3886	47204.3880441382	72.0	0.004022029300073397
8	216.6888	27973.9559081931	90.0	0.0023835087152599068
9	219.2591	8975.02558062181	133.0	0.0007647131410837507
10	219.6837	13204.2965958386	120.0	0.001125066333783712
11	220.2756	18598.0743097495	108.0	0.0015846408119688281
12	220.5292	106279.351698237	52.0	0.009055485818890856
13	224.5208	21065.5305140376	105.0	0.001794879341933777
14	224.95515	3942.16070809631	162.0	0.00033589008417471406
15	224.965	29440.5954582577	86.0	0.002508473098602629
16	225.5805	42401.9316537562	77.0	0.003612838097416979
17	230.606448	1173646050.84495	1.0	100.0
18	231.32164	25084.9072921665	98.0	0.002137348587685953
19	232.3405	17771.6322431207	113.0	0.0015142241760474774
20	232.7959	25682.1444591965	96.0	0.00218823592008059
21	233.4584	38357.5044574251	79.0	0.003268234441704989
22	235.07423	6938912.61731436	11.0	0.5912270238815858
23	237.5956	21339.9854014892	103.0	0.0018182641509444672
24	238.2626	381946.688887672	35.0	0.03254360108081093
25	244.7893	38145.808097633	80.0	0.0032501969456779976
26	245.2912	58606.8340469394	63.0	0.004993569739764918
27	245.30571	7232.44646320385	140.0	0.0006162374472266959
28	246.0198	81826.2585308897	57.0	0.006971970678210865
29	246.0986	6903.53916058349	143.0	0.0005882130439252435
30	254.9977	3554.7797354182	166.0	0.00030288345731312996
31	255.44164	857863.96003315	22.0	0.07309392464751557
32	255.8956	18384.1958401365	110.0	0.0015664173902260447
33	258.35288	3742.78349732395	164.0	0.00031890223586824885
34	259.8753	90513.4041937075	56.0	0.007712155136426663
35	262.34193	6143.12654661191	146.0	0.0005234224187257524
36	265.0304	12473.4379857506	124.0	0.001062793844598252
37	266.2628	25850.9601163764	95.0	0.0022026197845394155
38	266.2962	8379.55231066073	135.0	0.0007139761007697329
39	266.8671	95748.2341624743	55.0	0.008158186541295112
40	267.4571	141124.191580873	44.0	0.012024425207180021
41	267.481	18044.2718180764	111.0	0.0015374543121485116
42	268.312	209046.02604034	40.0	0.01781167549533697
43	268.4174	17762.4465984737	114.0	0.001513441517200682
44	269.11362	9673.17953500085	127.0	0.0008241990443402234
45	270.4489	46279.0005285265	73.0	0.003943182060316105
46	270.5019	8397.13808522179	134.0	0.0007154744890230226
47	273.44464	17453.2911987597	115.0	0.0014871000661736517
48	274.9733	850102.657373286	23.0	0.07243262623865744
49	275.2772	44839.6532525957	75.0	0.0038205431032902995
50	280.53432	13352.0418777964	119.0	0.0011376549061093662
51	281.89931	28449.2004292989	88.0	0.00242400171745283
