	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	194.8065	279039434.124963	19.0	6.364740971472044
1	198.7992	293457370.679045	17.0	6.693606430211308
2	199.3699	87256532.1004701	50.0	1.9902750542409609
3	199.7174	145174523.974025	35.0	3.311353621573182
4	202.2824	146566952.198288	33.0	3.3431141682378223
5	202.8658	194956801.708782	26.0	4.44686087969682
6	203.1654	25679656.1462928	78.0	0.5857392884993736
7	204.4189	1959859688.73886	3.0	44.7033563495058
8	204.4832	289094709.23264	18.0	6.594096444679441
9	205.1158	1835250287.4704	4.0	41.86108223089937
10	207.0512	168556014.842606	29.0	3.8446729833043696
11	208.0631	150867572.08832	32.0	3.4412090188909237
12	209.0792	110039477.39447	43.0	2.5099419099965106
13	209.7283	52306000.2809483	61.0	1.1930720261312244
14	210.996	89181961.0792514	49.0	2.0341930644223485
15	211.3854	100628696.203185	47.0	2.2952869999850956
16	211.8903	21143339.4237048	86.0	0.48226831854714974
17	211.909	21884644.6737481	85.0	0.4991770967351278
18	212.6809	4208365009.83126	2.0	95.99056593910346
19	213.2544	165755043.102785	30.0	3.7807843087581388
20	215.2704	1828703383.4258	5.0	41.71175083428286
21	217.8972	195471796.73011	25.0	4.458607642023189
22	219.6436	125236962.405348	39.0	2.8565884541145343
23	219.7513	363126241.868016	11.0	8.282716300230868
24	220.495	246604053.075216	21.0	5.624907193712229
25	221.9229	331792226.337976	14.0	7.568004083765169
26	222.1074	177743833.166761	28.0	4.054242228990277
27	222.4794	64886233.6672527	54.0	1.4800204537453447
28	223.6255	56074190.9054068	60.0	1.27902244862623
29	224.063	30526212.8998686	73.0	0.6962866684307497
30	224.2679	4384144388.21108	1.0	100.0
31	224.4226	32587704.403445	72.0	0.7433081923823726
32	224.5746	432641272.463362	8.0	9.868317148192702
33	225.1738	145334412.722751	34.0	3.3150005988295863
34	225.5458	115092948.559617	42.0	2.625208897524014
35	225.7468	132304506.648856	37.0	3.0177953765533245
36	226.0659	59959397.2744249	57.0	1.367641937972096
37	226.5157	102240917.007379	46.0	2.3320608984116444
38	227.5656	208085914.906712	24.0	4.746328963668554
39	229.6289	13772176.0102139	92.0	0.31413600444472456
40	229.7125	104114580.472345	45.0	2.3747981647755045
41	230.0902	153481014.453323	31.0	3.5008202482115305
42	231.4903	248431015.422472	20.0	5.666579232438159
43	231.7438	94674876.5476621	48.0	2.159483542609634
44	232.469	356377118.91685	13.0	8.128772397988179
45	232.9417	209549389.394838	23.0	4.77971003779698
46	235.7935	142219936.935013	36.0	3.2439610638153473
47	236.8045	1429498975.66618	6.0	32.606110772950096
48	238.1799	420521165.669378	9.0	9.591863963243437
49	238.6556	227186635.175655	22.0	5.182006226495587
50	239.1265	131187476.216934	38.0	2.992316506949356
51	240.1168	24142455.526011	80.0	0.5506765605377829
52	241.0239	49208773.8287588	62.0	1.1224259392797533
53	242.6299	43447575.625445	66.0	0.9910160747049094
54	244.9603	10245075.5296398	100.0	0.23368471980960995
