	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	425.058	1021.12260174757	18.0	2.8459100145460465
1	429.2923	12661.3189984664	5.0	35.28760843549059
2	435.5477	35880.3544921799	1.0	100.0
3	443.1685	9219.12546936639	7.0	25.69407576888822
4	443.6812	6774.73972817414	8.0	18.881473787140788
5	457.72	5833.88648150314	10.0	16.25927771358734
6	458.2839	836.435642177668	19.0	2.3311799841887537
7	461.5292	5328.6183499572	11.0	14.851074983438552
8	461.9166	12006.3487639432	6.0	33.46217988609889
9	463.388	3413.99137089263	12.0	9.514932110374517
10	465.8876	13121.4202210607	4.0	36.56992916254634
11	473.9002	23664.7735178741	2.0	65.95468147627086
12	476.2435	3189.81757559432	13.0	8.890150670862349
13	476.5744	15900.1392939664	3.0	44.314331669805064
14	481.1764	2000.35141098564	15.0	5.5750603339819715
15	482.5185	1473.27711555408	16.0	4.10608294261747
16	483.2077	5902.42277795018	9.0	16.450291145358136
17	520.8333	2528.0086639965	14.0	7.045662451711502
18	530.8677	667.115856372564	20.0	1.8592788890030658
19	740.705	1394.53721307056	17.0	3.8866316478966185
