	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	362.8822	388156553.379701	43.0	2.9612456476543896
1	364.5414	1595060696.29169	22.0	12.168715183375697
2	366.2075	231436452.380807	52.0	1.765628278986768
3	371.3545	829231291.676197	28.0	6.326204032868408
4	375.9079	4590156986.00499	9.0	35.01829939107374
5	379.0823	5911997388.71264	5.0	45.102617446069274
6	379.4774	7965920104.9344	2.0	60.77199015425202
7	384.0713	767539735.993033	29.0	5.855559265510601
8	384.9006	2228890991.23783	17.0	17.00420536360902
9	387.1635	4092819007.71328	11.0	31.224108849122747
10	388.6372	2398876641.98852	14.0	18.301025587475692
11	391.6042	1553894814.69362	23.0	11.854660746698716
12	392.1541	1789524982.05071	19.0	13.652282869697368
13	392.9211	2564787354.76377	13.0	19.566758116856295
14	393.6218	292023197.324244	49.0	2.227844447198143
15	394.9102	13107880924.6089	1.0	99.99999999999999
16	398.8515	6870670074.85739	3.0	52.41632964454467
17	399.5745	4602765494.71277	8.0	35.11448968132966
18	402.5874	198174839.932689	56.0	1.511875497439354
19	403.1686	3818170167.13328	12.0	29.128813338279564
20	406.738	592971123.736332	35.0	4.523775636556788
21	407.6703	109793643.124468	68.0	0.8376155059384163
22	407.7342	4385359201.57022	10.0	33.45589746193903
23	408.6709	5413662350.13447	6.0	41.300820332986035
24	412.3218	6171995796.9802	4.0	47.08614483514889
25	414.1718	929183936.907079	27.0	7.088742583575179
26	415.196	1734878425.38185	20.0	13.235384387149622
27	419.6546	2319089601.45006	16.0	17.692330398700616
28	423.837	2345682446.6791	15.0	17.895207167127115
29	427.563	329367917.446371	45.0	2.5127472498473153
30	430.043	166252338.001321	63.0	1.268338787615905
31	432.25	617118140.717386	33.0	4.707993185678096
32	433.375	4654617210.5791	7.0	35.51006632842127
33	442.991	2225383406.95182	18.0	16.977446009399255
34	443.295	59154361.7019341	78.0	0.451288519038016
35	443.584	27377895.1845108	82.0	0.20886591312491404
36	452.611	742782043.76675	30.0	5.666682876041708
37	455.846	489960512.431894	37.0	3.7379078681744504
38	457.486	438244779.866552	41.0	3.3433686374415084
39	458.004	303420626.109192	48.0	2.314795410900829
40	460.578	202583500.383113	55.0	1.5455091600868922
41	461.338	539768086.161675	36.0	4.1178897585826215
42	464.528	89635048.1093088	71.0	0.6838256208219502
43	466.25	353168198.082155	44.0	2.694319548014146
44	469.117	80720939.4615936	72.0	0.6158199019800912
45	469.962	68304219.7623422	76.0	0.521092769725326
46	471.644	177760401.805974	61.0	1.3561337856849494
47	472.841	216478846.736934	53.0	1.651516732430136
48	474.028	487218977.024215	38.0	3.716992699479776
49	474.873	701319323.029929	31.0	5.350363854109045
50	479.668	48885201.4583404	80.0	0.3729451140081896
51	480.404	158659406.761881	64.0	1.2104123288457087
52	480.9	194008103.850028	57.0	1.480087475358391
53	482.405	432853601.521644	42.0	3.3022393475439586
54	484.001	71905202.6596372	74.0	0.5485646617726093
55	486.089	439003258.404743	40.0	3.349155068845284
56	489.992	1122598361.78111	25.0	8.56430088309339
57	492.098	1403662029.79149	24.0	10.708535100866209
58	492.178	1676916706.85052	21.0	12.79319454071524
59	494.645	89858377.7901085	70.0	0.6855294025551244
60	497.039	307675827.069225	47.0	2.3472583313721636
61	498.682	255050997.607531	51.0	1.9457836020519157
62	499.128	186936932.844347	59.0	1.4261415244731837
63	499.946	680986627.569738	32.0	5.195245757010541
64	511.456	444073176.691123	39.0	3.3878334663340928
65	512.299	612437165.701607	34.0	4.672282035701207
66	515.673	73061012.772936	73.0	0.5573823350483017
67	516.361	71901681.4920486	75.0	0.5485377987914086
68	518.341	992961562.389212	26.0	7.575301973677633
69	525.938	55875394.3703216	79.0	0.4262732831621962
70	529.082	129990906.231753	67.0	0.9917003898601676
71	530.197	284375030.953098	50.0	2.1694965997074993
72	530.353	189500947.032025	58.0	1.445702384099733
73	538.098	171465666.640706	62.0	1.3081112624298732
74	548.227	33265933.0702154	81.0	0.2537857435656249
75	549.345	25339344.4095335	84.0	0.19331381292883962
76	570.331	27194222.0728433	83.0	0.20746467128632917
77	576.906	321125434.702196	46.0	2.4498653638156807
78	579.756	185885171.172584	60.0	1.4181176365708423
79	580.577	132441169.449823	66.0	1.0103934435441528
80	586.369	91754900.3730327	69.0	0.699997969929456
81	588.063	62889943.634309	77.0	0.4797872668818545
82	626.229	204357822.941596	54.0	1.5590454636945323
83	639.048	138834718.029636	65.0	1.059169814161082
