	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	232.9801	1.62835461370931e-20	55.0	0.00032957242094433194
1	232.9838	9.77078674681521e-21	66.0	0.00019775679176805774
2	232.9858	3.2570535211081102e-21	101.0	6.592145255459003e-05
3	235.82	4.22805059823194e-21	93.0	8.557404264420172e-05
4	240.2302	1.29573524545065e-20	59.0	0.0002622515993449955
5	240.2324	2.85068694987914e-20	44.0	0.0005769675668409413
6	240.2362	4.31883339876333e-21	92.0	8.741144999388716e-05
7	240.2437	5.75918653074064e-21	83.0	0.00011656361775414969
8	242.9778	1.93479623758294e-21	113.0	3.9159497242535343e-05
9	242.984	3.22459645404649e-21	103.0	6.526453457872705e-05
10	242.9894	6.4488316025275895e-22	138.0	1.3052175647820817e-05
11	250.6868	3.00329053206149e-21	106.0	6.078539177630217e-05
12	250.6907	4.12285877561521e-22	144.0	8.344500248602821e-06
13	250.694	1.98552582487866e-20	50.0	0.0004018624367465753
14	250.698	3.1518450728323304e-20	42.0	0.0006379207589976789
15	250.701	1.37148866293295e-20	58.0	0.00027758378619437986
16	250.8785	1.9331150746053802e-20	52.0	0.00039125471180407863
17	250.886	3.39306746229491e-21	99.0	6.867431998909813e-05
18	253.9487	1.48058808698853e-20	56.0	0.00029966507058225864
19	255.17	1.43145818344136e-21	122.0	2.8972137581425104e-05
20	255.29	9.046772043493671e-21	71.0	0.00018310302553286296
21	260.5046	2.87271301431244e-20	43.0	0.0005814255536443332
22	260.5073	6.31994618212736e-20	29.0	0.0012791316743574089
23	260.5117	9.57464382498141e-21	67.0	0.0001937869379625279
24	260.5144	6.38428867956638e-22	139.0	1.2921543369101787e-05
25	260.5205	1.2767988370306001e-20	60.0	0.00025841894648520467
26	265.7258	4.52277932848553e-21	91.0	9.153923353896987e-05
27	265.7332	7.53850830576749e-21	77.0	0.0001525763744410202
28	265.7396	1.50761884678849e-21	121.0	3.0513598758782675e-05
29	267.4415	4.5688557023118e-20	33.0	0.0009247180080302962
30	267.4463	2.7414920110227304e-20	47.0	0.0005548669506417479
31	267.449	9.13864435148674e-21	70.0	0.00018496248407513013
32	272.67	7.211538886555969e-22	137.0	1.459586449761323e-05
33	272.8202	8.25254399056034e-21	76.0	0.00016702816935697907
34	272.8248	1.1259281590845601e-21	126.0	2.2788332840695146e-05
35	272.828	4.74815670914645e-20	31.0	0.0009610078102654751
36	272.8326	7.67261142561392e-20	28.0	0.0015529056762055733
37	272.8366	3.34400119056779e-20	40.0	0.0006768123839472827
38	273.0472	4.61091958315361e-20	32.0	0.0009332315682380264
39	273.0551	9.32802943480248e-21	68.0	0.00018879556194856283
40	274.496	2.03411161096389e-21	112.0	4.11696004329939e-05
41	274.4964	1.08944657134229e-21	127.0	2.2049960185814744e-05
42	274.5079	4.843498498189079e-22	142.0	9.803046046905944e-06
43	276.6989	3.3327881871486103e-20	41.0	0.0006745429171789244
44	279.0313	3.24409442081163e-21	102.0	6.565916557962685e-05
45	295.4098	2.4874828980178002e-20	48.0	0.0005034565283601664
46	302.908	8.439962245217631e-20	27.0	0.0017082143940986153
47	302.9115	1.8569250329297202e-19	16.0	0.0037583415397503357
48	302.9176	2.81343318411076e-20	46.0	0.0005694275545670732
49	302.9212	1.8758118213854802e-21	114.0	3.796567639537341e-05
50	302.9294	3.75152133283121e-20	37.0	0.0007592928207873813
51	315.5265	1.4671679700049602e-20	57.0	0.0002969488929103963
52	315.5369	2.44542724495695e-20	49.0	0.0004949446334221922
53	315.5459	4.89071555763888e-21	87.0	9.898611475110154e-05
54	318.9313	2.2789634014341e-21	109.0	4.6125302138164805e-05
55	319.6216	3.50798639682044e-20	39.0	0.0007100023297789401
56	319.6279	4.7405004526056404e-21	89.0	9.594582147521381e-05
57	319.6318	1.6051393147461501e-19	18.0	0.003248737378578473
58	319.6381	2.6845676996487903e-19	14.0	0.005433456990960773
59	319.6435	1.17352523804692e-19	22.0	0.0023751678564742935
60	319.9332	1.55077179460366e-19	19.0	0.0031386997056831096
61	319.9435	3.9617026987688503e-20	35.0	0.0008018326834353957
62	323.6197	1.1710589820020001e-21	125.0	2.370176253487145e-05
63	323.6262	6.56001490140129e-21	81.0	0.00013277206170471607
64	323.6267	3.51363006444437e-21	96.0	7.111445853946176e-05
65	323.6388	1.17148699464012e-21	124.0	2.3710425338424947e-05
66	323.6428	1.5620449520591201e-21	120.0	3.1615161227153876e-05
67	324.9868	1.0066858076140501e-19	24.0	0.002037491563277446
68	330.6284	9.94023981982631e-21	65.0	0.0002011864537740202
69	368.4602	1.8940744956873302e-19	15.0	0.00383353055739261
70	368.47	1.13625589280817e-19	23.0	0.0022997362015145365
71	368.4754	3.78765164223559e-20	36.0	0.0007666054500142206
72	415.5192	9.98712848933922e-20	25.0	0.0020213546157589126
73	432.5346	3.8902738649896304e-19	11.0	0.007873757749244033
74	432.5419	8.55942086261633e-19	8.0	0.01732392337531384
75	432.5542	1.29673118059354e-19	21.0	0.002624531726100462
76	432.5615	8.64688206893102e-21	74.0	0.0001750094133725631
77	432.5784	1.7292223030592802e-19	17.0	0.0034998763535417352
78	463.6114	1.22079893857373e-20	61.0	0.0002470847923939005
79	467.14	3.39461295393179e-19	13.0	0.0068705600117887474
80	467.153	4.5224919562538803e-20	34.0	0.0009153341724064641
81	467.1629	1.0384037677819599e-18	6.0	0.021016874382542225
82	467.1764	1.88382657241642e-18	5.0	0.03812789173092099
83	467.188	8.267332466740011e-19	9.0	0.016732748216363544
84	467.8056	9.90327928632812e-19	7.0	0.02004383874497787
85	467.829	3.83705280750539e-19	12.0	0.007766040470632694
86	478.8362	4.93941365499619e-19	10.0	0.00999717446443882
87	484.2775	6.58384329483106e-21	80.0	0.0001332543387986455
88	484.292	3.68833030042459e-20	38.0	0.0007465032101234112
89	484.2944	1.9752886910281402e-20	51.0	0.000399790482051792
90	484.3214	6.58637880372906e-21	79.0	0.0001333056564783944
91	484.3308	8.78200952156963e-21	73.0	0.00017774433863559908
92	488.122	8.447699386292761e-20	26.0	0.0017097803603162009
93	488.1471	1.4080079491482e-19	20.0	0.002849751427624078
94	488.1685	2.81617627925181e-20	45.0	0.000569982745984781
95	503.7914	5.06424416204995e-20	30.0	0.0010249826387251258
96	510.8	8.41517512970075e-22	136.0	1.703197581667006e-05
97	519.917	3.69400932509112e-21	95.0	7.476526218622261e-05
98	519.919	4.77376110754134e-21	88.0	9.661900374626606e-05
99	519.928	8.52547623145216e-22	134.0	1.7255220807846955e-05
100	519.937	8.52386586169447e-22	135.0	1.7251961484262343e-05
101	532.949	1.92846373609105e-22	148.0	3.9031329960682546e-06
102	532.96	5.78536825125059e-22	140.0	1.1709352524114947e-05
103	532.98	9.641993983233229e-22	130.0	1.9515007806230463e-05
104	539.3	1.72578133581582e-22	149.0	3.492911974313344e-06
105	540.153	8.655178102020309e-22	133.0	1.7517732174377735e-05
106	540.17	3.85950291114169e-21	94.0	7.811478576949181e-05
107	540.19	5.56682137750271e-21	84.0	0.00011267022446473996
108	540.21	8.86838852849486e-21	72.0	0.0001794926149748828
109	540.665	5.42969124013628e-21	85.0	0.00010989476566873896
110	540.7	9.77420131225e-22	129.0	1.978259011983589e-05
111	546.845	3.2747341408585e-21	100.0	6.627930118325319e-05
112	548.3462	9.87904678261071e-16	3.0	19.994793132625063
113	548.4403	4.94080969834656e-15	1.0	100.0
114	548.5086	2.96403778475507e-15	2.0	59.9909319670212
115	552.5	4.40780265343776e-22	143.0	8.921215190523993e-06
116	565.388	2.61347779625291e-21	107.0	5.289573887307397e-05
117	565.409	1.5682260070944701e-21	119.0	3.174026329367181e-05
118	565.421	5.227325671226389e-22	141.0	1.0579896799052414e-05
119	611.8	1.5835525173276801e-21	118.0	3.205046569305463e-05
120	625.219	7.20108465317918e-21	78.0	0.00014574705549960808
121	625.222	9.30587504391609e-21	69.0	0.00018834716599245457
122	625.235	1.66191026207391e-21	116.0	3.3636394913774304e-05
123	625.248	1.66160460608869e-21	117.0	3.363020855963639e-05
124	653.1	3.71405642046922e-22	146.0	7.517100732926685e-06
125	654.566	2.1018087856240102e-21	110.0	4.2539764005227315e-05
126	654.595	8.60750251431187e-21	75.0	0.00017421238703430264
127	654.611	1.1776779186431901e-20	62.0	0.00023835727148878037
128	654.64	1.91045019359765e-20	54.0	0.0003866674310967657
129	655.319	1.14605108762095e-20	63.0	0.00023195612816346184
130	655.364	2.37512404236452e-21	108.0	4.807155481336094e-05
131	656.143	4.11969701779836e-22	145.0	8.338100978017864e-06
132	656.16	1.23584510582844e-21	123.0	2.5013007609704438e-05
133	656.191	2.05969709289065e-21	111.0	4.168744029100993e-05
134	656.261	2.17644639772634e-22	147.0	4.405039923830069e-06
135	664.298	1.6883130962635501e-21	115.0	3.417077765266983e-05
136	664.483	6.55926193894977e-21	82.0	0.00013275682204770656
137	678.093	9.12754305938235e-22	132.0	1.8473779839035044e-05
138	822.591	5.0142661868326004e-21	86.0	0.00010148672976639077
139	822.636	3.00864376987859e-21	105.0	6.089373915545526e-05
140	822.662	1.00286600561775e-21	128.0	2.0297604377544812e-05
141	906.986	3.0627930074047603e-21	104.0	6.19896979320965e-05
142	941.528	4.59863252066909e-21	90.0	9.307447162371018e-05
143	941.529	1.0345373585895801e-20	64.0	0.00020938619816419717
144	941.534	1.9311796945587502e-20	53.0	0.0003908629986710515
145	941.563	3.44900039546223e-21	97.0	6.98063800477164e-05
146	941.593	3.448115748508e-21	98.0	6.97884751493649e-05
147	958.14	1.5065807481175799e-16	4.0	3.0492588059438037
148	1000.895	9.325776913724479e-22	131.0	1.8874997182840996e-05
