	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	225.3869	1060664.57315328	33.0	0.0005224520463277578
1	225.3913	707961.131493188	38.0	0.00034872074662540745
2	232.9562	1559345.93472721	29.0	0.0007680877585164416
3	232.9609	1040070.65086601	34.0	0.000512308088366654
4	244.9561	3056506.1851686	21.0	0.0015055446853545601
5	244.9613	2041670.26320107	26.0	0.001005666479238373
6	266.0754	7063267.97952406	17.0	0.003479157221866019
7	266.0756	353164.430589926	45.0	0.0001739583692357564
8	266.0817	4949749.05645876	19.0	0.0024381002145360195
9	279.0777	3737028181.26344	4.0	1.8407497241858317
10	279.5528	203016636762.846	1.0	100.0
11	279.793	741776887.115154	6.0	0.36537738923419416
12	279.7998	6679338432.57881	3.0	3.2900448648360197
13	280.2705	101222851150.287	2.0	49.85938727205423
14	284.2097	47079.7495555147	78.0	2.3190094322422916e-05
15	284.4479	35692.579148718	80.0	1.7581110453727155e-05
16	284.457	83541.4857742992	67.0	4.115006883494393e-05
17	284.6952	71134.4824937402	70.0	3.503874540924249e-05
18	292.8299	184336.072107334	54.0	9.079850550507657e-05
19	292.8633	629362395.884302	7.0	0.3100053305579542
20	293.651	1255348220.2679	5.0	0.6183474617079464
21	296.5328	72262.6560640532	69.0	3.559445039396789e-05
22	296.802	128399.407128288	59.0	6.324575619794048e-05
23	296.9148	48879.4842014681	77.0	2.4076590461188012e-05
24	297.1842	97453.3096823672	62.0	4.800262246300895e-05
25	310.4715	24649442.3788409	12.0	0.012141587394945941
26	310.4721	1231705.79196696	30.0	0.0006067018997097159
27	310.4805	17257332.3801911	13.0	0.00850045230546808
28	316.5879	152639.186648308	57.0	7.518555576635502e-05
29	316.8954	271480.37344454	50.0	0.0001337232148918268
30	317.2708	90618.4562261205	65.0	4.463597549001686e-05
31	317.5784	180795.882201084	55.0	8.905471250234572e-05
32	353.497	412889.434987816	43.0	0.00020337714266744212
33	353.8789	81777.6604032243	68.0	4.028126054454982e-05
34	353.8812	736010.679589767	37.0	0.00036253712568863915
35	354.9513	202820.08493763	53.0	9.990318437525609e-05
36	355.3364	402326.846497467	44.0	0.0001981743235001205
37	384.8211	798638.032105852	36.0	0.0003933855100943188
38	385.0386	437593.688311928	41.0	0.00021554572831541057
39	438.4637	1641772.37495546	28.0	0.0008086885888437296
40	439.0514	325653.468064571	46.0	0.0001604072815199787
41	439.0572	2934343.91809759	24.0	0.0014453711601603101
42	442.7994	605134.561948784	39.0	0.00029807141503170124
43	443.3988	1208633.07815854	31.0	0.0005953369622463037
44	443.6491	305970.125563554	47.0	0.00015071184827131836
45	443.6593	214006.297372201	51.0	0.00010541318228130859
46	448.1126	170171229.928415	8.0	0.08382132254865428
47	448.115	8490383.43247958	16.0	0.004182112149950365
48	448.1325	118860732.668518	9.0	0.05854728684495214
49	473.9593	434210.37130985	42.0	0.00021387920627267265
50	473.9709	303912.931194527	48.0	0.00014969853507599136
51	526.422	836273.363506633	35.0	0.0004119235629361382
52	526.4364	559684.700356349	40.0	0.0002756841553877897
53	545.125	20226.0566277468	86.0	9.962758200636471e-06
54	545.537	35908.6989166875	79.0	1.7687564669211944e-05
55	546.4136	21825.1537620015	85.0	1.0750426226150405e-05
56	592.3365	30327.4710689314	82.0	1.4938416650236629e-05
57	592.8233	53895.678982838	74.0	2.6547419877611444e-05
58	594.3501	29410.975456191	83.0	1.4486977976365282e-05
59	634.6742	1709882.67439655	27.0	0.0008422377109881642
60	634.675	85688.5940917107	66.0	4.2207670986002916e-05
61	634.6964	1194937.5435599	32.0	0.0005885909463448392
62	678.1445	61396.7447517983	72.0	3.0242223361979414e-05
63	678.7855	109376.786354927	60.0	5.387577496059869e-05
64	681.2857	26112.674167751	84.0	1.286233216357265e-05
65	681.927	52052.5934910276	76.0	2.5639570392367825e-05
66	787.7054	14523221.7299092	15.0	0.007153710139959865
67	789.604	2884448.22338833	25.0	0.0014207940144126219
68	789.6366	25960641.4882721	11.0	0.012787445355327227
69	804.614	97046.2659322382	63.0	4.780212473207447e-05
70	804.634	67824.9759777413	71.0	3.340858023225509e-05
71	811.5225	56748.7921958199	73.0	2.7952779191249743e-05
72	821.3987	2991540.59568725	22.0	0.0014735445544700949
73	823.4636	5956817.50452613	18.0	0.0029341523923896887
74	873.498	153842.281387175	56.0	7.577816470621861e-05
75	874.552	30501.1595260638	81.0	1.5023970455038986e-05
76	874.5663	274943.862501738	49.0	0.00013542922732136175
77	882.4318	53376.5764918666	75.0	2.6291725320136437e-05
78	883.508	106334.166471874	61.0	5.237707025759092e-05
79	910.178	130243.078208938	58.0	6.41538941269535e-05
80	910.203	90972.0258662462	64.0	4.481013345350373e-05
81	921.825	32991249.2439511	10.0	0.01625051511541384
82	924.4265	16375480.2701429	14.0	0.00806607799796818
83	963.1891	4197086.92182681	20.0	0.002067361073826496
84	963.195	210103.927699731	52.0	0.00010349099022124182
85	963.243	2938316.96790331	23.0	0.001447328167166766
86	983.53	15721.8731435859	87.0	7.744130429050214e-06
