	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	190.29467	122554804.299386	135.0	0.30358239567837325
1	190.78369	60575065.8780729	214.0	0.15005142982985276
2	190.89084	71550911.8364245	197.0	0.17723986711455791
3	190.9823	20039247.8355162	352.0	0.04963952984362232
4	191.14089	486835709.766235	32.0	1.2059482442774812
5	191.46813	96939453.0035856	163.0	0.24013021396279147
6	191.50971	890593445.400836	19.0	2.206102757667223
7	191.86386	72010677.5197659	195.0	0.17837875977892476
8	191.89098	12892589.7889724	399.0	0.031936432986123114
9	191.96473	112974589.718114	143.0	0.2798510984002134
10	192.00124	234193950.44372	76.0	0.5801254462077661
11	192.12495	1146480774.59382	15.0	2.8399652069138237
12	192.30662	81731796.1457025	182.0	0.20245909263903994
13	192.33385	104882129.089905	153.0	0.25980513938221256
14	192.4957	15606616.4694149	385.0	0.03865939032993314
15	192.55114	100810421.787016	157.0	0.24971905043140707
16	192.65768	241217652.534908	69.0	0.5975239669721187
17	192.69446	57492381.635909	218.0	0.14241526515474195
18	192.8123	6922036.10031327	459.0	0.017146682370540206
19	193.0442	3742177.6635558	501.0	0.009269805999454065
20	193.14106	94474375.5374326	168.0	0.2340239325568062
21	193.25945	7515375.27478651	451.0	0.01861645198966004
22	193.47883	8724181.10267255	440.0	0.0216108035472143
23	193.5067	31745543.6434157	295.0	0.07863737571509284
24	193.6725	3977875.50680355	496.0	0.009853656761718602
25	194.2642	10846139.1756314	419.0	0.026867138612988124
26	194.3537	21044010.2301029	346.0	0.05212844226594584
27	194.4162	10256851.0188248	428.0	0.02540740383220209
28	194.4364	10884996.1245863	418.0	0.026963391760467064
29	194.479	5344698.61118956	471.0	0.013239435351714974
30	194.5137	15760486.695618	382.0	0.03904054464013217
31	194.6351	5122379.63634281	478.0	0.012688725590685436
32	194.7936	21046957.222219	345.0	0.052135742305562935
33	194.8274	5038744.9015364	480.0	0.012481552699344265
34	195.01411	77785040.6163398	188.0	0.19268252365334904
35	195.0918	6327491.32550758	464.0	0.015673926340244993
36	195.3232	26071878.5931778	322.0	0.06458305252413729
37	195.3343	7025157.9622934	455.0	0.017402127125119276
38	195.4847	6005949.99430399	466.0	0.014877431350151097
39	195.89218	25999364.9381085	323.0	0.06440342783091388
40	195.92465	163111655.124458	110.0	0.40404639629452416
41	196.0359	3764444.71156877	500.0	0.009324964047472723
42	196.92311	49133222.8866754	236.0	0.12170866410833253
43	199.42184	85665614.0274329	177.0	0.21220361357826617
44	200.1896	5230657.77728445	475.0	0.012956943043396332
45	203.73039	234686664.267176	74.0	0.5813459552181124
46	203.76474	167099020.569421	109.0	0.41392356072840425
47	203.99717	135538419.766738	127.0	0.3357443097761403
48	207.6217	80073715.6958238	184.0	0.1983518359869711
49	208.47656	91180167.8307724	173.0	0.22586379984583524
50	208.8924	22442141.8401825	337.0	0.05559177563821211
51	209.74753	87473467.1355802	175.0	0.21668187439181388
52	210.24965	43252496.1434861	254.0	0.10714142520461677
53	211.39784	87336728.5210581	176.0	0.21634315706110074
54	211.9437	8966020.97658118	439.0	0.022209868828346694
55	211.97742	50568357.0139012	232.0	0.12526365698644673
56	213.34555	41272299.5415683	257.0	0.10223624966489793
57	222.99399	73513793.0572635	192.0	0.1821021504567816
58	222.99967	62347363.6932294	211.0	0.15444161607882587
59	223.16576	54721516.7966762	226.0	0.135551513131277
60	229.89532	43217801.0554697	255.0	0.10705548146704971
61	230.50033	103908010.56475	155.0	0.25739213536142513
62	232.0386	134275446.912147	128.0	0.33261578024141186
63	232.71511	2806930.25635768	519.0	0.00695309022439885
64	233.2135	13926633.6766506	390.0	0.034497879046540836
65	233.3234	10841622.5049873	421.0	0.026855950298482915
66	236.6894	27119225.3665462	317.0	0.06717745136784534
67	237.3359	178517479.525221	102.0	0.44220840149473484
68	239.7286	9395909.41274659	436.0	0.023274752102989387
69	239.787	10970645.6162392	416.0	0.027175555437062744
70	239.8247	2276883.98063072	527.0	0.005640104420819085
71	239.8794	12949138.1980139	398.0	0.03207650992220701
72	239.9062	3655064.52647759	504.0	0.009054016704204105
73	240.0151	16347298.7151122	377.0	0.040494145742996535
74	240.0219	4016311.42812121	494.0	0.009948866975144558
75	240.1948	3688564.8672076	502.0	0.009137000914843565
76	240.2079	21285010.9863073	343.0	0.052725428955672844
77	242.73748	129463667.578043	131.0	0.32069644744924736
