	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	231.5648	1.03175161980807e-05	54.0	0.22717075853833676
1	249.3148	0.0003787573036518	19.0	8.339466817461405
2	250.2838	1.60829709887238e-06	101.0	0.03541143671514759
3	250.6302	3.63848403872361e-06	85.0	0.08011203114565814
4	251.5457	5.1265034686575e-06	72.0	0.11287519779624673
5	253.154	3.94309668305299e-06	81.0	0.08681898310426485
6	258.6307	8.8262072247467e-06	60.0	0.194335162820994
7	259.4959	5.71753432640941e-06	69.0	0.12588849728590895
8	261.1811	5.79000079284834e-05	29.0	1.2748406174478395
9	266.0997	4.65298168073545e-05	34.0	1.0244920943998983
10	267.1829	4.5335572258299e-05	35.0	0.9981972541611517
11	267.8085	1.73768432214085e-05	46.0	0.3826028067049173
12	279.9217	5.40537435445057e-07	114.0	0.011901536849659944
13	280.8705	4.34978275223002e-06	76.0	0.09577338463349207
14	280.952	0.000407267780435	18.0	8.967209630051707
15	281.1843	2.10002021500231e-07	118.0	0.004623818136352049
16	281.3906	8.22546110971889e-07	113.0	0.018110795309146496
17	281.8285	1.43810099281986e-06	102.0	0.031664064017112525
18	282.9867	6.80505970253581e-06	65.0	0.14983359801376456
19	283.9564	1.4628546590019e-05	48.0	0.32209089487896364
20	284.1721	0.0010576393985523	6.0	23.28707218059431
21	285.6508	7.28076987312282e-06	64.0	0.16030777011312658
22	285.9486	0.0001590851600672	23.0	3.5027322265199192
23	286.1021	9.44413850562106e-07	110.0	0.02079407550106052
24	287.1277	0.0001841845697174	22.0	4.055370266493247
25	287.2957	5.24669199549203e-06	71.0	0.115521505132666
26	288.1149	0.0005645105182982	13.0	12.429375460396894
27	288.6259	2.16741586581358e-05	43.0	0.47722096757792326
28	289.3954	6.04857442362444e-06	66.0	0.13317732810014432
29	290.1143	3.55442472010316e-05	38.0	0.7826121561926472
30	290.4709	2.31735858217726e-06	93.0	0.05102353093629862
31	290.4918	0.0008467275085754	9.0	18.64322058773521
32	291.7521	0.0010244214693652	7.0	22.555680823834432
33	291.905	3.76772000004796e-05	37.0	0.8295754462010708
34	291.9849	1.79275220638664e-05	45.0	0.39472763674641953
35	292.0944	0.0004384771782276	17.0	9.654377203521426
36	292.3484	0.0001001826079255	26.0	2.2058176210102047
37	293.0881	1.34129251759544e-05	50.0	0.2953253794751815
38	293.4078	8.94607041084585e-06	59.0	0.19697430681497494
39	293.7726	2.97870968326246e-05	39.0	0.6558513940962839
40	294.2655	1.13994063762252e-06	105.0	0.025099178364804114
41	294.5699	9.50561133018281e-06	56.0	0.20929426179625824
42	294.7445	8.13591945176264e-06	62.0	0.1791364275839513
43	295.1235	0.0001901370692495	21.0	4.186432220547441
44	295.2396	4.19081371381039e-06	78.0	0.09227320916988435
45	296.0115	1.08427400942725e-05	53.0	0.2387351223454464
46	297.0727	2.8239570606989e-06	89.0	0.06217780086238186
47	297.4238	3.97072709363081e-06	80.0	0.08742734864585291
48	297.499	0.0004517447485187	16.0	9.946502163553042
49	297.7128	1.61195268738469e-05	47.0	0.35491925352073606
50	297.966	6.71233991642511e-05	28.0	1.4779209657699452
51	298.4174	0.0002200356777323	20.0	4.844738874773185
52	298.4191	5.41353718713701e-05	30.0	1.1919509749896777
53	300.4151	1.89823125375983e-06	98.0	0.0417951981386776
54	300.7446	0.0001436139975511	24.0	3.162088639751805
55	300.9143	3.36722965894836e-06	86.0	0.07413956044366375
56	301.54	3.75773841626236e-06	84.0	0.08273777041123202
57	302.4012	2.55132863756268e-07	116.0	0.005617507651536443
58	302.907	1.10387596416679e-05	51.0	0.24305107479129162
59	302.9316	9.57235869520316e-07	109.0	0.021076390325365946
60	303.7075	4.90884593190751e-05	32.0	1.0808282075745137
61	304.5597	2.68730929491764e-06	91.0	0.05916909450233055
62	305.0208	1.42967141970593e-05	49.0	0.31478461932106633
63	305.3665	8.00173017982043e-05	27.0	1.7618185226663898
64	305.5354	9.72782564427999e-07	108.0	0.021418696982039714
65	305.616	0.0011169304529306	5.0	24.592540816559406
66	305.7375	8.62427642065864e-06	61.0	0.18988905650468169
67	305.8715	2.80509435924129e-06	90.0	0.061762482474124365
68	306.135	1.09574454970664e-05	52.0	0.24126070242313824
69	306.4374	1.86598431118046e-06	99.0	0.04108518593557969
70	306.6534	4.11925300938436e-06	79.0	0.09069758775152174
71	307.0823	1.13300950625651e-06	106.0	0.024946568924729934
72	307.4332	4.2689789981193e-05	36.0	0.939942500276756
73	307.832	0.0009771423327501	8.0	21.514690228647584
74	307.8747	5.3501653179228e-07	115.0	0.011779977760578821
75	308.0251	5.22854059816925e-05	31.0	1.1512184821726288
76	308.7057	8.31371572891284e-07	111.0	0.01830511406185687
77	309.2731	0.0045417448374367	1.0	100.0
78	309.4449	2.44349031322084e-07	117.0	0.005380069556263124
79	310.44	2.14493922785083e-06	96.0	0.04722720682523866
80	312.4413	2.2724869224697e-05	42.0	0.5003554809460103
81	312.5212	1.22410066332122e-06	104.0	0.02695221125659023
82	312.9376	0.0018716125745042	2.0	41.20910886663798
83	313.5478	0.0006083956429875	12.0	13.39563680400131
84	313.7853	1.79703247609185e-05	44.0	0.39567006523115705
85	314.57	9.62925181596549e-06	55.0	0.21201657426003948
86	314.9275	0.0005031691485721	14.0	11.07876304332592
