	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	203.3389	20020730.1164564	50.0	0.19842923917795638
1	205.3293	34234692.8590653	49.0	0.33930650970273957
2	208.0847	44185260.7432502	48.0	0.4379284682008691
3	209.0103	59279487.9618344	46.0	0.5875302062763931
4	209.3553	87298725.9064998	42.0	0.8652341678884661
5	212.5117	92461423.6647927	41.0	0.916402640882453
6	212.5905	81271019.0569292	43.0	0.8054924263440396
7	212.8578	327598213.398398	31.0	3.2468877939306426
8	213.8582	197705508.043108	39.0	1.9594966474294055
9	215.8737	247254594.742543	35.0	2.4505870081975134
10	216.1215	284116439.535212	33.0	2.8159317171246343
11	216.555	5326141874.35161	3.0	52.78839851163757
12	216.9092	2517037866.3898	13.0	24.946837897749766
13	217.4669	2882220002.71074	7.0	28.566227053392137
14	217.5142	1943827853.94058	20.0	19.265645154134802
15	218.4602	2024427489.69777	19.0	20.064483373734678
16	218.8042	70938547.347423	45.0	0.7030853468709578
17	220.1405	1410640183.21424	22.0	13.981121401710306
18	220.6712	2599404535.31119	10.0	25.76318951692772
19	221.0379	847946666.758374	28.0	8.404159637017734
20	221.6477	10089606854.0087	1.0	100.0
21	222.0399	740027942.872727	30.0	7.334556772930223
22	222.295	2456093175.62431	15.0	24.342803551839882
23	222.4358	254637578.041337	34.0	2.5237611507148765
24	222.4864	2778065163.23412	8.0	27.533928758882883
25	222.6328	1590076842.69457	21.0	15.759552039065
26	225.3848	2392241007.52612	17.0	23.70995264870662
27	226.4461	2518176787.53251	12.0	24.95812596039868
28	227.0212	3828313470.63557	5.0	37.9431381819852
29	227.877	2484360778.38203	14.0	24.622969104043626
30	228.7081	1407046425.81998	23.0	13.945502993121547
31	229.655	2424219766.41056	16.0	24.02690017051947
32	229.7141	2533244817.31138	11.0	25.107468050699094
33	229.7489	1315751666.22485	24.0	13.040663380279174
34	229.8267	2156432771.15226	18.0	21.372812661134443
35	230.2992	4549387027.29302	4.0	45.08983445163182
36	231.6036	6934315411.385	2.0	68.72731030773443
37	232.6451	305718388.73459	32.0	3.0300327174108386
38	233.4586	1052077265.17599	27.0	10.427336569194363
39	235.6403	240251971.767662	37.0	2.3811826887209935
40	236.7384	174309156.74528	40.0	1.727610988886304
41	237.542	781245619.014443	29.0	7.743072949408792
42	238.7763	230101955.639467	38.0	2.280583960989969
43	239.4523	3111845127.57118	6.0	30.842085054432157
44	241.0746	11295757.507212	52.0	0.11195438703069074
45	241.3039	52455885.4414937	47.0	0.5199001923514242
46	241.6135	2668497248.61397	9.0	26.447980453804796
47	243.3555	71656948.8797263	44.0	0.7102055602023413
48	243.7889	1064520943.96705	26.0	10.550668220973401
49	251.0874	1286932961.25958	25.0	12.755035749963527
50	254.5899	244344327.817197	36.0	2.4217428027943093
51	263.0278	14416760.4809208	51.0	0.142887237228603
