	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	194.7813	1.67686999354319e-05	335.0	0.0023541665967724596
1	195.1932	3.3919234165231e-05	314.0	0.004761939110805212
2	195.39331	3.47874331401197e-05	311.0	0.004883826021174238
3	195.74358	0.0003122348546614	195.0	0.04383481534181555
4	195.81286	5.89526482005206e-05	284.0	0.008276393263600317
5	196.02599	0.0003747453374876	187.0	0.05261069487834493
6	196.21317	0.0002959798371284	199.0	0.04155276488748772
7	196.22222	0.0013739753295508	131.0	0.19289311861221609
8	196.37852	0.0007342906587758	156.0	0.10308745149404507
9	196.42717	0.0002946551522967	200.0	0.04136679168777354
10	201.65822	0.0002426665121587	210.0	0.03406807917602441
11	202.03299	0.0005624395574982	174.0	0.07896118506885563
12	202.14364	0.0002268140694296	214.0	0.03184254640999043
13	202.3325	7.23975431237944e-05	271.0	0.010163929127880875
14	202.57048	4.56614902515384e-05	293.0	0.006410440613937453
15	202.70978	0.0002434317697341	209.0	0.03417551408921808
16	202.76014	0.0002271233153979	213.0	0.03188596161400515
17	202.8727	3.91987250921899e-05	305.0	0.0055031296166922015
18	204.2809	2.16999238796993e-05	329.0	0.003046463717926703
19	207.2255	0.0137274314935777	54.0	1.9272013218734083
20	207.5172	0.0074281439666456	69.0	1.042841035359224
21	209.2876	0.0001032768019572	253.0	0.014499084504183577
22	209.2896	1.14860363295859e-05	342.0	0.001612530676829099
23	210.1263	1.13012748701919e-05	343.0	0.0015865919184428734
24	210.1283	0.0001582253421601	228.0	0.02221333894162777
25	211.2251	6.15438205034786e-06	356.0	0.0008640169305010445
26	211.528	4.3364555389995e-06	365.0	0.000608797272156483
27	212.3182	8.27963858344845e-05	263.0	0.011623828121175545
28	213.1813	0.0007339046298793	157.0	0.10303325669438686
29	213.2017	0.0004172918205608	181.0	0.05858381799741472
30	217.162	4.31903966682432e-06	366.0	0.0006063522487088492
31	217.2206	2.46379120303678e-05	327.0	0.0034589294184669476
32	217.244	3.20851492458809e-06	372.0	0.000450445096506919
33	218.2569	0.0003008701183781	198.0	0.0422393140422341
34	219.0469	0.0002004442491604	220.0	0.028140473483664608
35	219.5482	0.0001012934053231	255.0	0.014220634408342628
36	221.5713	1.67690067906491e-05	334.0	0.002354209676337671
37	221.8674	3.01456500772027e-05	318.0	0.004232163657469242
38	222.247	9.59747711495891e-06	350.0	0.0013473948561500359
39	222.412	6.15198925616469e-06	357.0	0.0008636810048681295
40	222.974	2.69962301231777e-05	321.0	0.0037900149349372023
41	223.177	1.35222557283253e-06	379.0	0.00018983965883589263
42	223.283	1.88837836960566e-05	332.0	0.00265110431751475
43	224.9708	5.61047310005434e-05	287.0	0.007876572671164664
44	225.2738	0.0002793660994499	201.0	0.03922035352340678
45	225.963	0.0001131767568977	246.0	0.015888944381229394
46	226.2686	5.61935747226646e-05	286.0	0.007889045488005326
47	228.3444	0.0002501385762766	206.0	0.0351170861845006
48	228.4833	0.0003493192447296	190.0	0.04904111235329511
49	229.0846	0.0028847564643129	106.0	0.4049924761167203
50	229.3297	0.0063561143123417	75.0	0.8923382287833145
51	229.343	1.75616261081744e-05	333.0	0.002465485918888348
52	229.5597	1.39333393144626e-06	378.0	0.00019561088290628707
53	230.0333	0.0161671032603495	49.0	2.2697081233868253
54	230.2806	0.0032525808050421	101.0	0.45663152862280426
55	232.4803	7.76419384638639e-05	264.0	0.010900192545879879
56	232.5921	0.0001553752575095	229.0	0.021813214059660076
57	232.7947	0.000233592675933	211.0	0.03279419853951837
58	235.579	2.07434674349502e-06	376.0	0.00029121862949800157
59	235.772	3.72522879159604e-06	371.0	0.0005229868278565839
60	236.5005	4.10444935176484e-05	302.0	0.005762258015991082
61	236.514	0.0002052720935569	217.0	0.028818257095776373
62	237.5719	0.0003628960413121	188.0	0.050947165960835726
63	239.8905	4.0671107165972e-05	303.0	0.005709838109844991
64	239.9197	7.28890421524994e-05	269.0	0.01023293093482946
65	240.6376	0.0009444981675165	149.0	0.13259859412129638
66	240.6437	0.0001051685144548	251.0	0.014764663015916439
67	240.7357	7.28701880625845e-05	270.0	0.01023028399923749
68	240.7477	0.0006546586696526	164.0	0.09190787469022428
69	241.1597	0.0005279568815511	176.0	0.07412014407017542
70	241.1644	0.0001160738721697	245.0	0.01629567191685251
71	241.5126	0.0002318131219954	212.0	0.03254436602696916
72	241.8459	0.0009989946824437	147.0	0.14024938849272192
73	241.858	7.15370751588077e-05	272.0	0.010043127578055045
74	242.5567	0.0014006878924934	129.0	0.19664330936258986
75	242.5628	0.000100498798653	257.0	0.014109079160319529
76	243.1641	8.84290939452002e-05	262.0	0.012414606973124432
77	243.3542	0.0211886988225381	44.0	2.9746925634760824
78	243.5181	4.39322607277406e-05	296.0	0.0061676731722900635
79	243.5994	0.0001009417280074	256.0	0.014171262245166507
80	243.6056	0.0009073787084993	152.0	0.1273873737616361
81	243.8067	4.43633465106193e-05	294.0	0.006228193531906745
82	244.1626	0.000220391540981	215.0	0.030940884265713675
83	244.4251	0.003788237194242	91.0	0.5318326106182925
84	244.5529	0.0375110892849396	31.0	5.266201538770612
85	251.7964	0.0004037932933318	183.0	0.05668875266554665
86	252.3061	6.10007050944959e-05	282.0	0.00856392104730754
87	252.3214	0.0001219038594521	239.0	0.01711414689539478
88	252.6872	0.0003032799115473	197.0	0.04257762617173163
89	252.7026	6.05440164282469e-05	283.0	0.008499806285438838
90	253.0112	2.8317219328059e-05	320.0	0.003975469303660061
91	253.0279	0.0005664897031491	173.0	0.07952978714535086
92	257.1457	0.000313267456872	194.0	0.04397978290884866
93	257.5277	0.0005588207772467	175.0	0.07845314260748744
94	257.5415	6.22852094506882e-05	280.0	0.008744253288948237
95	271.536	0.0004072736057669	182.0	0.05717735555739828
96	271.8805	0.0001814631854027	225.0	0.025475711967169933
97	273.3294	0.0071848823431568	70.0	1.0086894081908042
98	274.7367	0.0036025088843687	95.0	0.5057581155851469
99	278.3029	0.0001125691680187	247.0	0.015803644659186548
100	280.3109	4.43142490124616e-05	295.0	0.006221300708337057
101	280.8728	0.0003061636578131	196.0	0.04298247682554821
102	282.2719	3.40574991093265e-05	313.0	0.0047813501989723076
103	283.6208	0.0001669412581131	227.0	0.023436970962943462
104	311.3617	0.0006126636913442	167.0	0.08601217761492966
105	312.2524	0.0054476605916304	82.0	0.76479993349226
106	312.391	0.0010263974297712	146.0	0.14409647459162017
107	312.934	0.0065226881940429	74.0	0.9157236235787157
108	313.4213	0.0051288406825163	84.0	0.7200406388950362
109	313.4726	0.0238376483462706	40.0	3.3465799792757225
110	313.8337	0.0126919965611038	56.0	1.7818360675276712
111	313.9678	0.0050932464696828	86.0	0.7150435486487029
112	327.0856	0.0010371963378702	145.0	0.14561253897503515
113	327.0905	7.40885630513547e-05	268.0	0.01040133230423132
114	327.3434	0.0014791459909485	126.0	0.20765808303857455
115	327.7561	0.0037442004708365	92.0	0.5256502718757712
116	328.1994	0.0002498142121898	207.0	0.0350715485398843
117	328.7471	0.0090920479445849	60.0	1.2764373892915137
118	329.4987	0.0012540054421201	133.0	0.17605048306531004
119	330.1411	0.000672037405497	162.0	0.09434768454886287
120	330.5003	0.003613093271775	94.0	0.5072440632957719
121	330.6451	0.0035133233316744	97.0	0.49323730897067736
122	337.7146	0.0154803167788661	50.0	2.1732898083088137
123	339.0209	0.0308102006154365	34.0	4.32546025678828
124	340.7223	0.0001033616957653	252.0	0.014511002790518914
125	340.7276	0.0014509168317297	127.0	0.20369497653993363
126	340.9706	0.0009257873997478	150.0	0.1299717796007522
127	340.976	0.0001029116360196	254.0	0.014447818666289932
128	343.8556	5.04514156086033e-06	363.0	0.0007082900752174468
129	345.7933	9.86074739904448e-05	258.0	0.013843555096952434
130	345.8923	7.06624087313809e-05	273.0	0.009920332698625208
131	347.0277	0.0053232313176128	83.0	0.747331242318776
