	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	438.5393	37227.4075778233	32.0	2.646976122250253
1	440.2104	15015.2541706751	44.0	1.0676279076432917
2	441.7337	11372.2430736929	50.0	0.8085993044120265
3	442.0712	244484.533835898	16.0	17.383555972041844
4	442.4091	14604.6447374339	46.0	1.038432391864008
5	446.614	18351.9624212869	39.0	1.3048774944650787
6	447.527	180224.20063372	20.0	12.814460817123301
7	449.923	145980.422918742	21.0	10.379629389291388
8	453.0823	18781.0707816964	37.0	1.335388337356501
9	455.8095	56265.4214487972	25.0	4.000633854827814
10	456.5287	18612.1061174105	38.0	1.323374462070293
11	458.218	55711.7251562766	26.0	3.961264450385223
12	458.8032	323669.241738127	8.0	23.013817241951536
13	458.9846	222474.511641721	18.0	15.818579870055881
14	460.2069	448851.178313937	5.0	31.914614224941154
15	462.6708	41381.6360769488	30.0	2.942353758218308
16	465.8309	39379.4922185068	31.0	2.7999955514179233
17	467.9028	96993.0728951667	22.0	6.896487418321488
18	469.8183	1141.05852272853	54.0	0.08113255421932251
19	482.3696	1131.08897051997	55.0	0.08042369028378202
20	486.4426	16450.4043316302	41.0	1.1696712261298237
21	492.7197	17764.8754396388	40.0	1.2631339156553574
22	493.5631	20993.7529949458	35.0	1.492716428826615
23	494.3497	92708.9860891884	24.0	6.5918764819470965
24	495.4367	24512.3576250633	34.0	1.7428993732094638
25	496.9701	53765.8181126525	27.0	3.8229048434256465
26	504.0805	35750.2434430674	33.0	2.541945488968322
27	515.2221	93417.6344579145	23.0	6.642263426221104
28	519.1393	270412.201132824	12.0	19.227087947700966
29	525.3479	1002697.36363008	2.0	71.29467647790715
30	529.6077	416534.215218186	6.0	29.6167848775908
31	531.6055	319174.667328	9.0	22.694240029425718
32	534.4729	261877.526381454	13.0	18.620247940622246
33	537.8192	14878.9540652535	45.0	1.0579365767667874
34	538.6895	186751.164941335	19.0	13.27854681711994
35	540.9722	253091.396624091	14.0	17.99552875688337
36	542.588	899053.788172168	3.0	63.92531913310069
37	545.0709	44043.014835734	29.0	3.1315854690765463
38	548.3519	12602.04447921	48.0	0.8960417337218974
39	549.9697	294263.94069324	10.0	20.923015469878546
40	550.7174	9201.80393447976	51.0	0.6542748174252674
41	554.1139	12644.2402722729	47.0	0.899041976391587
42	558.3235	15677.5002771499	42.0	1.1147155171478613
43	558.8301	19526.6477558288	36.0	1.3884010120559795
44	572.769	12064.8294025402	49.0	0.8578441912933751
45	576.444	4051.48150958185	53.0	0.28807202846942404
46	602.418	787239.747398765	4.0	55.97501812326552
47	603.404	349561.294670016	7.0	24.854816933468516
48	604.308	1406412.6708546	1.0	99.99999999999999
49	605.55	46506.3049128972	28.0	3.3067325029600214
50	608.784	252831.110525039	15.0	17.977021664018952
51	616.56	241312.314403167	17.0	17.15800201490895
52	623.23	15550.006947273	43.0	1.1056503734301621
53	773.505	5804.20965937384	52.0	0.41269605853642793
54	784.561	289865.853416041	11.0	20.610298770979174
