	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	379.2436	115619267.355776	81.0	5.922548800122281
1	385.1497	229118293.445283	55.0	11.736489124730953
2	388.9334	158812633.563426	72.0	8.13511098856085
3	392.0532	89937152.7725002	94.0	4.6069931804716235
4	392.5466	344832278.817763	34.0	17.663889815796757
5	394.9429	404148488.208979	26.0	20.70233792909211
6	396.4262	343583011.100451	35.0	17.599896597456855
7	396.4812	799349828.111902	14.0	40.94636191383538
8	396.6566	371011448.625426	29.0	19.00490688222973
9	397.1134	33880705.5624275	126.0	1.7355250267984583
10	397.1137	320533922.92154	41.0	16.419216658378325
11	397.2136	291429952.155506	47.0	14.928377881405591
12	398.9682	362531759.493961	32.0	18.57053833934292
13	399.4791	651062098.150506	15.0	33.35038472732324
14	399.704	307522405.704608	43.0	15.752707109898115
15	400.0173	179577159.29256	64.0	9.198765167961314
16	400.4702	329506094.928379	37.0	16.8788124313742
17	401.5391	255122146.79944	51.0	13.068525678874751
18	403.1753	313866593.001342	42.0	16.077685461009814
19	403.383	446663506.071977	22.0	22.880152006194518
20	403.4324	94683342.3973865	88.0	4.850114766612853
21	403.9343	273079488.87348	48.0	13.988383045093203
22	404.4813	368582558.361015	30.0	18.880487990377983
23	405.486	956810943.749012	10.0	49.012241959700354
24	405.88	186692237.261435	62.0	9.563232072579112
25	406.2805	1026174889.44251	7.0	52.56538117891589
26	408.098	213198709.04492	59.0	10.921015046360528
27	409.682	325856969.516346	38.0	16.691887502469157
28	409.8367	14195438.2202928	155.0	0.7271554086232067
29	410.0717	1687630735.96559	2.0	86.44818133630183
30	411.8457	1020509069.97903	8.0	52.275151937435865
31	414.1224	1002994688.63615	9.0	51.377985050121424
32	414.3112	1952187668.81902	1.0	100.0
33	416.416	881255144.265537	11.0	45.14192760979041
34	417.182	377503267.795763	28.0	19.337447614559228
35	417.2239	365916379.53748	31.0	18.743914090946078
36	417.9393	1582820084.75606	3.0	81.07929939510325
37	418.9479	1345330621.62287	5.0	68.91400059076956
38	419.1601	247212946.710589	52.0	12.663380199514371
39	420.672	869851610.945434	12.0	44.5577863664948
40	420.831	170993936.10298	67.0	8.759093136082717
41	421.186	95331277.403756	87.0	4.883304967366526
42	422.293	1123689760.02995	6.0	57.56053979737145
43	422.532	1522782665.22487	4.0	78.00390759286378
44	423.615	86502849.3236787	96.0	4.43107241713133
45	424.101	461019471.64615	20.0	23.61553036164011
46	424.351	133738950.17328	77.0	6.85072200328904
47	424.764	191009795.987663	61.0	9.78439721951603
48	425.44	159044468.609831	71.0	8.14698664222407
49	426.378	102340225.353212	84.0	5.242335405956279
50	427.227	334758143.155502	36.0	17.147846413660353
51	428.245	320930889.372882	40.0	16.43955109946114
52	430.575	513571519.660511	19.0	26.307487126542355
53	432.356	93833954.4402529	89.0	4.806605222387145
54	432.942	80413976.063656	98.0	4.119172421179292
55	433.397	420840529.145774	24.0	21.557380771714552
56	433.87	138790931.332543	75.0	7.109507633377525
57	434.749	223977149.074526	57.0	11.473136146281544
58	435.979	173118640.682742	66.0	8.867930242970466
59	436.833	325730156.639312	39.0	16.685391565676838
60	440.36	137020475.699076	76.0	7.018816781173852
61	440.583	350655295.799929	33.0	17.96217143467865
62	440.882	829304899.357693	13.0	42.480797958291724
63	441.377	159112608.51563	70.0	8.150477080509656
64	442.122	85378888.5498158	97.0	4.3734979947632775
65	442.913	231242952.967071	54.0	11.845323923542756
66	442.925	412917772.043099	25.0	21.151540839969265
67	444.982	306305060.915237	44.0	15.690349130242016
68	445.435	43336600.5834834	116.0	2.2198993096652417
69	446.866	519653136.806541	18.0	26.619015431078218
70	447.726	87166072.4118216	95.0	4.465045743504408
71	449.646	295274860.654326	46.0	15.125331717362663
72	451.015	429238046.637136	23.0	21.98754010657205
73	451.758	62976447.6746441	104.0	3.2259422944076803
74	453.415	200429996.795524	60.0	10.266943081183097
75	453.592	138859597.53641	74.0	7.113025031062378
76	462.874	95491344.9165092	86.0	4.891504359018765
77	464.605	41497020.1387323	119.0	2.125667567802844
78	466.465	60974940.3308514	106.0	3.1234159146050913
79	473.417	123693896.351682	80.0	6.336168306324304
80	476.272	42802899.0434585	117.0	2.1925606706322553
81	487.91	31901914.4558257	129.0	1.634162276781762
82	488.603	21901470.7260549	140.0	1.121893713185077
83	491.262	62918111.6078839	105.0	3.222954053692304
84	503.441	180012811.206607	63.0	9.221081255753763
85	511.037	215631946.681617	58.0	11.045656630546384
86	511.076	451369280.320764	21.0	23.121203331533223
87	512.953	261267800.598652	49.0	13.38333423429042
88	513.514	224755914.155034	56.0	11.513028063075541
89	516.174	79118350.817624	99.0	4.052804557744533
90	517.39	579636198.455694	16.0	29.691622773457333
91	519.512	146996695.276001	73.0	7.529844472633462
92	519.531	163744352.419578	69.0	8.387736232277067
93	520.656	234017327.414636	53.0	11.987440098738318
94	520.79	67650065.2066364	102.0	3.4653464053259513
95	521.905	257232201.099654	50.0	13.176612331296363
96	522.011	572131937.916688	17.0	29.307220153828773
97	525.17	38449818.2443116	122.0	1.9695759203095415
