	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	305.13654	906.785275052412	40.0	1.431559784894119
1	314.88954	1686.12882634232	29.0	2.661924808828494
2	316.10004	2841.96966245159	23.0	4.486673516417274
3	332.1496	3477.40664220088	16.0	5.489850399710933
4	344.0786	891.444750771149	41.0	1.4073413968760973
5	369.95822	947.351302041387	39.0	1.4956021711878198
6	379.681	3397.43819464005	18.0	5.363602635506909
7	380.1896	3690.83744211268	14.0	5.8267978098834865
8	386.07454	1120.87387838267	35.0	1.7695456822875586
9	397.8155	1982.65179819475	28.0	3.130051468446664
10	402.9485	1557.21673980923	31.0	2.458408757184519
11	408.38923	835.780728921953	42.0	1.3194635085412092
12	410.4276	2501.51169761282	27.0	3.949185817488872
13	413.6115	2675.89989189934	25.0	4.224495896698589
14	424.439	63342.4663517968	1.0	100.0
15	426.6584	7401.34392029512	8.0	11.684647514652974
16	427.3141	18332.7756780996	2.0	28.942314270305584
17	428.7969	3474.43023464729	17.0	5.485151486446238
18	429.3971	11272.9008120229	3.0	17.796750681311494
19	453.0333	1674.2674254447	30.0	2.643198981463732
20	454.0732	978.780358405123	37.0	1.5452198418815728
21	457.1765	7009.90080723105	9.0	11.06666855739223
22	462.2426	2707.50360858492	24.0	4.27438930708469
23	464.8557	4831.36594899939	13.0	7.627372641549094
24	465.9284	3388.77176298045	19.0	5.349920769045525
25	473.0454	1042.2353294393	36.0	1.645397455240919
26	475.7824	1483.55800309772	33.0	2.3421222578518006
27	477.5954	11231.5566324304	4.0	17.731479810166565
28	478.2845	3023.3245253019	21.0	4.77298201258963
29	485.5341	2656.76254727326	26.0	4.194283393573445
30	488.5607	538.13347534247	43.0	0.8495619232028925
31	500.6446	437.620700170836	44.0	0.6908804241065398
32	515.2081	9567.4250924736	6.0	15.10428255088335
33	516.4575	3644.91150099339	15.0	5.754293621517623
34	527.0514	1553.36490499966	32.0	2.452327789657651
35	551.2542	3026.51244914736	20.0	4.77801485079292
36	563.5988	1380.53119896238	34.0	2.1794718116832836
37	569.9147	6920.62914024884	10.0	10.925733617337315
38	619.908	6318.59174949037	12.0	9.975285323431574
39	645.833	7632.35238367133	7.0	12.049345128562125
40	660.7853	949.60062349367	38.0	1.499153219294773
41	731.6521	2972.25964579403	22.0	4.692364880910131
42	772.6079	11072.0807276082	5.0	17.479712056229594
43	782.1876	6373.42122142956	11.0	10.061845691376002
