	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	206.4256	102358225.418924	91.0	0.34293547219573745
1	206.8041	57331009.5201854	99.0	0.19207871903598087
2	223.2905	267802119.590593	59.0	0.8972297630302623
3	227.311	2596932298.66613	22.0	8.700621766922314
4	254.0822	99514569.2583471	93.0	0.3334082401223151
5	254.5203	1528358286.12977	34.0	5.120529086871798
6	255.2354	8420522464.64698	9.0	28.211663847531387
7	255.5795	1620960739.40025	33.0	5.430779346768592
8	256.0228	4713754018.71381	13.0	15.79270697207021
9	256.319	2137899002.38266	26.0	7.162701393935523
10	261.1186	368292194.526768	51.0	1.233906284708714
11	266.7705	54004094.9597141	100.0	0.18093240411032988
12	273.5564	124102919.730735	82.0	0.415787722037441
13	274.6376	87194666.7860188	97.0	0.2921323040218029
14	278.2297	230975861.407512	64.0	0.7738490558371679
15	278.9145	319763875.079508	53.0	1.071319623242083
16	280.13	405131238.637652	48.0	1.3573298291840163
17	281.9499	403257907.214903	49.0	1.35105352072507
18	282.2125	607744758.091497	43.0	2.036155225802298
19	282.6633	864770415.535597	39.0	2.8972801118704803
20	287.0842	97065906.6980224	94.0	0.3252043732817542
21	291.2979	161950827.213074	77.0	0.5425913078846502
22	297.9669	176045035.221272	72.0	0.5898117814590456
23	298.8926	1081784708.54925	38.0	3.6243530827360155
24	303.9917	813351857.316064	40.0	2.725010150463163
25	304.5716	1229245816.82516	36.0	4.118398818583217
26	305.2919	1662715588.56779	32.0	5.570672539104894
27	306.0518	99725622.3098595	92.0	0.3341153408714981
28	306.5111	2037794780.86395	27.0	6.827317614714994
29	307.5357	105266911.456463	90.0	0.3526805768580166
30	310.7512	237175429.29874	62.0	0.7946197533896748
31	312.8269	278013184.588518	58.0	0.9314403639111699
32	313.3086	435348184.061967	47.0	1.4585670517422387
33	313.9721	703220787.611504	42.0	2.3560329604231676
34	319.0981	136039938.027498	81.0	0.4557808636677838
35	319.9331	234364777.459692	63.0	0.7852030972132231
36	324.4163	113935150.041798	89.0	0.3817221754222839
37	325.1308	118852257.777677	84.0	0.3981961877094217
38	331.1698	210510824.897321	67.0	0.7052841024061968
39	331.2721	380855880.397686	50.0	1.2759989795461688
40	331.7026	89697671.5158793	96.0	0.30051823593328153
41	332.0402	220648784.35799	66.0	0.7392497744419978
42	333.1048	303118516.744667	55.0	1.0155519133480952
43	334.3233	457692083.225789	45.0	1.5334268451694761
44	335.2049	151146855.838193	78.0	0.5063942654889829
45	335.3724	14593191385.9201	5.0	48.89224054335784
46	335.9232	17801410.57867	104.0	0.059640884917273554
47	335.9678	2035849312.03478	28.0	6.820799620984222
48	336.1265	1941421771.16415	29.0	6.504434686127069
49	336.1931	2228110484.30019	25.0	7.464941072498236
50	336.8936	4728562101.97881	12.0	15.842319174763379
51	337.2148	9296469582.71662	8.0	31.1463897801497
52	337.3522	117636212.235002	85.0	0.3941220143766778
53	337.8195	164388544.729149	75.0	0.5507585050398721
54	337.9154	317294321.770725	54.0	1.063045765165764
55	337.9378	300492476.575054	57.0	1.0067537701418658
56	353.5714	2898622232.73885	21.0	9.711387434014481
