	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	201.8657	27106021.2824111	19.0	0.020458978295658414
1	205.1869	53334677.7048237	16.0	0.04025574252304521
2	215.285	6844644737.45587	5.0	5.166174580404744
3	216.5928	484304296.04051	11.0	0.3655413303912807
4	216.5989	9725816345.23285	4.0	7.340814184477733
5	228.20004	673646304.297816	10.0	0.5084521617904372
6	232.2356	1083191340.43119	9.0	0.81756698605955
7	232.45313	119516018.369789	15.0	0.09020783981298215
8	242.35705	125943555.60939	14.0	0.09505919160340015
9	247.15967	246992983.248917	12.0	0.18642441215629518
10	346.44531	14368389483.9624	3.0	10.844917648858466
11	347.48891	1588127490.4203	8.0	1.1986807476732433
12	407.77094	132489613560.826	1.0	100.0
13	416.17918	1681483378.03171	7.0	1.2691435447954873
14	421.55193	64198353245.8909	2.0	48.455385686831534
15	430.5443	3500821747.78102	6.0	2.642336749041684
16	441.484	17309366.3352507	21.0	0.013064696824180839
17	441.75	1890345.20962516	26.0	0.0014267874732363849
18	458.593	3925019.86151636	25.0	0.002962511366760371
19	530.311	27522368.285186	18.0	0.020773227082099138
20	537.913	46999293.3805516	17.0	0.03547394555496549
21	538.545	5277682.15757569	24.0	0.003983468602354029
22	572.336	5656838.19655709	23.0	0.004269646536450976
23	581.938	10970290.1392655	22.0	0.00828011331939544
24	868.93	174978500.587029	13.0	0.13206959842682034
25	871.983	21241075.7502687	20.0	0.01603225730635626
