	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	313.1255	9089242743.48661	1.0	100.0
1	336.2615	4322222559.8298	5.0	47.55316456838082
2	342.508	4435444166.6946	3.0	48.79883057225046
3	344.15	2755313512.06994	8.0	30.31400513584489
4	345.3667	2377467417.45723	9.0	26.156936111767212
5	346.2197	6113705442.42677	2.0	67.26308907095563
6	370.0256	2362946933.55642	10.0	25.997181506124015
7	370.1363	1714401966.57237	12.0	18.86187898107263
8	376.1333	3094445007.92454	7.0	34.045135499786625
9	376.1914	2199763519.41709	11.0	24.201834866754435
10	379.576	3371365318.56978	6.0	37.09181736823691
11	384.802	4325200617.46278	4.0	47.585929208043616
12	424.215	659292632.963968	13.0	7.253548525111401
