	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	433.052	148871.555521786	10.0	8.332420954559515
1	441.482	134820.755493284	12.0	7.545990127156208
2	460.304	478519.643959894	4.0	26.78300159170625
3	484.432	1786654.27891426	1.0	100.0
4	487.649	133744.690234582	13.0	7.485762176432808
5	526.044	50358.0902403922	19.0	2.8185693692791274
6	526.198	66395.6360850083	17.0	3.7161994275331525
7	529.221	1232360.19352405	2.0	68.97586220614257
8	537.239	261013.275071651	6.0	14.60905325401103
9	541.914	691509.662911962	3.0	38.70416739673826
10	543.897	105943.093452302	14.0	5.929691866110943
11	547.261	142338.339433208	11.0	7.966753339639173
12	553.106	96163.7241797644	15.0	5.382335313253919
13	571.96	64461.6147526806	18.0	3.6079512143699994
14	597.642	233661.86501918	7.0	13.07818013685194
15	603.619	91050.7082773364	16.0	5.09615706585761
16	605.115	205871.575081712	9.0	11.522742676709623
17	609.757	212660.778307443	8.0	11.902738029244013
18	627.086	25851.8407274078	21.0	1.4469414162832792
19	627.754	42024.1051343786	20.0	2.352111744859583
20	680.572	16476.5296042786	22.0	0.9222002151580941
21	699.088	303888.572802329	5.0	17.008806705850247
