	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	211.6675	11055107250.9054	3.0	20.28011712941251
1	212.6741	3257575554.22121	8.0	5.975881761988917
2	218.5716	2387303590.27737	10.0	4.379405403807997
3	222.4467	3924843746.25476	7.0	7.199956461948379
4	265.3745	9269661609.32545	5.0	17.004794157174953
5	275.0478	10810516097.9948	4.0	19.83142521559695
6	289.1385	7794063792.76391	6.0	14.297873647351537
7	297.056	3245157032.19867	9.0	5.953100519303942
8	328.9367	54512048329.7014	1.0	99.99999999999999
9	369.4192	27846789910.1083	2.0	51.08373426308348
