	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	192.967	179434.72097031	19.0	0.00023123283752066239
1	202.5483	77599151960.5325	1.0	100.0
2	206.2004	40283128406.5722	2.0	51.91181525677045
3	206.423	236689054.032696	4.0	0.30501500087665623
4	209.9937	422206088.015935	3.0	0.5440859562881204
5	210.2175	46988714.8522445	7.0	0.06055312933850527
6	250.199	119549889.970882	6.0	0.1540608201900015
7	255.7948	232088744.872733	5.0	0.2990867026366152
8	257.065	4059682.81826948	11.0	0.005231607196344445
9	276.392	409762.501822932	17.0	0.0005280502318264254
10	278.281	479967.243033562	16.0	0.0006185212478580654
11	407.813	31927.9153236838	22.0	4.1144670421040905e-05
12	411.939	55403.0820366664	20.0	7.139650451959166e-05
13	491.161	4733111.24015255	9.0	0.0060994368115773285
14	492.401	9408495.2178605	8.0	0.012124482008058194
15	602.12	971872.174296469	14.0	0.00125242628268769
16	610.25	1187401.97714362	13.0	0.0015301739093070777
17	611.16	54641.4454749955	21.0	7.041500337888556e-05
18	758.85	4219615.4982557	10.0	0.005437708263102962
19	761.28	253761.343728273	18.0	0.0003270156146259664
20	773.26	2015900.27647984	12.0	0.002597838024705659
21	775.79	494941.359910706	15.0	0.0006378180011070698
