	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	209.33	1	130	3.8461538461538463
1	212.3362	1	131	3.8461538461538463
2	212.9663	1	132	3.8461538461538463
3	213.4733	2	108	7.6923076923076925
4	214.5555	3	91	11.538461538461538
5	215.0699	5	55	19.23076923076923
6	216.0383	3	92	11.538461538461538
7	216.4915	2	109	7.6923076923076925
8	216.8805	1	133	3.8461538461538463
9	217.4028	1	134	3.8461538461538463
10	217.7396	4	74	15.384615384615385
11	218.0996	5	56	19.23076923076923
12	219.915	1	135	3.8461538461538463
13	220.459	2	110	7.6923076923076925
14	220.46599999999998	2	111	7.6923076923076925
15	221.0046	2	112	7.6923076923076925
16	225.7999	2	113	7.6923076923076925
17	226.3462	4	75	15.384615384615385
18	226.3731	2	114	7.6923076923076925
19	226.6014	3	93	11.538461538461538
20	226.753	4	76	15.384615384615385
21	226.9096	4	77	15.384615384615385
22	226.922	2	115	7.6923076923076925
23	231.1035	4	78	15.384615384615385
24	231.2491	5	57	19.23076923076923
25	231.3526	6	44	23.076923076923077
26	231.4983	4	79	15.384615384615385
27	231.7482	7	37	26.923076923076923
28	231.9057	5	58	19.23076923076923
29	232.1562	9	23	34.61538461538461
30	236.7052	8	28	30.76923076923077
31	236.7611	8	29	30.76923076923077
32	236.8112	8	30	30.76923076923077
33	236.9304	10	16	38.46153846153846
34	237.0225	9	24	34.61538461538461
35	237.0726	6	45	23.076923076923077
36	237.207	3	94	11.538461538461538
37	237.3124	8	31	30.76923076923077
38	237.3349	2	116	7.6923076923076925
39	237.3571	8	32	30.76923076923077
40	237.4496	4	80	15.384615384615385
41	237.8368	3	95	11.538461538461538
42	242.305	5	59	19.23076923076923
43	242.477	5	60	19.23076923076923
44	242.505	1	136	3.8461538461538463
45	245.983	5	61	19.23076923076923
46	246.574	4	81	15.384615384615385
47	251.3305	5	62	19.23076923076923
48	251.9222	4	82	15.384615384615385
49	251.9514	1	137	3.8461538461538463
50	256.7984	10	17	38.46153846153846
51	257.5094	10	18	38.46153846153846
52	257.5393	3	96	11.538461538461538
53	263.395	2	117	7.6923076923076925
54	263.603	2	118	7.6923076923076925
55	263.632	1	138	3.8461538461538463
56	264.749	6	46	23.076923076923077
57	264.861	4	83	15.384615384615385
58	265.2484	10	19	38.46153846153846
59	265.7406	3	97	11.538461538461538
60	265.933	3	98	11.538461538461538
61	266.0393	10	20	38.46153846153846
62	274.098	4	84	15.384615384615385
63	274.8065	3	99	11.538461538461538
64	277.519	1	139	3.8461538461538463
65	277.763	2	119	7.6923076923076925
66	283.7856	2	120	7.6923076923076925
67	283.7963	7	38	26.923076923076923
68	284.0099	7	39	26.923076923076923
69	284.0205	2	121	7.6923076923076925
70	286.892	1	140	3.8461538461538463
71	287.157	2	122	7.6923076923076925
72	289.4228	3	100	11.538461538461538
73	290.2258	2	123	7.6923076923076925
74	291.3267	3	101	11.538461538461538
75	291.566	2	124	7.6923076923076925
76	292.793	5	63	19.23076923076923
77	293.60400000000004	3	102	11.538461538461538
78	299.629	3	103	11.538461538461538
79	300.502	1	141	3.8461538461538463
80	305.0073	13	9	50.0
81	305.4679	5	64	19.23076923076923
82	305.7144	14	6	53.84615384615385
83	305.9029	4	85	15.384615384615385
84	305.9924	4	86	15.384615384615385
85	306.42900000000003	7	40	26.923076923076923
86	306.512	1	142	3.8461538461538463
87	306.6145	5	65	19.23076923076923
88	308.21529	24	3	92.3076923076923
89	308.702	5	66	19.23076923076923
90	308.982	1	143	3.8461538461538463
91	309.27099	26	1	100.0
92	309.28386	20	5	76.92307692307692
93	320.339	4	87	15.384615384615385
94	324.159	3	104	11.538461538461538
95	325.16	2	125	7.6923076923076925
96	328.22	3	105	11.538461538461538
97	343.9347	6	47	23.076923076923077
98	344.36400000000003	9	25	34.61538461538461
99	344.4865	6	48	23.076923076923077
100	345.2657	2	126	7.6923076923076925
101	345.8216	6	49	23.076923076923077
102	345.8216	6	50	23.076923076923077
103	346.98	1	144	3.8461538461538463
104	347.9806	5	67	19.23076923076923
105	348.2628	5	68	19.23076923076923
106	393.1996	5	69	19.23076923076923
107	393.5677	4	88	15.384615384615385
108	394.40058	24	4	92.3076923076923
109	396.152	26	2	100.0
110	425.51199999999994	2	127	7.6923076923076925
