	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	320.03700000000003	8	104	0.022857142857142857	
1	331.934	7	105	0.02	
2	337.347	7	106	0.02	
3	339.37300000000005	7	107	0.02	
4	346.10699999999997	7	108	0.02	
5	355.4306	7	109	0.02	
6	360.6522	7	110	0.02	
7	377.0369	20	70	0.05714285714285714	
8	383.4679	7	111	0.02	
9	394.7505	7	112	0.02	
10	394.8979	35	57	0.1	
11	404.4418	50	50	0.14285714285714285	
12	415.85900000000004	400	27	1.1428571428571428	
13	416.418	50	51	0.14285714285714285	
14	418.1884	50	52	0.14285714285714285	
15	419.0713	100	39	0.2857142857142857	
16	419.1029	50	53	0.14285714285714285	
17	419.8317	200	30	0.5714285714285714	
18	420.0674	400	28	1.1428571428571428	
19	425.1185	25	61	0.07142857142857142	
20	425.9362	200	31	0.5714285714285714	
21	426.6286	100	40	0.2857142857142857	
22	427.2169	150	35	0.42857142857142855	
23	430.0101	100	41	0.2857142857142857	
24	433.3561	100	42	0.2857142857142857	
25	433.5338	50	54	0.14285714285714285	
26	434.5168	25	62	0.07142857142857142	
27	451.0733	100	43	0.2857142857142857	
28	452.2323	20	71	0.05714285714285714	
29	459.6097	15	79	0.04285714285714286	
30	462.8441	7	113	0.02	
31	470.2316	15	80	0.04285714285714286	
32	515.1391	5	125	0.014285714285714285	
33	516.2285	15	81	0.04285714285714286	
34	518.7746	20	72	0.05714285714285714	
35	522.1271	7	114	0.02	
36	542.1352	5	126	0.014285714285714285	
37	545.1652	10	91	0.02857142857142857	
38	549.5874	25	63	0.07142857142857142	
39	550.6113	5	127	0.014285714285714285	
40	555.8702	25	64	0.07142857142857142	
41	557.2541	10	92	0.02857142857142857	
42	560.6733	35	58	0.1	
43	565.0704	20	73	0.05714285714285714	
44	573.952	10	93	0.02857142857142857	
45	583.4263	5	128	0.014285714285714285	
46	586.031	10	94	0.02857142857142857	
47	588.2624	15	82	0.04285714285714286	
48	588.8584	25	65	0.07142857142857142	
49	591.2085	50	55	0.14285714285714285	
50	592.8813	15	83	0.04285714285714286	
51	594.2669	5	129	0.014285714285714285	
52	598.7302	7	115	0.02	
53	599.8999	5	130	0.014285714285714285	
54	602.515	5	131	0.014285714285714285	
55	603.2127	70	46	0.2	
56	604.3223	35	59	0.1	
57	605.2723	10	95	0.02857142857142857	
58	605.9372	20	74	0.05714285714285714	
59	609.8803	7	116	0.02	
60	610.5635	10	96	0.02857142857142857	
61	614.5441	10	97	0.02857142857142857	
62	617.0174	7	117	0.02	
63	617.3096	10	98	0.02857142857142857	
64	621.2503	10	99	0.02857142857142857	
65	621.5938	5	132	0.014285714285714285	
66	629.6872	7	118	0.02	
67	630.7657	15	84	0.04285714285714286	
68	636.9575	7	119	0.02	
69	638.4717	20	75	0.05714285714285714	
70	641.6307	70	47	0.2	
71	653.8112	15	85	0.04285714285714286	
72	660.4853	15	86	0.04285714285714286	
73	666.0676	5	133	0.014285714285714285	
74	666.4051	5	134	0.014285714285714285	
75	667.7282	100	44	0.2857142857142857	
76	675.2834	150	36	0.42857142857142855	
77	675.6163	5	135	0.014285714285714285	
78	676.6612	15	87	0.04285714285714286	
79	687.1289	150	37	0.42857142857142855	
80	687.9582	5	136	0.014285714285714285	
81	688.8174	10	100	0.02857142857142857	
82	693.7664	50	56	0.14285714285714285	
83	695.1478	7	120	0.02	
84	696.025	7	121	0.02	
85	696.5431	10000	16	28.571428571428573	
86	703.0251	150	38	0.42857142857142855	
87	706.7218	10000	17	28.571428571428573	
88	706.8736	100	45	0.2857142857142857	
89	710.7478	25	66	0.07142857142857142	
90	712.582	25	67	0.07142857142857142	
91	714.7042	1000	25	2.857142857142857	
92	715.8839	15	88	0.04285714285714286	
93	720.698	70	48	0.2	
94	726.5172	15	89	0.04285714285714286	
95	727.0664	7	122	0.02	
96	727.2936	2000	23	5.714285714285714	
97	731.1716	35	60	0.1	
98	731.6005	25	68	0.07142857142857142	
99	735.0814	5	137	0.014285714285714285	
100	735.3293	70	49	0.2	
101	737.2118	200	32	0.5714285714285714	
102	738.398	10000	18	28.571428571428573	
103	739.298	20	76	0.05714285714285714	
104	741.2337	15	90	0.04285714285714286	
105	742.5294	10	101	0.02857142857142857	
106	743.5368	25	69	0.07142857142857142	
107	743.6297	10	102	0.02857142857142857	
108	750.3869	20000	6	57.142857142857146	
109	751.4652	15000	11	42.857142857142854	
110	763.5106	25000	3	71.42857142857143	
111	772.3761	15000	12	42.857142857142854	
112	772.4207	10000	19	28.571428571428573	
113	789.1075	10	103	0.02857142857142857	
114	794.8176	20000	7	57.142857142857146	
115	800.6157	20000	8	57.142857142857146	
116	801.4786	25000	4	71.42857142857143	
117	805.3308	7	123	0.02	
118	810.3693	20000	9	57.142857142857146	
119	811.5311	35000	1	100.0	
120	826.4522	10000	20	28.571428571428573	
121	839.227	20	77	0.05714285714285714	
122	840.821	15000	13	42.857142857142854	
123	842.4648	20000	10	57.142857142857146	
124	852.1442	15000	14	42.857142857142854	
125	860.5776	7	124	0.02	
126	866.7944	4500	21	12.857142857142858	
127	884.9910000000001	180	33	0.5142857142857142	
128	907.5394	20	78	0.05714285714285714	
129	912.2967	35000	2	100.0	
130	919.4638	550	26	1.5714285714285714	
131	922.4499	15000	15	42.857142857142854	
132	929.1531	400	29	1.1428571428571428	
133	935.422	1600	24	4.571428571428571	
134	965.7786	25000	5	71.42857142857143	
135	978.4503	4500	22	12.857142857142858	
136	1005.21	180	34	0.5142857142857142	
