	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	200.334	230	5	65.71428571428571	
1	200.919	100	18	28.571428571428573	
2	201.332	100	19	28.571428571428573	
3	211.299	100	20	28.571428571428573	
4	214.408	100	21	28.571428571428573	
5	216.55200000000002	135	13	38.57142857142857	
6	228.812	350	1	100.0	
7	234.403	35	36	10.0	
8	234.984	350	2	100.0	
9	236.967	6	37	1.7142857142857142	
10	237.077	100	22	28.571428571428573	
11	238.118	135	14	38.57142857142857	
12	245.653	170	9	48.57142857142857	
13	249.291	40	34	11.428571428571429	
14	274.5	40	35	11.428571428571429	
15	278.022	170	10	48.57142857142857	
16	286.04400000000004	100	23	28.571428571428573	
17	289.871	50	33	14.285714285714286	
18	506.898	100	24	28.571428571428573	
19	512.134	100	25	28.571428571428573	
20	514.163	100	26	28.571428571428573	
21	540.813	100	27	28.571428571428573	
22	545.132	135	15	38.57142857142857	
23	842.8910000000001	100	28	28.571428571428573	
24	856.471	100	29	28.571428571428573	
25	865.414	100	30	28.571428571428573	
26	882.173	135	16	38.57142857142857	
27	886.966	100	31	28.571428571428573	
28	926.7280000000001	135	17	38.57142857142857	
29	930.061	200	8	57.142857142857146	
30	959.795	230	6	65.71428571428571	
31	962.67	290	3	82.85714285714286	
32	983.3760000000001	230	7	65.71428571428571	
33	988.605	100	32	28.571428571428573	
34	990.055	140	12	40.0	
35	991.571	170	11	48.57142857142857	
36	992.305	290	4	82.85714285714286	
