	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	259.66357	120	53	6.557377049180328	
1	270.26331	78	66	4.262295081967213	
2	273.92363	39	86	2.1311475409836067	
3	278.52783999999997	95	57	5.191256830601093	
4	307.15841	168	46	9.180327868852459	
5	313.572	8	144	0.4371584699453552	
6	313.77	10	133	0.546448087431694	
7	315.567	10	134	0.546448087431694	
8	316.56	25	98	1.366120218579235	
9	318.39599999999996	15	117	0.819672131147541	
10	326.23186	2	189	0.1092896174863388	
11	328.14853999999997	3	180	0.16393442622950818	
12	328.17699999999996	15	118	0.819672131147541	
13	332.27835	5	159	0.273224043715847	
14	335.6798	8	145	0.4371584699453552	
15	337.69661	13	122	0.7103825136612022	
16	337.73867	2	190	0.1092896174863388	
17	342.03129	19	108	1.0382513661202186	
18	342.10004	1	201	0.0546448087431694	
19	350.11075	860	8	46.994535519125684	
20	352.49732	47	80	2.568306010928962	
21	352.9481	6	152	0.32786885245901637	
22	353.13417999999996	5	160	0.273224043715847	
23	354.46566	74	67	4.043715846994536	
24	354.76822000000004	9	136	0.4918032786885246	
25	356.19336	6	153	0.32786885245901637	
26	356.66533	6	154	0.32786885245901637	
27	357.6027	6	155	0.32786885245901637	
28	357.76089	18	111	0.9836065573770492	
29	357.96635	87	60	4.754098360655738	
30	358.65087	10	135	0.546448087431694	
31	358.80969	11	130	0.6010928961748634	
32	358.99041	2	191	0.1092896174863388	
33	359.32024	12	128	0.6557377049180327	
34	359.94005	16	116	0.8743169398907104	
35	361.09572000000003	11	131	0.6010928961748634	
36	363.06401	57	76	3.1147540983606556	
37	363.68413	19	109	1.0382513661202186	
38	363.97064	1	202	0.0546448087431694	
39	364.03888	114	54	6.229508196721311	
40	366.25367	13	123	0.7103825136612022	
41	368.8373	13	124	0.7103825136612022	
42	379.47979	33	90	1.8032786885245902	
43	386.18816	53	78	2.8961748633879782	
44	388.13342	3	181	0.16393442622950818	
45	388.93262999999996	165	47	9.01639344262295	
46	389.05714	9	137	0.4918032786885246	
47	389.26555	82	62	4.48087431693989	
48	389.43494	4	174	0.2185792349726776	
49	389.47817000000003	1	203	0.0546448087431694	
50	390.59632	5	161	0.273224043715847	
51	390.99092	272	37	14.863387978142077	
52	391.7252	4	175	0.2185792349726776	
53	393.57167000000004	423	27	23.114754098360656	
54	393.78681	59	75	3.2240437158469946	
55	394.55928	21	106	1.1475409836065573	
56	394.75057000000004	9	138	0.4918032786885246	
57	399.33988999999997	530	21	28.961748633879782	
58	399.56551	61	73	3.3333333333333335	
59	399.78728	1	204	0.0546448087431694	
60	408.09615	13	125	0.7103825136612022	
61	408.48672999999997	43	81	2.349726775956284	
62	408.72467	8	146	0.4371584699453552	
63	408.73435	9	139	0.4918032786885246	
64	413.24266	309	32	16.885245901639344	
65	417.93487000000005	14	119	0.7650273224043715	
66	422.39634	34	89	1.8579234972677596	
67	423.95552000000004	25	99	1.366120218579235	
68	424.2605	17	115	0.9289617486338798	
69	426.44174000000004	42	83	2.2950819672131146	
70	428.30973	530	22	28.961748633879782	
71	429.11571	26	97	1.4207650273224044	
72	430.51815	6	156	0.32786885245901637	
73	432.30030999999997	61	74	3.3333333333333335	
74	432.51085	18	112	0.9836065573770492	
75	433.29146	39	87	2.1311475409836067	
76	435.03255	271	38	14.808743169398907	
77	435.95269	9	140	0.4918032786885246	
78	440.25386	273	36	14.918032786885245	
79	440.68319	29	93	1.5846994535519126	
80	441.36612	13	126	0.7103825136612022	
81	443.18942999999996	374	29	20.437158469945356	
82	446.70914000000005	30	91	1.639344262295082	
83	448.898	234	40	12.78688524590164	
84	449.3638	137	51	7.4863387978142075	
85	450.4348	5	162	0.273224043715847	
86	450.5924	209	42	11.420765027322405	
87	452.3167	327	31	17.868852459016395	
88	457.3853	230	41	12.568306010928962	
89	457.9638	580	18	31.693989071038253	
90	458.9756	22	104	1.2021857923497268	
91	459.1824	28	95	1.530054644808743	
92	459.9717	108	56	5.901639344262295	
93	460.4983	28	96	1.530054644808743	
94	461.99199999999996	40	85	2.185792349726776	
95	462.8331	63	70	3.442622950819672	
96	467.3619	133	52	7.26775956284153	
97	469.1614	306	33	16.721311475409838	
98	469.9095	24	102	1.3114754098360655	
99	470.0422	80	63	4.371584699453552	
100	472.4713	8	147	0.4371584699453552	
101	472.6434	371	30	20.273224043715846	
102	487.7647	66	69	3.6065573770491803	
103	490.2848	63	71	3.442622950819672	
104	494.7312	25	100	1.366120218579235	
105	499.5644	5	163	0.273224043715847	
106	505.4958	19	110	1.0382513661202186	
107	515.9876	80	64	4.371584699453552	
108	525.3804	5	164	0.273224043715847	
109	530.5701	6	157	0.32786885245901637	
110	542.4548	199	44	10.87431693989071	
111	543.7318	5	165	0.273224043715847	
112	551.9044	280	35	15.300546448087431	
113	553.5481	1830	1	100.0	
114	553.5869	112	55	6.120218579234972	
115	559.3308	5	166	0.273224043715847	
116	567.9995	21	107	1.1475409836065573	
117	568.0176	41	84	2.240437158469945	
118	577.7618	740	11	40.43715846994535	
119	578.4042	5	167	0.273224043715847	
120	580.0226	203	43	11.092896174863387	
121	580.5681	419	28	22.896174863387976	
122	581.8812	14	120	0.7650273224043715	
123	582.6274	610	16	33.333333333333336	
124	590.7636	94	58	5.136612021857924	
125	597.1698	700	13	38.25136612021858	
126	597.8461	8	148	0.4371584699453552	
127	599.7087	620	15	33.87978142076503	
128	601.947	610	17	33.333333333333336	
129	606.3114	840	9	45.90163934426229	
130	608.3394	5	168	0.273224043715847	
131	611.0783	880	7	48.08743169398907	
132	612.9233	5	169	0.273224043715847	
133	634.168	900	5	49.18032786885246	
134	641.1112	3	182	0.16393442622950818	
135	645.0851	580	19	31.693989071038253	
136	648.2908	1770	2	96.72131147540983	
137	649.876	1060	4	57.923497267759565	
138	652.7311	890	6	48.63387978142077	
139	659.5325	740	12	40.43715846994535	
140	665.4114	9	141	0.4918032786885246	
141	667.5269999999999	462	25	25.24590163934426	
142	669.3842	454	26	24.808743169398905	
143	677.1858	4	176	0.2185792349726776	
144	686.5686	62	72	3.387978142076503	
145	686.7905	8	149	0.4371584699453552	
146	696.1482	1	205	0.0546448087431694	
147	705.9943	770	10	42.076502732240435	
148	708.9908	6	158	0.32786885245901637	
149	712.0331	530	23	28.961748633879782	
150	715.3624	5	170	0.273224043715847	
151	719.523	53	79	2.8961748633879782	
152	722.8796	25	101	1.366120218579235	
153	722.9568	1	206	0.0546448087431694	
154	728.0296	1280	3	69.94535519125684	
155	735.9308	2	192	0.1092896174863388	
156	737.5502	3	183	0.16393442622950818	
157	739.2405	143	50	7.814207650273224	
158	741.0009	1	207	0.0546448087431694	
159	741.7536	30	92	1.639344262295082	
160	745.9664	29	94	1.5846994535519126	
161	748.8075	253	39	13.825136612021858	
162	751.3455	2	193	0.1092896174863388	
163	752.3642	1	208	0.0546448087431694	
164	761.0477	22	105	1.2021857923497268	
165	763.6777	14	121	0.7650273224043715	
166	764.2793	23	103	1.2568306010928962	
167	767.2085	560	20	30.601092896174862	
168	770.6567	3	184	0.16393442622950818	
169	775.1753	3	185	0.16393442622950818	
170	778.0478	299	34	16.338797814207652	
171	783.9569	5	171	0.273224043715847	
172	787.7801	2	194	0.1092896174863388	
173	790.5747	150	49	8.19672131147541	
174	791.1329	160	48	8.743169398907105	
175	798.2439999999999	1	209	0.0546448087431694	
176	812.0517	2	195	0.1092896174863388	
177	821.0239	70	68	3.8251366120218577	
178	851.426	2	196	0.1092896174863388	
179	855.9998	700	14	38.25136612021858	
180	856.7435	5	172	0.273224043715847	
181	858.1908	4	177	0.2185792349726776	
182	865.4078	13	127	0.7103825136612022	
183	879.3184	2	197	0.1092896174863388	
184	879.9836	5	173	0.273224043715847	
185	886.1014	43	82	2.349726775956284	
186	891.5013	80	65	4.371584699453552	
187	893.7707	2	198	0.1092896174863388	
188	913.3129	2	199	0.1092896174863388	
189	918.9391	12	129	0.6557377049180327	
190	921.5263	4	178	0.2185792349726776	
191	921.9709	56	77	3.060109289617486	
192	925.291	3	186	0.16393442622950818	
193	930.7978	18	113	0.9836065573770492	
194	932.4387	18	114	0.9836065573770492	
195	936.7277	9	142	0.4918032786885246	
196	937.0119	510	24	27.868852459016395	
197	939.8465	3	187	0.16393442622950818	
198	940.3541	3	188	0.16393442622950818	
199	941.4584	2	200	0.1092896174863388	
200	944.9937	7	151	0.3825136612021858	
201	945.5973	89	59	4.863387978142076	
202	952.4551	8	150	0.4371584699453552	
203	958.9303	36	88	1.9672131147540983	
204	960.8894	184	45	10.05464480874317	
205	964.56	9	143	0.4918032786885246	
206	970.4309	4	179	0.2185792349726776	
207	971.3719	11	132	0.6010928961748634	
208	983.0175	83	61	4.53551912568306	
