	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	381.565	1200	88	1.6	
1	399.236	1500	82	2.0	
2	436.514	2000	65	2.6666666666666665	
3	442.514	1500	83	2.0	
4	444.17400000000004	10000	30	13.333333333333334	
5	447.26099999999997	10000	31	13.333333333333334	
6	447.772	20000	17	26.666666666666668	
7	449.042	1000	94	1.3333333333333333	
8	451.344	3000	51	4.0	
9	452.559	15000	24	20.0	
10	457.574	3000	52	4.0	
11	461.458	2500	57	3.3333333333333335	
12	475.228	2500	58	3.3333333333333335	
13	478.031	4000	46	5.333333333333333	
14	478.519	1600	79	2.1333333333333333	
15	497.976	4000	47	5.333333333333333	
16	524.512	350	100	0.4666666666666667	
17	534.5419999999999	600	99	0.8	
18	539.548	1200	89	1.6	
19	546.622	1200	90	1.6	
20	585.2080000000001	1800	72	2.4	
21	594.048	1600	80	2.1333333333333333	
22	612.214	2400	63	3.2	
23	614.86	40000	5	53.333333333333336	
24	617.739	2000	66	2.6666666666666665	
25	633.548	1500	84	2.0	
26	635.073	60000	2	80.0	
27	641.0319999999999	2500	59	3.3333333333333335	
28	648.356	1800	73	2.4	
29	651.462	1000	95	1.3333333333333333	
30	654.457	20000	18	26.666666666666668	
31	654.809	1500	85	2.0	
32	655.98	50000	3	66.66666666666667	
33	657.1310000000001	1000	96	1.3333333333333333	
34	657.914	1800	74	2.4	
35	658.217	20000	19	26.666666666666668	
36	662.047	1500	86	2.0	
37	663.1619999999999	50000	4	66.66666666666667	
38	668.2280000000001	20000	20	26.666666666666668	
39	669.2130000000001	10000	32	13.333333333333334	
40	672.828	8000	40	10.666666666666666	
41	676.0060000000001	2000	67	2.6666666666666665	
42	677.948	2000	68	2.6666666666666665	
43	678.674	2200	64	2.933333333333333	
44	679.0039999999999	6500	42	8.666666666666666	
45	679.148	1600	78	2.1333333333333333	
46	686.115	1800	75	2.4	
47	700.5189999999999	10000	33	13.333333333333334	
48	726.045	2000	69	2.6666666666666665	
49	734.8510000000001	10000	34	13.333333333333334	
50	751.296	40000	6	53.333333333333336	
51	759.1610000000001	1600	81	2.1333333333333333	
52	759.507	1800	76	2.4	
53	761.6410000000001	2000	70	2.6666666666666665	
54	780.302	30000	10	40.0	
55	782.7230000000001	1200	91	1.6	
56	788.145	2500	56	3.3333333333333335	
57	788.1569999999999	2500	60	3.3333333333333335	
58	792.581	2500	61	3.3333333333333335	
59	793.868	30000	9	40.0	
60	794.794	3000	53	4.0	
61	795.018	3000	54	4.0	
62	797.8439999999999	8000	41	10.666666666666666	
63	797.857	10000	35	13.333333333333334	
64	798.9939999999999	30000	11	40.0	
65	802.635	2000	71	2.6666666666666665	
66	802.654	2500	62	3.3333333333333335	
67	813.1519999999999	30000	12	40.0	
68	815.265	1000	93	1.3333333333333333	
69	815.375	10000	36	13.333333333333334	
70	815.4	25000	15	33.333333333333336	
71	824.686	5000	45	6.666666666666667	
72	826.4960000000001	15000	25	20.0	
73	827.2439999999999	75000	1	100.0	
74	833.47	20000	21	26.666666666666668	
75	834.37	10000	37	13.333333333333334	
76	838.404	1200	92	1.6	
77	844.655	40000	7	53.333333333333336	
78	847.745	4000	48	5.333333333333333	
79	851.3380000000001	1500	87	2.0	
80	855.773	1000	97	1.3333333333333333	
81	856.628	1000	98	1.3333333333333333	
82	863.8660000000001	20000	22	26.666666666666668	
83	869.8530000000001	4000	49	5.333333333333333	
84	879.347	10000	29	13.333333333333334	
85	881.9960000000001	15000	26	20.0	
86	882.5219999999999	25000	16	33.333333333333336	
87	888.898	4000	50	5.333333333333333	
88	889.762	30000	13	40.0	
89	893.24	6000	43	8.0	
90	894.939	1800	77	2.4	
91	896.4	9000	39	12.0	
92	916.6060000000001	30000	14	40.0	
93	917.363	15000	27	20.0	
94	917.816	20000	23	26.666666666666668	
95	926.5419999999999	40000	8	53.333333333333336	
96	932.086	15000	28	20.0	
97	979.3480000000001	6000	44	8.0	
98	989.64	10000	38	13.333333333333334	
99	1014.008	3000	55	4.0	
