	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	247.856	800	1	100.0	
1	477.175	200	16	25.0	
2	493.205	200	17	25.0	
3	505.217	200	18	25.0	
4	538.034	300	5	37.5	
5	600.113	200	19	25.0	
6	600.6030000000001	250	9	31.25	
7	600.7180000000001	110	28	13.75	
8	601.068	150	26	18.75	
9	601.322	300	6	37.5	
10	601.484	250	10	31.25	
11	658.7610000000001	200	20	25.0	
12	711.318	250	11	31.25	
13	711.5189999999999	250	12	31.25	
14	711.699	200	21	25.0	
15	786.0889999999999	200	22	25.0	
16	805.862	200	23	25.0	
17	833.515	520	3	65.0	
18	906.143	250	13	31.25	
19	906.247	200	24	25.0	
20	907.828	200	25	25.0	
21	908.8510000000001	250	14	31.25	
22	909.4830000000001	450	4	56.25	
23	911.18	300	7	37.5	
24	940.573	800	2	100.0	
25	960.303	150	27	18.75	
26	962.08	250	15	31.25	
27	965.8439999999999	300	8	37.5	
