	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	215.08	2	140	4.0	
1	220.07299999999998	5	134	10.0	
2	227.546	6	124	12.0	
3	239.856	8	114	16.0	
4	272.165	7	121	14.0	
5	299.496	9	104	18.0	
6	299.731	8	115	16.0	
7	299.964	8	116	16.0	
8	300.086	9	105	18.0	
9	300.686	10	94	20.0	
10	300.921	9	106	18.0	
11	302.494	2	141	4.0	
12	303.454	2	142	4.0	
13	304.574	2	143	4.0	
14	305.532	3	139	6.0	
15	307.157	2	144	4.0	
16	307.695	2	145	4.0	
17	308.079	2	146	4.0	
18	309.93	2	147	4.0	
19	313.60200000000003	5	135	10.0	
20	314.079	6	125	12.0	
21	315.075	7	122	14.0	
22	318.052	5	136	10.0	
23	320.996	7	123	14.0	
24	321.517	8	117	16.0	
25	321.534	6	126	12.0	
26	322.59	9	107	18.0	
27	322.615	6	127	12.0	
28	327.467	5	137	10.0	
29	328.60699999999997	6	128	12.0	
30	334.45099999999996	10	95	20.0	
31	335.02099999999996	11	88	22.0	
32	335.036	9	108	18.0	
33	336.19199999999995	12	80	24.0	
34	336.214	9	109	18.0	
35	346.848	9	110	18.0	
36	347.476	11	89	22.0	
37	348.76	13	77	26.0	
38	362.411	15	66	30.0	
39	363.075	17	63	34.0	
40	363.097	14	72	28.0	
41	364.441	20	58	40.0	
42	364.477	14	73	28.0	
43	364.499	8	118	16.0	
44	367.529	5	138	10.0	
45	367.82099999999997	6	129	12.0	
46	374.835	6	130	12.0	
47	375.029	8	119	16.0	
48	375.334	9	111	18.0	
49	387.048	9	112	18.0	
50	387.254	11	90	22.0	
51	387.256	11	91	22.0	
52	387.57800000000003	12	81	24.0	
53	387.58	12	82	24.0	
54	388.91	6	131	12.0	
55	392.348	6	132	12.0	
56	393.529	9	113	18.0	
57	394.60400000000004	6	133	12.0	
58	394.89	15	67	30.0	
59	395.705	17	64	34.0	
60	397.25699999999995	8	120	16.0	
61	397.371	18	62	36.0	
62	409.853	15	68	30.0	
63	409.85699999999997	15	69	30.0	
64	422.673	50	1	100.0	
65	424.046	15	70	30.0	
66	428.301	24	33	48.0	
67	428.936	22	49	44.0	
68	429.899	22	50	44.0	
69	430.25300000000004	25	24	50.0	
70	430.774	23	41	46.0	
71	431.865	22	51	44.0	
72	435.50800000000004	20	59	40.0	
73	442.54400000000004	25	25	50.0	
74	443.496	26	21	52.0	
75	443.569	25	26	50.0	
76	445.478	30	8	60.0	
77	445.589	28	15	56.0	
78	445.661	20	60	40.0	
79	452.694	23	42	46.0	
80	457.855	22	52	44.0	
81	458.14	23	43	46.0	
82	458.147	23	44	46.0	
83	458.587	24	34	48.0	
84	458.596	24	35	48.0	
85	468.527	20	61	40.0	
86	487.81300000000005	25	27	50.0	
87	504.162	23	45	46.0	
88	518.885	25	28	50.0	
89	526.1709999999999	22	53	44.0	
90	526.224	23	46	46.0	
91	526.424	22	54	44.0	
92	526.556	24	36	48.0	
93	527.0269999999999	25	29	50.0	
94	534.947	27	18	54.0	
95	551.298	23	47	46.0	
96	558.197	25	30	50.0	
97	558.876	27	19	54.0	
98	559.012	24	37	48.0	
99	559.447	26	22	52.0	
100	559.849	25	31	50.0	
101	560.129	24	38	48.0	
102	560.285	24	39	48.0	
103	585.745	30	9	60.0	
104	610.2719999999999	27	20	54.0	
105	612.222	29	13	58.0	
106	616.129	22	55	44.0	
107	616.217	30	10	60.0	
108	616.376	22	56	44.0	
109	616.644	24	40	48.0	
110	616.906	26	23	52.0	
111	616.956	28	16	56.0	
112	643.9069999999999	35	2	70.0	
113	644.981	30	11	60.0	
114	645.56	22	57	44.0	
115	646.257	34	3	68.0	
116	647.1659999999999	29	14	58.0	
117	649.378	32	6	64.0	
118	649.965	28	17	56.0	
119	657.278	23	48	46.0	
120	671.7689999999999	30	12	60.0	
121	714.815	33	4	66.0	
122	720.2189999999999	31	7	62.0	
123	732.615	33	5	66.0	
124	825.6669999999999	14	74	28.0	
125	833.804	10	96	20.0	
126	833.9119999999999	12	83	24.0	
127	835.2389999999999	10	97	20.0	
128	835.717	11	92	22.0	
129	863.395	10	98	20.0	
130	884.2610000000001	12	84	24.0	
131	890.918	15	71	30.0	
132	896.747	12	85	24.0	
133	909.91	16	65	32.0	
134	910.562	13	78	26.0	
135	910.882	12	86	24.0	
136	917.1139999999999	10	99	20.0	
137	941.697	25	32	50.0	
138	945.68	10	100	20.0	
139	953.488	10	101	20.0	
140	954.8380000000001	11	93	22.0	
141	960.428	10	102	20.0	
142	966.365	12	87	24.0	
143	966.441	10	103	20.0	
144	967.63	14	75	28.0	
145	968.867	14	76	28.0	
146	970.194	13	79	26.0	
