	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	228.80225	1500	2	75.0	
1	249.0998	3	57	0.15	
2	250.89077000000003	10	51	0.5	
3	251.8588	15	50	0.75	
4	252.51963999999998	25	43	1.25	
5	254.4613	50	29	2.5	
6	255.34647	25	44	1.25	
7	256.57894	3	58	0.15	
8	258.01062	50	30	2.5	
9	258.487	3	59	0.15	
10	259.20257999999995	30	39	1.5	
11	260.20477	25	45	1.25	
12	262.89786000000004	50	31	2.5	
13	263.21901	40	38	2.0	
14	263.94196	75	26	3.75	
15	266.03253	50	32	2.5	
16	267.75397000000004	100	21	5.0	
17	267.77484	25	46	1.25	
18	271.25049	75	27	3.75	
19	273.38199	50	33	2.5	
20	276.38935	100	22	5.0	
21	276.42305	50	34	2.5	
22	277.49585	50	35	2.5	
23	283.68998999999997	200	15	10.0	
24	286.81799	100	23	5.0	
25	288.0767	200	16	10.0	
26	288.12245	50	36	2.5	
27	298.06203999999997	1000	3	50.0	
28	298.13625	200	17	10.0	
29	298.18538	50	37	2.5	
30	308.08224	150	20	7.5	
31	308.25934	30	40	1.5	
32	313.31666	200	18	10.0	
33	325.2524	300	11	15.0	
34	326.10548	300	12	15.0	
35	340.36521	800	8	40.0	
36	346.61996	1000	4	50.0	
37	346.76547	800	9	40.0	
38	349.99518	25	47	1.25	
39	361.05077	1000	5	50.0	
40	361.28729	800	10	40.0	
41	361.44529	60	28	3.0	
42	364.95583999999997	20	48	1.0	
43	398.19257000000005	10	52	0.5	
44	430.66718	8	53	0.4	
45	441.29894	3	60	0.15	
46	466.2352	8	54	0.4	
47	467.81493	200	19	10.0	
48	479.99123	300	13	15.0	
49	508.58217	1000	6	50.0	
50	515.46605	6	55	0.3	
51	609.9142099999999	300	14	15.0	
52	611.1495	100	24	5.0	
53	632.51661	100	25	5.0	
54	633.0013299999999	30	41	1.5	
55	643.84695	2000	1	100.0	
56	677.8115700000001	30	42	1.5	
57	734.56704	1000	7	50.0	
58	820.03089	5	56	0.25	
59	929.2	20	49	1.0	
