	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	372.654	20	112	0.02002002002002002	
1	394.48199999999997	20	113	0.02002002002002002	
2	410.47900000000004	20	114	0.02002002002002002	
3	420.967	65	97	0.06506506506506507	
4	422.642	50	100	0.05005005005005005	
5	426.458	60	98	0.06006006006006006	
6	436.327	100	86	0.1001001001001001	
7	436.95	100	87	0.1001001001001001	
8	437.99	100	88	0.1001001001001001	
9	438.975	100	89	0.1001001001001001	
10	439.04	90	92	0.09009009009009009	
11	440.30300000000005	90	93	0.09009009009009009	
12	443.849	100	90	0.1001001001001001	
13	447.53	90	94	0.09009009009009009	
14	452.619	100	91	0.1001001001001001	
15	460.098	80	95	0.08008008008008008	
16	462.3938	40	106	0.04004004004004004	
17	465.404	50	101	0.05005005005005005	
18	466.1208	80	96	0.08008008008008008	
19	469.1523	45	103	0.04504504504504504	
20	472.1255	40	107	0.04004004004004004	
21	474.0729	45	104	0.04504504504504504	
22	509.9789	30	110	0.03003003003003003	
23	553.2162	40	108	0.04004004004004004	
24	579.6305	50	99	0.05005005005005005	
25	579.9914	45	105	0.04504504504504504	
26	585.6742	30	111	0.03003003003003003	
27	594.8580000000001	100	85	0.1001001001001001	
28	601.9812	50	102	0.05005005005005005	
29	608.261	35	109	0.035035035035035036	
30	611.443	160	78	0.16016016016016016	
31	614.0245	200	76	0.2002002002002002	
32	619.4757	160	79	0.16016016016016016	
33	639.866	160	80	0.16016016016016016	
34	643.4833	150	81	0.15015015015015015	
35	653.143	150	82	0.15015015015015015	
36	667.8430000000001	150	83	0.15015015015015015	
37	684.029	150	84	0.15015015015015015	
38	693.2903	300	69	0.3003003003003003	
39	698.1886	300	70	0.3003003003003003	
40	708.6814	600	58	0.6006006006006006	
41	725.6619999999999	7500	10	7.5075075075075075	
42	741.4110000000001	5000	13	5.005005005005005	
43	746.237	550	60	0.5505505505505506	
44	748.947	550	61	0.5505505505505506	
45	749.2118	700	55	0.7007007007007007	
46	754.7072	11000	8	11.01101101101101	
47	767.242	2300	27	2.3023023023023024	
48	770.2828	450	64	0.45045045045045046	
49	771.7581	7000	12	7.007007007007007	
50	774.497	10000	9	10.01001001001001	
51	776.916	2200	29	2.2022022022022023	
52	777.1089999999999	650	56	0.6506506506506506	
53	782.1360000000001	2200	30	2.2022022022022023	
54	783.075	1700	42	1.7017017017017018	
55	787.822	3000	18	3.003003003003003	
56	789.334	220	75	0.22022022022022023	
57	789.931	2300	28	2.3023023023023024	
58	791.508	1800	41	1.8018018018018018	
59	792.4645	3000	19	3.003003003003003	
60	793.3889999999999	2100	38	2.1021021021021022	
61	793.5012	1700	43	1.7017017017017018	
62	795.252	650	57	0.6506506506506506	
63	797.472	1500	45	1.5015015015015014	
64	797.697	1300	47	1.3013013013013013	
65	798.06	600	59	0.6006006006006006	
66	799.785	2900	24	2.9029029029029028	
67	801.561	2200	31	2.2022022022022023	
68	802.3330000000001	1100	49	1.1011011011011012	
69	805.107	400	66	0.4004004004004004	
70	808.451	1700	44	1.7017017017017018	
71	808.556	2200	32	2.2022022022022023	
72	808.6669999999999	3000	20	3.003003003003003	
73	808.773	1300	48	1.3013013013013013	
74	809.467	250	72	0.2502502502502503	
75	819.442	2500	25	2.5025025025025025	
76	819.913	2200	33	2.2022022022022023	
77	820.0210000000001	2200	34	2.2022022022022023	
78	820.378	800	53	0.8008008008008008	
79	821.204	18000	5	18.01801801801802	
80	822.045	3000	21	3.003003003003003	
81	822.174	20000	3	20.02002002002002	
82	833.331	18000	6	18.01801801801802	
83	837.5939999999999	99900	1	100.0	
84	840.6199	400	67	0.4004004004004004	
85	842.825	15000	7	15.015015015015015	
86	846.7339999999999	2200	35	2.2022022022022023	
87	855.044	2200	36	2.2022022022022023	
88	857.5239999999999	20000	4	20.02002002002002	
89	857.802	750	54	0.7507507507507507	
90	858.597	75000	2	75.07507507507508	
91	862.8539999999999	450	65	0.45045045045045046	
92	864.171	300	71	0.3003003003003003	
93	868.6260000000001	3500	15	3.5035035035035036	
94	891.2919999999999	2200	37	2.2022022022022023	
95	894.806	3000	22	3.003003003003003	
96	903.8982	2000	39	2.002002002002002	
97	904.543	2500	26	2.5025025025025025	
98	906.9656	1000	50	1.001001001001001	
99	907.317	2000	40	2.002002002002002	
100	912.115	7500	11	7.5075075075075075	
101	919.1731	3000	23	3.003003003003003	
102	919.7596	500	62	0.5005005005005005	
103	928.8860000000001	4000	14	4.004004004004004	
104	939.3862	1500	46	1.5015015015015014	
105	945.21	3500	16	3.5035035035035036	
106	948.6964	500	63	0.5005005005005005	
107	958.4801	1000	51	1.001001001001001	
108	959.222	3500	17	3.5035035035035036	
109	963.2509	250	73	0.2502502502502503	
110	970.2439	1000	52	1.001001001001001	
111	974.4426	250	74	0.2502502502502503	
112	980.7057	200	77	0.2002002002002002	
113	987.597	400	68	0.4004004004004004	
