	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	361.14714	160	12	0.06153846153846154	C+
1	361.73084	32	18	0.012307692307692308	C
2	387.61486	2100	7	0.8076923076923077	B+
3	388.8611413	600	10	0.23076923076923078	C+
4	670.76859	25	20	0.009615384615384616	
5	672.32838	33000	4	12.692307692307692	
6	674.3969	31	19	0.011923076923076923	
7	702.66801	100	16	0.038461538461538464	
8	706.17815	130	13	0.05	
9	758.37754	120	15	0.046153846153846156	
10	760.95679	530	11	0.20384615384615384	
11	764.03337	720	8	0.27692307692307694	
12	885.32021	680	9	0.26153846153846155	
13	891.8499	3600	6	1.3846153846153846	
14	893.0377	5200	5	2.0	
15	978.38309	130	14	0.05	
16	980.9621	34	17	0.013076923076923076	
17	1002.43552	190000	2	73.07692307692308	
18	1012.34135	48000	3	18.46153846153846	
19	1012.36017	260000	1	100.0	
