	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	200.1672	12	288	0.12	
1	200.1947	6	376	0.06	
2	200.9252	12	289	0.12	
3	202.3947	12	290	0.12	
4	202.4002	6	377	0.06	
5	202.4327	3000	4	30.0	
6	202.4338	7000	3	70.0	
7	204.5692	15	279	0.15	
8	205.768	2	572	0.02	
9	206.076	2	570	0.02	
10	206.458	2	571	0.02	
11	206.8321	5	440	0.05	
12	206.94099999999997	3	501	0.03	
13	207.56599999999997	5	439	0.05	
14	207.9534	15	280	0.15	
15	208.3911	6	378	0.06	
16	209.5161	8	369	0.08	
17	209.52900000000002	3	502	0.03	
18	210.5112	10	332	0.1	
19	211.1006	10	333	0.1	
20	211.128	4	475	0.04	
21	211.326	2	511	0.02	
22	212.435	5	384	0.05	
23	213.0762	50	193	0.5	
24	213.4283	10	334	0.1	
25	213.4952	7	374	0.07	
26	213.8546	20	263	0.2	
27	214.037	1	643	0.01	
28	214.0533	10	335	0.1	
29	216.5093	1300	49	13.0	
30	216.9586	20	264	0.2	
31	217.1835	15	281	0.15	
32	217.8944	1600	29	16.0	
33	218.172	1700	26	17.0	
34	219.9583	1700	27	17.0	
35	219.9752	1300	50	13.0	
36	221.4581	1600	30	16.0	
37	221.5654	1000	59	10.0	
38	222.5697	2100	14	21.0	
39	222.7775	1600	31	16.0	
40	223.0084	2500	6	25.0	
41	223.6278	900	61	9.0	
42	223.8454	1100	58	11.0	
43	224.4265	2300	13	23.0	
44	224.7503	2	574	0.02	
45	225.5286	0	653	0.0	
46	226.0528	1300	51	13.0	
47	226.3084	10	336	0.1	
48	229.3845	50	205	0.5	
49	230.3117	10	337	0.1	
50	231.9563	6	379	0.06	
51	234.8352	2	575	0.02	
52	236.3199	15	282	0.15	
53	239.263	15	283	0.15	
54	240.4864	2	512	0.02	
55	240.6665	1500	34	15.0	
56	241.5197	5	441	0.05	
57	241.6605	5	442	0.05	
58	242.0606	1	587	0.01	
59	244.1637	45	212	0.45	
60	245.774	5	385	0.05	
61	245.888	5	386	0.05	
62	246.093	5	387	0.05	
63	247.4818	5	443	0.05	
64	247.9564	1	644	0.01	
65	247.9754	10	339	0.1	
66	249.2146	2000	15	20.0	
67	249.489	10	340	0.1	
68	253.667	2	513	0.02	
69	253.68599999999998	2	514	0.02	
70	254.03799999999998	5	388	0.05	
71	254.748	10	294	0.1	
72	255.25599999999997	1	588	0.01	
73	255.329	2	515	0.02	
74	256.3167	10	295	0.1	
75	256.3553	3	483	0.03	
76	256.3955	3	484	0.03	
77	256.733	2	516	0.02	
78	256.9888	10	296	0.1	
79	257.08	10	297	0.1	
80	257.712	2	517	0.02	
81	257.92900000000003	20	242	0.2	
82	258.057	5	389	0.05	
83	259.365	2	518	0.02	
84	260.526	3	485	0.03	
85	261.8366	2500	7	25.0	
86	262.2875	5	390	0.05	
87	262.6678	10	298	0.1	
88	262.7365	20	243	0.2	
89	262.88599999999997	1	589	0.01	
90	263.0004	20	244	0.2	
91	263.4933	30	217	0.3	
92	264.155	5	391	0.05	
93	264.3834	1	590	0.01	
94	264.5303	20	245	0.2	
95	264.6194	1	591	0.01	
96	264.98400000000004	30	218	0.3	
97	265.144	1	592	0.01	
98	265.1693	10	299	0.1	
99	265.2065	2	519	0.02	
100	266.659	2	520	0.02	
101	267.1204	20	246	0.2	
102	267.6428	20	265	0.2	
103	267.91900000000004	0	654	0.0	
104	268.768	1	593	0.01	
105	269.408	5	392	0.05	
106	270.265	10	292	0.1	
107	270.409	1	594	0.01	
108	270.518	2	521	0.02	
109	271.4	2	522	0.02	
110	271.454	2	523	0.02	
111	271.535	5	393	0.05	
112	271.5543	20	247	0.2	
113	271.8847	2	524	0.02	
114	271.9097	15	268	0.15	
115	272.0199	15	269	0.15	
116	272.062	2	525	0.02	
117	272.175	1	595	0.01	
118	272.2702	5	394	0.05	
119	272.3953	30	231	0.3	
120	273.4858	10	341	0.1	
121	273.7608	2	526	0.02	
122	274.435	1	596	0.01	
123	274.5452	20	248	0.2	
124	274.6713	20	249	0.2	
125	274.86	1	597	0.01	
126	274.939	1	598	0.01	
127	274.9734	2	527	0.02	
128	275.0786	5	395	0.05	
129	275.129	10	300	0.1	
130	275.181	10	301	0.1	
131	275.569	5	396	0.05	
132	275.8221	1	645	0.01	
133	276.025	2	528	0.02	
134	276.258	1	583	0.01	
135	276.309	1	584	0.01	
136	276.3809	15	270	0.15	
137	276.4762	5	397	0.05	
138	276.53	1	646	0.01	
139	276.6371	2500	5	25.0	
140	276.8878	125	155	1.25	
141	277.37	1	599	0.01	
142	277.45	4	468	0.04	
143	278.0828	1	647	0.01	
144	278.2592	20	250	0.2	
145	278.3551	20	251	0.2	
146	278.6496	10	302	0.1	
147	279.1951	5	398	0.05	
148	279.3485	2	529	0.02	
149	279.6045	1	600	0.01	
150	280.2556	10	303	0.1	
151	280.3686	10	304	0.1	
152	280.57099999999997	5	399	0.05	
153	280.978	1	601	0.01	
154	281.274	2	509	0.02	
155	281.3558	2	530	0.02	
156	281.57099999999997	1	602	0.01	
157	281.747	1	603	0.01	
158	281.868	4	469	0.04	
159	282.123	1	604	0.01	
160	282.437	1250	53	12.5	
161	282.942	5	400	0.05	
162	282.988	1	585	0.01	
163	283.249	5	401	0.05	
164	283.43	2	531	0.02	
165	283.73400000000004	1	605	0.01	
166	284.092	10	305	0.1	
167	284.416	15	284	0.15	
168	284.4842	10	306	0.1	
169	284.6478	15	285	0.15	
170	285.1743	15	271	0.15	
171	285.666	2	532	0.02	
172	285.8225	50	194	0.5	
173	285.8734	200	137	2.0	
174	286.207	5	402	0.05	
175	286.7633	1	606	0.01	
176	286.847	10	293	0.1	
177	286.98	2	533	0.02	
178	287.45599999999996	20	252	0.2	
179	287.524	2	534	0.02	
180	287.567	10	307	0.1	
181	287.6025	2	535	0.02	
182	287.7101	5	444	0.05	
183	287.88599999999997	5	380	0.05	
184	287.9743	2	536	0.02	
185	288.2934	1500	35	15.0	
186	288.5408	5	381	0.05	
187	289.084	50	195	0.5	
188	289.164	30	219	0.3	
189	289.96299999999997	1	607	0.01	
190	290.118	1	608	0.01	
191	290.5662	5	403	0.05	
192	291.1215	30	220	0.3	
193	291.2916	2	576	0.02	
194	292.0296	10	308	0.1	
195	292.283	10	309	0.1	
196	292.3212	20	253	0.2	
197	292.3704	80	182	0.8	
198	292.4882	10	310	0.1	
199	292.5439	30	221	0.3	
200	292.6057	10	342	0.1	
201	293.0416	5	404	0.05	
202	293.1699	10	311	0.1	
203	293.306	20	266	0.2	
204	293.7766	2	537	0.02	
205	293.8868	15	272	0.15	
206	293.9453	2	577	0.02	
207	294.52299999999997	3	481	0.03	
208	295.0407	1	609	0.01	
209	295.121	5	405	0.05	
210	296.1165	2500	8	25.0	
211	297.15	1	610	0.01	
212	297.4675	10	343	0.1	
213	297.8295	30	222	0.3	
214	297.938	25	234	0.25	
215	298.2123	3	486	0.03	
216	298.2765	8	354	0.08	
217	298.3038	3	487	0.03	
218	298.4267	5	406	0.05	
219	298.5926	10	312	0.1	
220	298.901	2	538	0.02	
221	299.0002	1	586	0.01	
222	299.178	15	273	0.15	
223	299.413	5	382	0.05	
224	299.7364	2000	16	20.0	
225	299.8384	150	149	1.5	
226	300.124	5	407	0.05	
227	300.1774	2	539	0.02	
228	300.2281	10	313	0.1	
229	300.473	1	611	0.01	
230	300.78	1	612	0.01	
231	300.812	5	383	0.05	
232	301.0838	2000	17	20.0	
233	301.2005	250	121	2.5	
234	301.2775	1	613	0.01	
235	301.351	2	540	0.02	
236	301.4848	30	223	0.3	
237	301.809	2	541	0.02	
238	302.1544	300	114	3.0	
239	302.2608	300	115	3.0	
240	302.4994	100	166	1.0	
241	302.782	5	408	0.05	
