	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	359.41	6	90	0.012	
1	366.81699999999995	12	81	0.024	
2	389.848	5	92	0.01	
3	393.069	8	89	0.016	
4	393.426	5	93	0.01	
5	394.856	5	94	0.01	
6	496.065	6	91	0.012	
7	523.0409999999999	15	78	0.03	
8	527.901	12	82	0.024	
9	554.052	18	76	0.036	
10	555.243	12	83	0.024	
11	557.7330000000001	10	88	0.02	
12	562.406	20	75	0.04	
13	562.693	12	84	0.024	
14	565.915	15	79	0.03	
15	566.753	40	69	0.08	
16	567.1669999999999	90	65	0.18	
17	568.914	18	77	0.036	
18	570.082	25	70	0.05	
19	570.731	25	71	0.05	
20	595.015	12	85	0.024	
21	595.919	25	72	0.05	
22	596.528	70	67	0.14	
23	599.443	50	68	0.1	
24	601.5830000000001	150	63	0.3	
25	603.804	80	66	0.16	
26	604.754	900	34	1.8	
27	608.011	100	64	0.2	
28	614.976	800	38	1.6	
29	621.087	400	46	0.8	
30	623.965	13000	9	26.0	
31	634.851	10000	10	20.0	
32	641.365	8000	13	16.0	
33	656.9689999999999	450	45	0.9	
34	658.039	300	56	0.6	
35	665.041	400	47	0.8	
36	669.048	1800	28	3.6	
37	670.828	400	48	0.8	
38	677.398	7000	15	14.0	
39	679.553	1500	29	3.0	
40	683.426	9000	12	18.0	
41	685.6030000000001	50000	1	100.0	
42	687.0219999999999	8000	14	16.0	
43	690.248	15000	5	30.0	
44	690.982	6000	17	12.0	
45	696.635	4000	21	8.0	
46	703.747	45000	2	90.0	
47	712.789	30000	3	60.0	
48	720.2360000000001	15000	6	30.0	
49	730.903	1000	31	2.0	
50	731.102	15000	7	30.0	
51	731.43	700	39	1.4	
52	733.196	5000	18	10.0	
53	739.8689999999999	10000	11	20.0	
54	742.565	4000	22	8.0	
55	748.2719999999999	2200	26	4.4	
56	748.916	2500	24	5.0	
57	751.492	900	35	1.8	
58	755.2239999999999	5000	19	10.0	
59	757.3380000000001	5000	20	10.0	
60	760.717	7000	16	14.0	
61	775.47	18000	4	36.0	
62	780.0210000000001	15000	8	30.0	
63	787.918	300	57	0.6	
64	789.8589999999999	500	43	1.0	
65	793.6310000000001	350	50	0.7	
66	795.632	300	58	0.6	
67	804.0930000000001	1000	32	2.0	
68	807.552	900	36	1.8	
69	807.752	350	51	0.7	
70	812.6560000000001	350	52	0.7	
71	812.926	600	40	1.2	
72	815.951	300	59	0.6	
73	817.934	600	41	1.2	
74	819.1239999999999	300	60	0.6	
75	820.863	350	53	0.7	
76	821.4730000000001	2500	25	5.0	
77	823.077	3000	23	6.0	
78	823.2189999999999	500	44	1.0	
79	827.462	1500	30	3.0	
80	829.8580000000001	2000	27	4.0	
81	830.24	600	42	1.2	
82	880.758	900	37	1.8	
83	890.092	1000	33	2.0	
84	891.278	300	61	0.6	
85	902.549	350	54	0.7	
86	904.21	400	49	0.8	
87	917.868	350	55	0.7	
88	943.367	200	62	0.4	
89	950.53	25	73	0.05	
90	966.204	12	86	0.024	
91	973.434	25	74	0.05	
92	982.211	15	80	0.03	
93	990.265	12	87	0.024	
