	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	221.8039	1	42	1.0	
1	225.5034	1	43	1.0	
2	225.9227	1	44	1.0	
3	229.419	2	37	2.0	
4	229.7869	1	45	1.0	
5	233.824	3	27	3.0	
6	233.8596	1	46	1.0	
7	237.12900000000002	3	28	3.0	
8	241.86900000000003	4	22	4.0	
9	271.9664	3	29	3.0	
10	287.4235	3	30	3.0	
11	294.3636	3	31	3.0	
12	294.4173	1	47	1.0	
13	403.2984	4	23	4.0	
14	417.2042	5	16	5.0	
15	535.349	7	10	7.0	
16	535.9205	6	13	6.0	
17	639.6561	9	9	9.0	
18	641.3447	7	11	7.0	
19	705.1239999999999	3	32	3.0	
20	710.682	5	17	5.0	
21	711.63	1	48	1.0	
22	717.29	2	38	2.0	
23	719.36	5	18	5.0	
24	725.14	10	7	10.0	
25	728.96	3	33	3.0	
26	734.93	5	19	5.0	
27	740.3	20	4	20.0	
28	746.4	30	3	30.0	
29	755.66	6	14	6.0	
30	762.05	10	8	10.0	
31	773.477	50	2	50.0	
32	780.0010000000001	100	1	100.0	
33	780.16	4	24	4.0	
34	800.255	15	6	15.0	
35	807.425	20	5	20.0	
36	831.186	6	15	6.0	
37	838.6489999999999	7	12	7.0	
38	838.93	4	25	4.0	
39	841.551	2	39	2.0	
40	841.9910000000001	3	34	3.0	
41	880.875	3	35	3.0	
42	881.3560000000001	5	20	5.0	
43	885.637	3	36	3.0	
44	894.433	4	26	4.0	
45	949.2919999999999	1	49	1.0	
46	949.312	2	40	2.0	
47	949.85	2	41	2.0	
48	958.936	5	21	5.0	
49	959.425	1	50	1.0	
