	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	257.76	50	8	10.0	
1	267.7135	1	30	0.2	
2	269.6119	1	31	0.2	
3	272.3191	1	32	0.2	
4	281.82	10	20	2.0	
5	294.5106	10	18	2.0	
6	301.37	40	11	8.0	
7	318.7745	20	14	4.0	
8	325.8275	1	36	0.2	
9	355.4415	1	33	0.2	
10	358.727	1	34	0.2	
11	361.3643	3	26	0.6	
12	365.199	1	35	0.2	
13	370.5005	3	24	0.6	
14	381.96074	10	19	2.0	
15	387.1791	1	37	0.2	
16	388.8648	500	1	100.0	
17	396.47291	20	15	4.0	
18	402.3973	1	38	0.2	
19	402.61914	50	9	10.0	
20	412.08154	12	17	2.4	
21	414.3761	3	27	0.6	
22	416.8967	1	39	0.2	
23	438.79295999999994	10	21	2.0	
24	443.7551	3	28	0.6	
25	447.14802000000003	200	4	40.0	
26	471.31457	30	12	6.0	
27	492.19313	20	16	4.0	
28	501.56782999999996	100	6	20.0	
29	504.7738	10	22	2.0	
30	587.5621	500	2	100.0	
31	587.5621	500	3	100.0	
32	667.8151	100	7	20.0	
33	706.5189999999999	200	5	40.0	
34	706.571	30	13	6.0	
35	728.1349	50	10	10.0	
36	921.0337	2	29	0.4	
37	952.617	3	25	0.6	
38	952.927	1	40	0.2	
39	1002.773	6	23	1.2	
