	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	201.79	1300	1028	0.7647058823529411	
1	202.259	2500	690	1.4705882352941178	
2	203.168	1200	1065	0.7058823529411765	
3	204.214	3600	513	2.1176470588235294	
4	204.784	1200	1066	0.7058823529411765	
5	205.354	2300	726	1.3529411764705883	
6	205.53	2300	727	1.3529411764705883	
7	205.616	1200	1067	0.7058823529411765	
8	206.048	4600	425	2.7058823529411766	
9	206.572	1100	1134	0.6470588235294118	
10	206.859	3400	539	2.0	
11	207.148	3400	540	2.0	
12	207.287	2300	728	1.3529411764705883	
13	207.595	3400	541	2.0	
14	207.648	2200	748	1.2941176470588236	
15	207.912	1100	1135	0.6470588235294118	
16	208.459	2200	749	1.2941176470588236	
17	208.519	2200	750	1.2941176470588236	
18	208.743	3300	557	1.9411764705882353	
19	208.767	3300	558	1.9411764705882353	
20	208.939	1100	1136	0.6470588235294118	
21	208.956	2200	751	1.2941176470588236	
22	209.322	2200	752	1.2941176470588236	
23	209.454	3200	573	1.8823529411764706	
24	210.059	1100	1137	0.6470588235294118	
25	210.52	2100	769	1.2352941176470589	
26	210.625	4200	458	2.4705882352941178	
27	210.825	3100	585	1.8235294117647058	
28	210.856	2100	770	1.2352941176470589	
29	210.898	3100	586	1.8235294117647058	
30	211.124	1000	1195	0.5882352941176471	
31	211.147	1000	1196	0.5882352941176471	
32	211.184	1000	1197	0.5882352941176471	
33	211.314	3100	587	1.8235294117647058	
34	211.68	1000	1198	0.5882352941176471	
35	211.869	6200	334	3.6470588235294117	
36	211.959	2100	771	1.2352941176470589	
37	212.281	3100	588	1.8235294117647058	
38	212.332	1000	1199	0.5882352941176471	
39	212.75	1000	1200	0.5882352941176471	
40	212.817	2000	793	1.1764705882352942	
41	213.008	2000	794	1.1764705882352942	
42	213.098	4000	471	2.3529411764705883	
43	213.565	2000	795	1.1764705882352942	
44	213.754	990	1225	0.5823529411764706	
45	213.857	3000	602	1.7647058823529411	
46	213.986	980	1229	0.5764705882352941	
47	214.236	4900	397	2.8823529411764706	
48	214.471	980	1230	0.5764705882352941	
49	214.983	2900	622	1.7058823529411764	
50	215.017	1900	824	1.1176470588235294	
51	215.027	2900	623	1.7058823529411764	
52	215.167	4800	412	2.823529411764706	
53	215.354	1900	825	1.1176470588235294	
54	215.421	2900	624	1.7058823529411764	
55	215.81	3800	491	2.235294117647059	
56	215.957	1900	826	1.1176470588235294	
57	216.157	3800	492	2.235294117647059	
58	216.295	2800	642	1.6470588235294117	
59	216.406	3800	493	2.235294117647059	
60	216.52	3700	501	2.176470588235294	
61	217.188	2800	643	1.6470588235294117	
62	217.277	2800	644	1.6470588235294117	
63	217.576	1800	848	1.0588235294117647	
64	217.641	920	1277	0.5411764705882353	
65	218.273	900	1290	0.5294117647058824	
66	218.43	2700	656	1.588235294117647	
67	218.629	1800	849	1.0588235294117647	
68	218.743	1800	850	1.0588235294117647	
69	218.791	2700	657	1.588235294117647	
70	218.8428	2700	658	1.588235294117647	
71	218.872	890	1301	0.5235294117647059	
72	219.3196	3500	521	2.0588235294117645	
73	219.384	1800	851	1.0588235294117647	
74	219.412	880	1306	0.5176470588235295	
75	219.4968	8800	256	5.176470588235294	
76	219.552	2600	674	1.5294117647058822	
77	219.603	3500	522	2.0588235294117645	
78	219.984	1700	875	1.0	
79	220.218	1700	876	1.0	
80	220.34	870	1312	0.5117647058823529	
81	220.417	3500	523	2.0588235294117645	
82	220.463	1700	877	1.0	
83	220.609	5200	375	3.0588235294117645	
84	221.005	1700	878	1.0	
85	221.132	1700	879	1.0	
86	221.4675	1700	880	1.0	
87	221.845	840	1333	0.49411764705882355	
88	221.945	840	1334	0.49411764705882355	
89	221.96	840	1335	0.49411764705882355	
90	222.048	1700	881	1.0	
91	222.159	840	1336	0.49411764705882355	
92	222.394	830	1347	0.48823529411764705	
93	223.035	3300	559	1.9411764705882353	
94	223.513	1600	912	0.9411764705882353	
95	223.541	810	1364	0.4764705882352941	
96	223.5635	3300	560	1.9411764705882353	
97	224.02	810	1365	0.4764705882352941	
98	224.316	4000	472	2.3529411764705883	
99	224.424	1600	913	0.9411764705882353	
100	224.629	800	1379	0.47058823529411764	
101	224.833	790	1396	0.4647058823529412	
102	224.895	2400	704	1.411764705882353	
103	225.832	1600	914	0.9411764705882353	
104	226.025	1500	948	0.8823529411764706	
105	226.154	1500	949	0.8823529411764706	
106	226.2015	3900	482	2.2941176470588234	
107	226.22	770	1410	0.45294117647058824	
108	226.337	1500	950	0.8823529411764706	
109	226.7582	1500	951	0.8823529411764706	
110	226.791	1500	952	0.8823529411764706	
111	226.8686	3000	603	1.7647058823529411	
112	226.892	760	1421	0.4470588235294118	
113	226.9483	2300	729	1.3529411764705883	
114	226.986	3000	604	1.7647058823529411	
115	227.1453	3800	494	2.235294117647059	
116	227.392	2300	730	1.3529411764705883	
117	227.418	750	1432	0.4411764705882353	
118	227.4545	1500	953	0.8823529411764706	
119	227.526	750	1433	0.4411764705882353	
120	227.5483	4500	433	2.6470588235294117	
121	227.9195	3000	605	1.7647058823529411	
122	228.0072	3000	606	1.7647058823529411	
123	228.1683	3700	502	2.176470588235294	
124	228.28	2200	753	1.2941176470588236	
125	228.3089	3700	503	2.176470588235294	
126	228.8551	2900	625	1.7058823529411764	
127	228.928	1500	954	0.8823529411764706	
