	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1	Unnamed: 5	Unnamed: 6
0	237.8324	4000.0	6.0	0.4444444444444444			
1	253.6521	900000.0	1.0	100.0			
2	265.2039	1600.0	10.0	0.17777777777777778			
3	265.5134	400.0	21.0	0.044444444444444446			
4	275.2777	400.0	22.0	0.044444444444444446			
5	285.6935	20.0	33.0	0.0022222222222222222			
6	289.3601	800.0	17.0	0.08888888888888889			
7	292.5414	70.0	25.0	0.0077777777777777776			
8	296.7283	3000.0	8.0	0.3333333333333333			
9	302.1504	1200.0	12.0	0.13333333333333333			
10	302.3471	300.0	23.0	0.03333333333333333			
11	302.749	60.0	27.0	0.006666666666666667			
12	312.5674	4000.0	7.0	0.4444444444444444			
13	334.1484	700.0	18.0	0.07777777777777778			
14	365.0158	9000.0	4.0	1.0			
15	365.4842	3000.0	9.0	0.3333333333333333			
16	366.2887	500.0	20.0	0.05555555555555555			
17	404.6565	12000.0	2.0	1.3333333333333333			
18	407.7837	1000.0	13.0	0.1111111111111111			
19	410.8054	70.0	26.0	0.0077777777777777776			
20	433.92232	50.0	28.0	0.005555555555555556			
21	434.74945	150.0	24.0	0.016666666666666666			
22	435.8335	12000.0	3.0	1.3333333333333333			
23	491.6068	20.0	34.0	0.0022222222222222222			
24	502.56	3.0	39.0	0.0003333333333333333			
25	546.075	6000.0	5.0	0.6666666666666666			
26	576.961	1000.0	14.0	0.1111111111111111			
27	578.969	30.0	30.0	0.0033333333333333335			
28	579.067	900.0	16.0	0.1			
29	607.264	30.0	31.0	0.0033333333333333335			
30	623.436	50.0	29.0	0.005555555555555556			
31	671.6339999999999	600.0	19.0	0.06666666666666667			
32	690.7460000000001	1000.0	15.0	0.1111111111111111			
33	772.8825	30.0	32.0	0.0033333333333333335			
34	865.27	10.0	35.0	0.0011111111111111111			
35	906.72	1.0	40.0	0.00011111111111111112			
36	983.81	10.0	36.0	0.0011111111111111111			
37	996.93	10.0	37.0	0.0011111111111111111			
38	999.9	9.0	38.0	0.001		 	 
39	1013.975	1600.0	11.0	0.17777777777777778		 	 
40						 	 
41						 	 
42						 	 
43						 	 
44						 	 
