	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	253.38	170	87	1.9101123595505618	
1	255.684	80	129	0.898876404494382	
2	258.652	80	130	0.898876404494382	
3	259.299	95	123	1.0674157303370786	
4	264.009	80	131	0.898876404494382	
5	318.637	200	81	2.247191011235955	
6	344.935	390	39	4.382022471910112	
7	351.073	810	17	9.101123595505618	
8	357.912	810	18	9.101123595505618	
9	359.948	340	44	3.8202247191011236	
10	361.843	410	37	4.606741573033708	
11	366.229	1600	9	17.97752808988764	
12	366.299	430	35	4.831460674157303	
13	366.665	720	20	8.089887640449438	
14	366.797	1400	12	15.730337078651685	
15	366.952	450	33	5.056179775280899	
16	367.919	720	21	8.089887640449438	
17	367.97	670	24	7.52808988764045	
18	368.265	720	22	8.089887640449438	
19	369.065	580	25	6.51685393258427	
20	369.195	340	45	3.8202247191011236	
21	370.004	410	38	4.606741573033708	
22	370.976	320	47	3.595505617977528	
23	371.288	430	36	4.831460674157303	
24	372.072	450	34	5.056179775280899	
25	373.14	1100	16	12.359550561797754	
26	373.209	360	43	4.044943820224719	
27	373.635	810	19	9.101123595505618	
28	376.909	340	46	3.8202247191011236	
29	381.186	490	29	5.50561797752809	
30	382.927	390	40	4.382022471910112	
31	384.988	300	52	3.3707865168539324	
32	386.262	540	27	6.067415730337078	
33	389.042	490	30	5.50561797752809	
34	390.444	320	48	3.595505617977528	
35	391.18	320	49	3.595505617977528	
36	391.945	320	50	3.595505617977528	
37	393.885	220	73	2.4719101123595504	
38	395.056	220	74	2.4719101123595504	
39	395.573	580	26	6.51685393258427	
40	395.968	490	31	5.50561797752809	
41	397.588	220	75	2.4719101123595504	
42	397.693	390	41	4.382022471910112	
43	399.958	380	42	4.269662921348314	
44	400.339	220	76	2.4719101123595504	
45	401.35	110	114	1.2359550561797752	
46	402.539	110	115	1.2359550561797752	
47	402.721	320	51	3.595505617977528	
48	402.886	270	62	3.033707865168539	
49	403.18	180	85	2.0224719101123596	
50	403.762	220	77	2.4719101123595504	
51	404.081	2700	6	30.337078651685392	
52	404.752	220	78	2.4719101123595504	
53	405.393	8100	2	91.01123595505618	
54	405.755	270	63	3.033707865168539	
55	406.031	220	79	2.4719101123595504	
56	406.757	170	88	1.9101123595505618	
57	406.805	720	23	8.089887640449438	
58	407.183	270	64	3.033707865168539	
59	407.313	270	65	3.033707865168539	
60	407.351	290	56	3.258426966292135	
61	408.367	230	69	2.5842696629213484	
62	408.509	140	93	1.5730337078651686	
63	408.735	170	89	1.9101123595505618	
64	408.759	200	82	2.247191011235955	
65	409.164	140	94	1.5730337078651686	
66	409.478	120	110	1.348314606741573	
67	410.022	230	70	2.5842696629213484	
68	410.384	8900	1	100.0	
69	410.504	120	111	1.348314606741573	
70	410.65	270	66	3.033707865168539	
71	410.736	100	116	1.1235955056179776	
72	410.862	2900	5	32.58426966292135	
73	411.2	300	53	3.3707865168539324	
74	411.272	100	117	1.1235955056179776	
75	411.673	270	67	3.033707865168539	
76	412.02	1500	10	16.853932584269664	
77	412.565	1300	13	14.606741573033707	
78	412.716	4300	4	48.31460674157304	
79	413.454	300	54	3.3707865168539324	
80	413.622	1500	11	16.853932584269664	
81	413.934	130	102	1.4606741573033708	
82	414.219	230	71	2.5842696629213484	
83	414.897	290	57	3.258426966292135	
84	416.303	8100	3	91.01123595505618	
85	417.223	160	92	1.797752808988764	
86	417.323	2500	7	28.089887640449437	
87	419.435	540	28	6.067415730337078	
88	419.808	100	118	1.1235955056179776	
89	420.321	130	103	1.4606741573033708	
90	422.229	290	58	3.258426966292135	
91	422.347	290	59	3.258426966292135	
92	422.704	2000	8	22.471910112359552	
93	423.124	130	104	1.4606741573033708	
94	424.378	290	60	3.258426966292135	
95	425.443	1300	14	14.606741573033707	
96	426.405	490	32	5.50561797752809	
97	426.604	300	55	3.3707865168539324	
98	431.104	200	83	2.247191011235955	
99	435.073	1300	15	14.606741573033707	
100	440.327	180	86	2.0224719101123596	
101	444.463	130	105	1.4606741573033708	
102	451.082	140	95	1.5730337078651686	
103	453.128	170	90	1.9101123595505618	
104	453.458	170	91	1.9101123595505618	
105	456.252	200	84	2.247191011235955	
106	461.337	130	106	1.4606741573033708	
107	461.884	100	119	1.1235955056179776	
108	462.822	100	120	1.1235955056179776	
109	471.139	65	145	0.7303370786516854	
110	471.752	130	107	1.4606741573033708	
111	475.14	35	184	0.39325842696629215	
112	475.701	100	121	1.1235955056179776	
113	477.942	30	197	0.33707865168539325	
114	478.119	70	134	0.7865168539325843	
115	478.292	65	146	0.7303370786516854	
116	478.629	55	155	0.6179775280898876	
117	479.887	45	169	0.5056179775280899	
118	483.332	30	198	0.33707865168539325	
119	486.039	45	170	0.5056179775280899	
120	489.235	30	199	0.33707865168539325	
121	492.273	45	171	0.5056179775280899	
122	493.489	55	156	0.6179775280898876	
123	493.901	290	61	3.258426966292135	
124	494.68	27	212	0.30337078651685395	
125	497.997	220	80	2.4719101123595504	
126	498.896	35	185	0.39325842696629215	
127	499.505	90	124	1.0112359550561798	
128	501.242	35	186	0.39325842696629215	
129	502.653	65	147	0.7303370786516854	
130	502.817	30	200	0.33707865168539325	
131	503.76	65	148	0.7303370786516854	
132	504.237	130	108	1.4606741573033708	
133	504.473	35	187	0.39325842696629215	
134	506.075	35	188	0.39325842696629215	
135	507.434	65	149	0.7303370786516854	
136	509.307	80	132	0.898876404494382	
137	512.781	140	96	1.5730337078651686	
138	516.788	90	125	1.0112359550561798	
139	518.211	130	109	1.4606741573033708	
140	518.785	55	157	0.6179775280898876	
141	519.523	18	234	0.20224719101123595	
142	522.154	45	172	0.5056179775280899	
143	524.447	35	189	0.39325842696629215	
144	525.182	65	150	0.7303370786516854	
145	527.548	55	158	0.6179775280898876	
146	530.125	90	126	1.0112359550561798	
147	531.924	35	190	0.39325842696629215	
148	531.965	35	191	0.39325842696629215	
149	533.011	80	133	0.898876404494382	
150	535.999	90	127	1.0112359550561798	
151	538.14	55	159	0.6179775280898876	
152	538.456	30	201	0.33707865168539325	
153	538.497	30	202	0.33707865168539325	
154	539.385	18	235	0.20224719101123595	
155	540.317	70	135	0.7865168539325843	
156	540.708	100	122	1.1235955056179776	
157	543.587	18	236	0.20224719101123595	
158	544.539	30	203	0.33707865168539325	
159	545.19	30	204	0.33707865168539325	
160	549.857	30	205	0.33707865168539325	
161	550.451	30	206	0.33707865168539325	
162	553.433	30	207	0.33707865168539325	
163	555.314	27	213	0.30337078651685395	
164	556.094	35	192	0.39325842696629215	
165	556.652	70	136	0.7865168539325843	
166	561.364	27	214	0.30337078651685395	
167	562.76	65	151	0.7303370786516854	
168	564.062	55	160	0.6179775280898876	
169	565.958	140	97	1.5730337078651686	
170	567.47	65	152	0.7303370786516854	
171	569.147	140	98	1.5730337078651686	
172	569.657	140	99	1.5730337078651686	
173	573.402	27	215	0.30337078651685395	
174	573.924	55	161	0.6179775280898876	
175	574.958	22	225	0.24719101123595505	
176	582.19	27	216	0.30337078651685395	
177	583.947	22	226	0.24719101123595505	
178	586.028	140	100	1.5730337078651686	
179	586.442	27	217	0.30337078651685395	
180	587.085	45	173	0.5056179775280899	
181	588.299	70	137	0.7865168539325843	
182	589.256	35	193	0.39325842696629215	
183	590.429	22	227	0.24719101123595505	
184	592.176	70	138	0.7865168539325843	
185	593.371	30	208	0.33707865168539325	
186	594.803	70	139	0.7865168539325843	
187	595.598	45	174	0.5056179775280899	
188	597.276	70	140	0.7865168539325843	
189	597.352	90	128	1.0112359550561798	
190	598.143	22	228	0.24719101123595505	
191	598.29	230	72	2.5842696629213484	
192	600.204	55	162	0.6179775280898876	
193	600.533	27	218	0.30337078651685395	
194	602.143	35	194	0.39325842696629215	
195	603.897	16	242	0.1797752808988764	
196	605.071	27	219	0.30337078651685395	
197	606.031	45	175	0.5056179775280899	
198	608.179	120	112	1.348314606741573	
199	613.36	70	141	0.7865168539325843	
200	615.638	35	195	0.39325842696629215	
201	615.658	27	220	0.30337078651685395	
202	619.168	55	163	0.6179775280898876	
203	620.865	70	142	0.7865168539325843	
204	623.417	18	237	0.20224719101123595	
205	625.575	45	176	0.5056179775280899	
206	630.536	70	143	0.7865168539325843	
207	630.668	22	229	0.24719101123595505	
208	635.435	30	209	0.33707865168539325	
209	637.259	30	210	0.33707865168539325	
210	637.386	14	254	0.15730337078651685	
211	641.341	22	230	0.24719101123595505	
212	647.177	27	221	0.30337078651685395	
213	647.917	13	257	0.14606741573033707	
214	651.53	11	266	0.12359550561797752	
215	653.899	11	267	0.12359550561797752	
216	655.097	70	144	0.7865168539325843	
217	656.008	15	246	0.16853932584269662	
218	660.058	35	196	0.39325842696629215	
