	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	206.1633	150000	1	100.0	
1	410.2226	24	84	0.016	
2	412.9206	24	85	0.016	
3	413.4146	12	86	0.008	
4	432.1836	59	78	0.03933333333333333	
5	476.3307	50	82	0.03333333333333333	
6	486.2315	210	52	0.14	
7	491.6937	130	61	0.08666666666666667	
8	511.9287	2100	12	1.4	
9	523.4567	220	51	0.14666666666666667	
10	542.7055	180	56	0.12	
11	576.433	560	31	0.37333333333333335	
12	589.4026	830	27	0.5533333333333333	
13	598.4857	32	83	0.021333333333333333	
14	602.408	330	42	0.22	
15	608.2425	930	26	0.62	
16	619.1875	88	71	0.058666666666666666	
17	621.3097	56	79	0.037333333333333336	
18	624.4478	87	72	0.058	
19	629.3978	630	29	0.42	
20	631.3128	65	77	0.043333333333333335	
21	633.0365	100	66	0.06666666666666667	
22	633.3497	53	81	0.035333333333333335	
23	633.7846	260	46	0.17333333333333334	
24	633.9437	130	62	0.08666666666666667	
25	635.916	280	44	0.18666666666666668	
26	656.6486	140	59	0.09333333333333334	
27	658.3745	200	54	0.13333333333333333	
28	658.527	130	63	0.08666666666666667	
29	661.9658	700	28	0.4666666666666667	
30	666.1105	79	75	0.05266666666666667	
31	669.729	73	76	0.048666666666666664	
32	673.2026	54	80	0.036	
33	698.9779	87	73	0.058	
34	712.0047	100	67	0.06666666666666667	
35	712.2046	250	48	0.16666666666666666	
36	714.2057	420	38	0.28	
37	716.4789	210	53	0.14	
38	719.166	85	74	0.056666666666666664	
39	722.7297	130	64	0.08666666666666667	
40	723.6777	1900	13	1.2666666666666666	
41	723.7835	520	32	0.3466666666666667	
42	740.2056	1100	22	0.7333333333333333	
43	741.0495	170	57	0.11333333333333333	
44	741.6476	100	68	0.06666666666666667	
45	746.8987	1100	23	0.7333333333333333	
46	749.052	100	69	0.06666666666666667	
47	755.4175	470	35	0.31333333333333335	
48	755.665	200	55	0.13333333333333333	
49	770.02	490	33	0.32666666666666666	
50	789.798	120	65	0.08	
51	796.948	170	58	0.11333333333333333	
52	800.363	580	30	0.38666666666666666	
53	804.374	140000	2	93.33333333333333	
54	806.57	90	70	0.06	
55	809.076	270	45	0.18	
56	816.938	250	49	0.16666666666666666	
57	822.257	330	43	0.22	
58	824.005	1100	24	0.7333333333333333	
59	839.33	5600	8	3.7333333333333334	
60	839.33	5600	9	3.7333333333333334	
61	848.611	410	39	0.2733333333333333	
62	866.493	460	36	0.30666666666666664	
63	870.077	340	41	0.22666666666666666	
64	874.8197	140	60	0.09333333333333334	
65	885.318	480	34	0.32	
66	885.3762	1400	18	0.9333333333333333	
67	885.744	1300	20	0.8666666666666667	
68	885.744	1300	21	0.8666666666666667	
69	889.847	1400	19	0.9333333333333333	
70	896.4663	260	47	0.17333333333333334	
71	899.3127	250	50	0.16666666666666666	
72	902.235	6000	7	4.0	
73	905.8334	33000	3	22.0	
74	909.882	1500	17	1.0	
75	911.387	20000	4	13.333333333333334	
76	912.8043	440	37	0.29333333333333333	
77	922.772	370	40	0.24666666666666667	
78	933.5027	3300	11	2.2	
79	942.671	3600	10	2.4	
80	942.7069	1900	14	1.2666666666666666	
81	959.8224	1700	15	1.1333333333333333	
82	964.9626	1600	16	1.0666666666666667	
83	965.3093	11000	6	7.333333333333333	
84	973.1747	18000	5	12.0	
85	1000.306	1100	25	0.7333333333333333	
