	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	217.99	2	60	0.011111111111111112	
1	218.24	2	61	0.011111111111111112	
2	218.74	2	62	0.011111111111111112	
3	219.084	2	63	0.011111111111111112	
4	219.7407	2	64	0.011111111111111112	
5	220.224	2	65	0.011111111111111112	
6	221.1137	3	54	0.016666666666666666	
7	223.0699	5	48	0.027777777777777776	
8	224.1664	3	55	0.016666666666666666	C+
9	225.9991	10	38	0.05555555555555555	
10	227.8196	5	49	0.027777777777777776	C+
11	228.375	2	66	0.011111111111111112	
12	229.833	2	67	0.011111111111111112	
13	229.87	2	68	0.011111111111111112	
14	230.249	2	69	0.011111111111111112	
15	230.686	25	29	0.1388888888888889	C+
16	230.932	3	56	0.016666666666666666	
17	230.975	2	70	0.011111111111111112	
18	231.509	2	71	0.011111111111111112	
19	232.4407	5	50	0.027777777777777776	
20	232.4924	3	57	0.016666666666666666	
21	233.2755	3	58	0.016666666666666666	
22	234.0186	10	39	0.05555555555555555	C+
23	234.5903	8	45	0.044444444444444446	
24	234.6561	5	51	0.027777777777777776	
25	235.8698	5	52	0.027777777777777776	C+
26	237.8141	15	35	0.08333333333333333	
27	237.8996	10	40	0.05555555555555555	
28	238.9543	40	20	0.2222222222222222	C+
29	239.9177	10	41	0.05555555555555555	C+
30	242.9864	20	30	0.1111111111111111	C+
31	243.0986	10	42	0.05555555555555555	
32	246.0079	60	15	0.3333333333333333	C+
33	246.8023	30	24	0.16666666666666666	C+
34	252.1371	100	13	0.5555555555555556	C+
35	252.2985	10	43	0.05555555555555555	C+
36	256.015	1100	7	6.111111111111111	B
37	260.1756	200	11	1.1111111111111112	C+
38	271.0265	1600	6	8.88888888888889	B
39	271.3936	300	10	1.6666666666666667	C+
40	275.3878	700	9	3.888888888888889	B
41	277.5356	40	21	0.2222222222222222	C+
42	283.6903	180	12	1.0	C+
43	285.813	30	25	0.16666666666666666	C+
44	293.263	1100	8	6.111111111111111	B
45	295.6995	20	31	0.1111111111111111	C+
46	303.9346	8000	4	44.44444444444444	B+
47	305.1139	8	46	0.044444444444444446	
48	325.6079	13000	3	72.22222222222223	B+
49	325.8551	3000	5	16.666666666666668	B
50	410.1745	17000	2	94.44444444444444	B+
51	451.1299	18000	1	100.0	B+
52	487.837	3	59	0.016666666666666666	
53	525.432	30	26	0.16666666666666666	
54	526.274	12	37	0.06666666666666667	
55	570.991	50	17	0.2777777777777778	
56	572.768	50	18	0.2777777777777778	
57	684.7453	8	47	0.044444444444444446	
58	690.0136	4	53	0.022222222222222223	
59	805.078	20	32	0.1111111111111111	
60	823.866	30	27	0.16666666666666666	
61	831.492	15	36	0.08333333333333333	
62	867.895	30	28	0.16666666666666666	
63	868.263	20	33	0.1111111111111111	
64	870.025	50	19	0.2777777777777778	
65	889.447	40	22	0.2222222222222222	
66	917.008	10	44	0.05555555555555555	
67	934.983	40	23	0.2222222222222222	
68	937.027	60	16	0.3333333333333333	
69	942.799	20	34	0.1111111111111111	
70	997.786	100	14	0.5555555555555556	
