	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	201.065	9900	4	58.23529411764706	
1	202.235	8700	5	51.1764705882353	
2	203.357	15000	2	88.23529411764706	
3	205.222	6200	8	36.470588235294116	
4	206.064	5000	10	29.41176470588235	
5	208.322	3700	16	21.764705882352942	
6	208.322	3700	17	21.764705882352942	
7	208.574	3100	24	18.235294117647058	
8	208.882	17000	1	100.0	
9	209.263	14000	3	82.3529411764706	
10	211.268	2700	28	15.882352941176471	
11	211.954	1800	42	10.588235294117647	
12	211.954	1800	43	10.588235294117647	
13	212.544	2000	40	11.764705882352942	
14	212.752	2000	41	11.764705882352942	
15	212.794	4500	11	26.470588235294116	
16	214.822	3700	18	21.764705882352942	
17	215.054	2500	34	14.705882352941176	
18	215.581	2900	27	17.058823529411764	
19	215.805	7900	6	46.470588235294116	
20	216.288	2100	37	12.352941176470589	
21	217.524	4500	12	26.470588235294116	
22	217.817	2700	29	15.882352941176471	
23	219.164	740	79	4.352941176470588	
24	222.037	1300	52	7.647058823529412	
25	225.3375	600	98	3.5294117647058822	
26	225.3487	1500	49	8.823529411764707	
27	225.51	2100	38	12.352941176470589	
28	225.581	1400	50	8.235294117647058	
29	225.851	350	153	2.0588235294117645	
30	225.886	1400	51	8.235294117647058	
31	226.461	830	71	4.882352941176471	
32	226.633	1100	60	6.470588235294118	
33	226.89	1000	63	5.882352941176471	
34	228.0	660	89	3.8823529411764706	
35	228.0	660	90	3.8823529411764706	
36	228.191	660	91	3.8823529411764706	
37	228.46	330	157	1.9411764705882353	
38	229.508	330	158	1.9411764705882353	
39	229.8159	790	77	4.647058823529412	
40	229.953	460	127	2.7058823529411766	
41	230.05	910	65	5.352941176470588	
42	230.422	2700	30	15.882352941176471	
43	230.547	410	132	2.411764705882353	
44	230.727	210	210	1.2352941176470589	
45	230.893	910	66	5.352941176470588	
46	231.5333	60	332	0.35294117647058826	
47	231.5378	460	128	2.7058823529411766	
48	232.145	410	133	2.411764705882353	
49	232.158	410	134	2.411764705882353	
50	232.798	210	211	1.2352941176470589	
51	232.798	210	212	1.2352941176470589	
52	233.33	540	108	3.176470588235294	
53	233.384	740	80	4.352941176470588	
54	233.45	580	102	3.411764705882353	
55	234.318	1600	46	9.411764705882353	
56	234.361	740	81	4.352941176470588	
57	235.262	100	310	0.5882352941176471	
58	235.5	580	103	3.411764705882353	
59	235.816	410	135	2.411764705882353	
60	236.073	500	120	2.9411764705882355	
61	236.304	2500	35	14.705882352941176	
62	237.277	3500	19	20.58823529411765	
63	237.728	250	187	1.4705882352941178	
64	237.798	250	188	1.4705882352941178	
65	237.798	250	189	1.4705882352941178	
66	237.938	500	121	2.9411764705882355	
67	238.162	540	109	3.176470588235294	
68	238.317	210	213	1.2352941176470589	
69	238.689	1300	53	7.647058823529412	
70	239.062	2500	36	14.705882352941176	
71	239.118	2700	31	15.882352941176471	
72	240.759	230	199	1.3529411764705883	
73	240.937	290	175	1.7058823529411764	
74	241.017	290	176	1.7058823529411764	
75	241.073	290	177	1.7058823529411764	
76	241.331	540	110	3.176470588235294	
77	241.586	370	146	2.176470588235294	
78	241.811	620	95	3.6470588235294117	
79	242.432	120	291	0.7058823529411765	
80	242.466	120	292	0.7058823529411765	
81	242.489	210	214	1.2352941176470589	
82	242.499	370	147	2.176470588235294	
83	242.566	290	178	1.7058823529411764	
84	242.761	540	111	3.176470588235294	
85	243.124	540	112	3.176470588235294	
86	243.194	1300	54	7.647058823529412	
87	243.236	170	252	1.0	
88	243.258	100	311	0.5882352941176471	
89	243.514	270	180	1.588235294117647	
90	244.534	250	190	1.4705882352941178	
91	244.776	250	191	1.4705882352941178	
92	244.823	190	236	1.1176470588235294	
93	245.281	910	67	5.352941176470588	
94	245.561	1300	55	7.647058823529412	D
95	245.587	230	200	1.3529411764705883	
96	245.703	210	215	1.2352941176470589	
97	245.703	210	216	1.2352941176470589	
98	245.723	210	217	1.2352941176470589	
99	246.509	120	293	0.7058823529411765	
100	246.73	870	70	5.117647058823529	
101	247.512	3300	22	19.41176470588235	B+
102	247.811	210	218	1.2352941176470589	
103	248.118	2100	39	12.352941176470589	D
104	248.538	100	312	0.5882352941176471	
105	248.538	100	313	0.5882352941176471	
106	249.308	620	96	3.6470588235294117	
107	249.627	210	219	1.2352941176470589	
108	250.263	250	192	1.4705882352941178	
109	250.298	4100	14	24.11764705882353	B
110	250.437	170	253	1.0	
111	250.574	120	294	0.7058823529411765	
