	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	272.558	55	111	7.638888888888889	
1	321.581	35	162	4.861111111111111	
2	334.223	95	61	13.194444444444445	
3	346.118	65	92	9.027777777777779	
4	351.407	45	129	6.25	
5	357.443	200	26	27.77777777777778	
6	361.308	75	84	10.416666666666666	
7	363.667	35	163	4.861111111111111	
8	364.153	170	33	23.61111111111111	
9	364.953	90	63	12.5	
10	367.202	17	240	2.361111111111111	
11	370.454	120	49	16.666666666666668	
12	389.86	50	112	6.944444444444445	
13	390.258	35	164	4.861111111111111	
14	392.756	160	35	22.22222222222222	
15	395.368	40	145	5.555555555555555	
16	401.539	180	29	25.0	
17	403.721	140	43	19.444444444444443	
18	406.033	220	23	30.555555555555557	
19	406.479	160	36	22.22222222222222	
20	406.558	60	107	8.333333333333334	
21	407.918	120	50	16.666666666666668	
22	408.961	180	30	25.0	
23	410.487	110	51	15.277777777777779	
24	413.704	110	52	15.277777777777779	
25	415.752	40	146	5.555555555555555	
26	416.026	100	58	13.88888888888889	
27	417.232	50	113	6.944444444444445	
28	417.748	70	87	9.722222222222221	
29	418.732	280	20	38.888888888888886	
30	426.234	50	114	6.944444444444445	
31	428.027	300	18	41.666666666666664	
32	434.073	40	147	5.555555555555555	
33	435.48	60	108	8.333333333333334	
34	438.987	60	109	8.333333333333334	
35	440.265	50	115	6.944444444444445	
36	442.39	160	37	22.22222222222222	
37	445.215	100	59	13.88888888888889	
38	445.215	100	60	13.88888888888889	
39	446.897	40	148	5.555555555555555	
40	448.606	40	149	5.555555555555555	
41	449.311	40	150	5.555555555555555	
42	449.471	40	151	5.555555555555555	
43	450.022	90	64	12.5	
44	454.179	30	190	4.166666666666667	
45	454.95	80	73	11.11111111111111	
46	456.791	160	38	22.22222222222222	
47	457.002	200	27	27.77777777777778	
48	460.205	35	165	4.861111111111111	
49	461.507	23	217	3.1944444444444446	
50	464.634	45	130	6.25	
51	464.865	80	74	11.11111111111111	
52	465.033	35	166	4.861111111111111	
53	465.208	45	131	6.25	
54	466.07	35	167	4.861111111111111	
55	470.026	35	168	4.861111111111111	
56	470.264	35	169	4.861111111111111	
57	470.819	35	170	4.861111111111111	
58	475.041	45	132	6.25	
59	476.689	160	39	22.22222222222222	
60	477.043	35	171	4.861111111111111	
61	480.0	28	192	3.888888888888889	
62	480.025	23	218	3.1944444444444446	
63	481.717	28	193	3.888888888888889	
64	483.952	70	88	9.722222222222221	
65	485.082	70	89	9.722222222222221	
66	485.495	23	219	3.1944444444444446	
67	487.056	35	172	4.861111111111111	
68	487.886	65	93	9.027777777777779	
69	488.761	26	194	3.611111111111111	
70	490.187	65	94	9.027777777777779	
71	490.513	26	195	3.611111111111111	
72	494.585	26	196	3.611111111111111	
73	494.977	370	10	51.388888888888886	
74	497.795	35	173	4.861111111111111	
75	499.388	65	95	9.027777777777779	
76	500.179	50	116	6.944444444444445	
77	504.688	140	44	19.444444444444443	
78	505.057	210	24	29.166666666666668	
79	505.646	170	34	23.61111111111111	
80	506.79	45	133	6.25	
81	507.892	24	208	3.3333333333333335	
82	510.313	24	209	3.3333333333333335	
83	510.623	200	28	27.77777777777778	
84	512.088	45	134	6.25	
85	513.544	21	220	2.9166666666666665	
86	513.916	24	210	3.3333333333333335	
87	514.542	450	7	62.5	
88	515.869	290	19	40.27777777777778	
89	516.779	80	75	11.11111111111111	
90	517.731	580	3	80.55555555555556	
91	517.912	24	211	3.3333333333333335	
92	518.392	90	65	12.5	
93	521.186	720	1	100.0	
