	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	202.5824	9	67	18.0	
1	255.325	4	108	8.0	
2	255.458	1	153	2.0	
3	255.7226	0	171	0.0	
4	256.0941	0	172	0.0	
5	256.2259	1	155	2.0	
6	256.4937	1	156	2.0	
7	257.0908	0	173	0.0	
8	257.2248	1	157	2.0	
9	257.4945	2	135	4.0	
10	257.7888	0	174	0.0	
11	258.0587	1	158	2.0	
12	258.4216	1	159	2.0	
13	258.5558	2	136	4.0	
14	258.8285	3	121	6.0	
15	259.1891	0	175	0.0	
16	259.3231	1	160	2.0	
17	259.5973	2	137	4.0	
18	260.2495	2	138	4.0	
19	260.3854	4	109	8.0	
20	260.6621	5	98	10.0	
21	261.3357	1	161	2.0	
22	261.4726	2	139	4.0	
23	261.7513	3	122	6.0	
24	262.8664	3	123	6.0	
25	263.0053	6	89	12.0	
26	263.2873	8	72	16.0	
27	264.4801	2	140	4.0	
28	264.6206	3	124	6.0	
29	264.9062	4	110	8.0	
30	266.8124	6	90	12.0	
31	266.9553	8	73	16.0	
32	267.246	10	55	20.0	
33	269.3723	3	125	6.0	
34	269.5181	5	99	10.0	
35	269.8145	6	91	12.0	
36	273.1993	8	74	16.0	
37	273.3493	10	56	20.0	
38	273.6542	12	48	24.0	
39	276.5222	5	100	10.0	
40	276.8339	7	82	14.0	
41	277.66900000000004	18	29	36.0	
42	277.827	18	30	36.0	
43	277.9831	20	18	40.0	
44	278.1288	8	75	16.0	
45	278.1416	18	31	36.0	
46	278.2972	18	32	36.0	
47	280.9761	3	126	6.0	
48	281.1112	2	134	4.0	
49	281.1781	1	162	2.0	
50	284.6716	12	49	24.0	
51	284.8342	14	45	28.0	
52	285.166	16	39	32.0	
53	285.2127	50	1	100.0	
54	290.2923	2	141	4.0	
55	290.63599999999997	4	111	8.0	
56	291.5453	3	116	6.0	
57	293.6739	10	57	20.0	
58	293.8473	12	50	24.0	
59	294.1995	13	46	26.0	
60	309.1065	20	19	40.0	
61	309.2984	22	17	44.0	
62	309.689	24	16	48.0	
63	319.7625	2	142	4.0	
64	320.1796	3	127	6.0	
65	332.9919	17	35	34.0	
66	333.2146	19	26	38.0	
67	333.6674	20	20	40.0	
68	382.93549	36	9	72.0	
69	383.23037	38	8	76.0	
70	383.82918	40	6	80.0	
71	384.8914	1	163	2.0	
72	385.39599999999996	2	143	4.0	
73	385.4965	1	164	2.0	
74	385.88599999999997	2	144	4.0	
75	387.8306	3	128	6.0	
76	389.0241	1	165	2.0	
77	389.1906	2	133	4.0	
78	389.5572	3	117	6.0	
79	389.81199999999995	1	166	2.0	
80	390.3859	4	112	8.0	
81	393.84	6	92	12.0	
82	398.4212	1	167	2.0	
83	398.67533	8	76	16.0	
84	405.4689	2	145	4.0	
85	405.75052	10	58	20.0	
86	407.5059	3	129	6.0	
87	408.1833	2	146	4.0	
88	416.5101	4	113	8.0	
89	416.72712	15	41	30.0	
90	435.19055999999995	20	21	40.0	
91	435.4529	6	93	12.0	
92	438.0375	6	94	12.0	
93	457.10956	28	13	56.0	
94	462.1299	3	130	6.0	
95	470.29909000000004	30	10	60.0	
96	473.00285	10	59	20.0	
97	516.7321599999999	42	5	84.0	
98	517.26843	44	4	88.0	
99	518.36042	45	3	90.0	
100	534.5977	1	152	2.0	
101	550.9597	2	132	4.0	
102	552.84047	40	7	80.0	
103	571.1088	30	11	60.0	
104	578.5312	5	101	10.0	
105	578.556	4	114	8.0	
106	631.8716	10	60	20.0	
107	631.9236	9	68	18.0	
108	631.9493	7	83	14.0	
109	663.0834	2	147	4.0	
110	689.4898	4	115	8.0	
111	696.5404	6	95	12.0	
112	706.0409	8	77	16.0	
113	719.3172	10	61	20.0	
114	729.1060000000001	10	62	20.0	
115	738.7004	5	102	10.0	
116	738.7685	12	51	24.0	
117	765.7603	20	22	40.0	
118	765.9152	19	27	38.0	
119	765.9902	17	36	34.0	
120	769.0165	8	78	16.0	
121	769.155	15	42	30.0	
122	772.2614	1	154	2.0	
123	774.6343	1	168	2.0	
124	775.9297	1	169	2.0	
125	781.1135	3	120	6.0	
126	788.1667	2	148	4.0	
127	793.0806	7	81	14.0	
128	794.707	2	149	4.0	
129	795.3389999999999	3	131	6.0	
130	804.773	3	119	6.0	
131	804.9854	5	103	10.0	
132	805.4232	7	84	14.0	
133	809.8724	10	54	20.0	
134	815.4644	1	170	2.0	
135	815.9132	2	150	4.0	
136	820.9839	10	63	20.0	
137	821.3034	20	23	40.0	
138	830.3313	7	85	14.0	
139	830.5596	9	69	18.0	
140	831.0264	10	64	20.0	
141	834.612	15	40	30.0	
142	846.6483	2	151	4.0	
143	846.8845	5	104	10.0	
144	847.3694	7	86	14.0	
145	860.971	3	118	6.0	
146	870.7139999999999	5	105	10.0	
147	871.0175	10	65	20.0	
148	871.2689	12	52	24.0	
149	871.7825	13	47	26.0	
150	873.6021	17	34	34.0	
151	880.6757	50	2	100.0	
152	883.705	5	97	10.0	
153	892.3569	20	24	40.0	
154	898.9026	7	87	14.0	
155	899.1692	9	70	18.0	
156	899.7156	10	66	20.0	
157	901.6010000000001	6	96	12.0	
158	924.6499	12	53	24.0	
159	925.5778	30	12	60.0	
160	925.9739999999999	8	79	16.0	
161	927.3439999999999	9	71	18.0	
162	941.4964	25	15	50.0	
163	942.9814	17	37	34.0	
164	943.2764	19	28	38.0	
165	943.8783	20	25	40.0	
166	950.2454	8	80	16.0	
167	950.3108	7	88	14.0	
168	950.3433	5	106	10.0	
169	964.953	28	14	56.0	
170	966.554	15	43	30.0	
171	998.32	15	44	30.0	
172	998.6475	17	38	34.0	
173	999.3209	18	33	36.0	
174	1029.93	5	107	10.0	
