	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	232.594	130	325	0.4482758620689655	
1	232.594	130	326	0.4482758620689655	
2	233.046	240	188	0.8275862068965517	
3	234.047	190	244	0.6551724137931034	
4	235.261	80	434	0.27586206896551724	
5	235.522	80	435	0.27586206896551724	
6	236.437	70	464	0.2413793103448276	
7	237.227	140	305	0.4827586206896552	
8	238.041	100	381	0.3448275862068966	
9	238.352	150	290	0.5172413793103449	
10	240.586	140	306	0.4827586206896552	
11	240.839	40	566	0.13793103448275862	
12	241.533	70	465	0.2413793103448276	
13	243.043	65	473	0.22413793103448276	
14	247.1971	150	291	0.5172413793103449	
15	248.181	70	466	0.2413793103448276	
16	248.531	40	567	0.13793103448275862	
17	254.0456	110	359	0.3793103448275862	
18	254.8224	330	134	1.1379310344827587	B
19	255.085	110	360	0.3793103448275862	
20	256.7049	250	168	0.8620689655172413	B
21	257.2345	320	138	1.103448275862069	
22	258.216	250	169	0.8620689655172413	
23	259.54	100	382	0.3448275862068966	
24	260.737	250	170	0.8620689655172413	
25	261.1201	190	245	0.6551724137931034	B
26	261.3084	290	157	1.0	B
27	261.539	130	327	0.4482758620689655	
28	261.6786	400	109	1.3793103448275863	B
29	262.1063	140	307	0.4827586206896552	B
30	262.755	320	139	1.103448275862069	
31	262.874	160	279	0.5517241379310345	
32	262.8962	80	436	0.27586206896551724	B
33	262.9849	440	105	1.5172413793103448	B
34	263.1502	65	474	0.22413793103448276	B
35	263.8305	250	171	0.8620689655172413	B
36	264.0984	410	106	1.4137931034482758	B
37	264.4362	154	289	0.5310344827586206	B
38	264.9458	640	70	2.206896551724138	B
39	265.502	560	83	1.9310344827586208	B
40	265.811	290	158	1.0	B
41	266.5093	110	361	0.3793103448275862	B
42	267.9854	1000	41	3.4482758620689653	B+
43	268.416	389	115	1.3413793103448275	B
44	270.1026	140	308	0.4827586206896552	B
45	270.6114	95	405	0.3275862068965517	B
46	271.0738	65	475	0.22413793103448276	B
47	272.441	110	362	0.3793103448275862	
48	272.5146	180	264	0.6206896551724138	B
49	272.8705	80	437	0.27586206896551724	B
50	273.3387	250	172	0.8620689655172413	B
51	274.3065	240	189	0.8275862068965517	C+
52	274.3712	95	406	0.3275862068965517	B
53	274.5384	40	568	0.13793103448275862	B
54	275.1467	320	140	1.103448275862069	B
55	275.6256	61	505	0.2103448275862069	B
56	276.1531	190	246	0.6551724137931034	B
57	276.3023	65	476	0.22413793103448276	B
58	276.6249	110	363	0.3793103448275862	B
59	277.774	130	328	0.4482758620689655	
60	278.783	180	265	0.6206896551724138	B
61	279.2962	80	438	0.27586206896551724	B
62	279.7931	115	357	0.39655172413793105	B
63	280.1468	220	217	0.7586206896551724	B
64	282.5676	50	530	0.1724137931034483	B
65	282.654	240	190	0.8275862068965517	
66	282.6746	50	531	0.1724137931034483	B
67	284.439	220	218	0.7586206896551724	
68	284.938	160	280	0.5517241379310345	
69	286.431	160	281	0.5517241379310345	
70	286.4655	140	309	0.4827586206896552	B
71	287.654	50	532	0.1724137931034483	C+
72	288.6602	85	428	0.29310344827586204	B
73	290.5266	160	282	0.5517241379310345	B
74	290.6056	65	477	0.22413793103448276	B
75	291.3516	70	467	0.2413793103448276	B
76	291.5376	55	513	0.1896551724137931	B
77	291.884	38	597	0.1310344827586207	C+
78	293.0394	140	310	0.4827586206896552	B
79	293.6503	80	439	0.27586206896551724	B
80	293.766	120	346	0.41379310344827586	
81	294.4213	140	311	0.4827586206896552	B
82	294.5425	80	440	0.27586206896551724	B
83	294.5664	140	312	0.4827586206896552	B
84	294.6006	190	247	0.6551724137931034	B
85	294.642	140	313	0.4827586206896552	
86	294.642	140	314	0.4827586206896552	
87	295.1445	38	598	0.1310344827586207	B
88	295.9476	80	441	0.27586206896551724	B
89	296.289	140	315	0.4827586206896552	
90	297.2958	80	442	0.27586206896551724	B
91	297.7268	50	533	0.1724137931034483	B
92	297.828	180	266	0.6206896551724138	B
93	298.1516	120	347	0.41379310344827586	B
94	298.3045	50	534	0.1724137931034483	B
95	298.7918	110	364	0.3793103448275862	B
96	298.8229	80	443	0.27586206896551724	B
97	298.8676	160	283	0.5517241379310345	B
98	298.9799	190	248	0.6551724137931034	B
99	300.0235	50	535	0.1724137931034483	B
100	300.0442	37	600	0.12758620689655173	B
101	300.0853	72	463	0.2482758620689655	B
102	300.1432	46	558	0.15862068965517243	C+
103	300.2215	190	249	0.6551724137931034	B+
104	300.7713	38	599	0.1310344827586207	C+
105	301.3389	130	329	0.4482758620689655	B
106	301.376	140	316	0.4827586206896552	
