	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	256.18	80	586	0.08	
1	257.46	80	587	0.08	
2	257.46	80	588	0.08	
3	258.95	20	704	0.02	
4	259.07	100	557	0.1	
5	259.07	100	558	0.1	
6	259.12	30	670	0.03	
7	259.46	20	705	0.02	
8	259.52	500	314	0.5	
9	261.36	300	417	0.3	
10	261.36	300	418	0.3	
11	261.39	20	706	0.02	
12	261.43	50	614	0.05	
13	261.66	250	454	0.25	
14	261.9	50	615	0.05	
15	261.9	50	616	0.05	
16	261.98	30	671	0.03	
17	262.11	80	589	0.08	
18	262.29	150	492	0.15	
19	264.0	150	493	0.15	
20	264.25	80	590	0.08	
21	264.25	80	591	0.08	
22	264.55	500	315	0.5	
23	264.57	300	419	0.3	
24	264.74	2000	137	2.0	
25	264.78	80	592	0.08	
26	264.82	150	494	0.15	
27	264.86	250	455	0.25	
28	265.1	500	316	0.5	
29	265.75	150	495	0.15	
30	265.75	150	496	0.15	
31	266.78	20	707	0.02	
32	266.91	30	672	0.03	
33	267.53	2000	138	2.0	
34	267.56	2000	139	2.0	
35	267.7	10	793	0.01	
36	267.74	150	497	0.15	
37	267.79	20	708	0.02	
38	268.07	10	794	0.01	
39	268.67	150	498	0.15	
40	270.06	80	593	0.08	
41	270.07	20	709	0.02	
42	270.16	20	710	0.02	
43	270.18	20	711	0.02	
44	270.26	30	673	0.03	
45	270.43	20	712	0.02	
46	270.67	30	674	0.03	
47	272.48	30	675	0.03	
48	273.14	30	676	0.03	
49	273.15	30	677	0.03	
50	273.26	10	795	0.01	
51	273.48	20	713	0.02	
52	273.52	30	678	0.03	
53	273.57	80	594	0.08	
54	273.62	50	617	0.05	
55	274.35	150	499	0.15	
56	275.58	150	500	0.15	
57	275.58	150	501	0.15	
58	275.86	30	679	0.03	
59	275.93	20	714	0.02	
60	276.23	30	680	0.03	
61	276.64	30	681	0.03	
62	276.73	30	682	0.03	
63	276.78	20	715	0.02	
64	277.51	50	618	0.05	
65	278.14	30	683	0.03	
66	278.14	30	684	0.03	
67	278.17	30	685	0.03	
68	278.21	20	716	0.02	
69	279.23	200	475	0.2	
70	279.27	30	686	0.03	
71	279.46	50	619	0.05	
72	279.51	350	399	0.35	
73	279.56	10	796	0.01	
74	279.6	80	595	0.08	
75	279.98	20	717	0.02	
76	281.47	200	476	0.2	
77	282.53	100	559	0.1	
78	282.56	80	596	0.08	
79	282.76	30	687	0.03	
80	283.29	80	597	0.08	
81	283.52	150	502	0.15	
82	284.26	150	503	0.15	
83	284.37	10	797	0.01	
84	284.65	20	718	0.02	
85	285.46	10	798	0.01	
86	286.21	80	598	0.08	
87	287.27	350	400	0.35	
88	288.03	30	688	0.03	
89	288.13	10	799	0.01	
90	288.19	20	719	0.02	
91	291.15	250	456	0.25	
92	291.32	2000	140	2.0	
93	291.34	20	720	0.02	
94	292.93	150	504	0.15	
95	293.27	1000	201	1.0	
96	294.46	20	721	0.02	
97	294.67	20	722	0.02	
98	294.73	2000	141	2.0	D+
99	294.9	100	560	0.1	
100	294.93	150	505	0.15	
101	295.25	50	620	0.05	
102	295.73	80	599	0.08	
103	295.73	80	600	0.08	
104	297.47	3000	101	3.0	C
105	297.55	350	401	0.35	
106	297.98	500	317	0.5	
107	298.06	400	391	0.4	
108	298.09	500	318	0.5	
109	298.27	3000	102	3.0	C
110	299.24	2000	142	2.0	D+
111	299.43	30	689	0.03	
112	301.21	500	319	0.5	
113	301.3	500	320	0.5	
114	301.74	500	321	0.5	
115	302.69	150	506	0.15	
116	302.69	150	507	0.15	
117	302.84	30	690	0.03	
118	302.84	30	691	0.03	
119	303.03	500	322	0.5	
120	304.59	70	607	0.07	
121	305.74	3000	103	3.0	C
122	306.37	2000	143	2.0	
123	306.57	50	621	0.05	
124	306.72	250	457	0.25	
125	306.72	250	458	0.25	
126	307.7	2000	144	2.0	
127	307.89	1000	202	1.0	
128	307.92	1000	203	1.0	
129	310.14	70	608	0.07	
130	312.62	2000	145	2.0	C
131	314.77	250	459	0.25	
132	314.86	1000	204	1.0	
133	315.34	1000	205	1.0	
134	316.76	500	323	0.5	
135	320.62	10	800	0.01	
136	320.79	100	561	0.1	
137	320.79	100	562	0.1	
138	335.17	250	460	0.25	D
139	336.98	5000	71	5.0	C
140	336.99	7000	59	7.0	C
141	337.56	500	324	0.5	D+
142	341.79	5000	72	5.0	C
143	341.8	500	325	0.5	C
144	342.39	500	326	0.5	D+
145	344.77	2000	146	2.0	C+
146	345.08	500	327	0.5	C
147	345.42	1000	206	1.0	C
148	346.05	1000	207	1.0	C
149	346.43	1000	208	1.0	C
150	346.66	2000	147	2.0	C
151	347.26	5000	73	5.0	C+
152	349.81	1000	209	1.0	C
153	350.12	2000	148	2.0	C
154	351.07	500	328	0.5	C
155	351.52	2000	149	2.0	C
156	352.05	10000	34	10.0	C+
157	356.3	150	508	0.15	
158	359.35	5000	74	5.0	C+
159	359.36	3000	104	3.0	C
160	360.02	1000	210	1.0	C
161	360.92	500	329	0.5	D
162	363.37	1000	211	1.0	C
163	368.22	1000	212	1.0	C
164	368.57	1000	213	1.0	C
165	370.12	400	392	0.4	C
166	375.42	500	330	0.5	D+
167	394.35	20	723	0.02	
168	398.41	20	724	0.02	
169	398.43	70	609	0.07	
170	399.53	10	801	0.01	
171	399.57	10	802	0.01	
172	399.86	10	803	0.01	
173	399.93	10	804	0.01	
174	401.38	10	805	0.01	
175	401.4	20	725	0.02	
