	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	297.22900000000004	265	29	26.5	
1	382.341	120	67	12.0	
2	394.72900000000004	185	48	18.5	
3	394.74800000000005	160	53	16.0	
4	394.759	140	59	14.0	
5	395.461	100	83	10.0	
6	423.327	80	97	8.0	
7	436.825	100	84	10.0	
8	532.91	135	62	13.5	
9	532.9680000000001	160	54	16.0	
10	533.0740000000001	190	45	19.0	
11	543.518	90	96	9.0	
12	543.578	110	80	11.0	
13	543.686	135	63	13.5	
14	557.734	120	68	12.0	
15	595.839	160	52	16.0	
16	595.8580000000001	190	44	19.0	
17	599.528	80	98	8.0	
18	604.623	160	55	16.0	
19	604.644	190	46	19.0	
20	604.649	110	81	11.0	
21	610.627	100	85	10.0	
22	615.5980000000001	400	18	40.0	
23	615.677	450	13	45.0	
24	615.818	490	10	49.0	
25	625.683	80	99	8.0	
26	626.155	100	86	10.0	
27	636.634	100	87	10.0	
28	637.432	100	88	10.0	
29	645.36	320	27	32.0	
30	645.444	360	23	36.0	
31	645.5980000000001	400	19	40.0	
32	660.4910000000001	80	100	8.0	
33	665.383	100	89	10.0	
34	700.192	360	24	36.0	
35	700.2230000000001	450	14	45.0	
36	715.67	210	40	21.0	
37	725.415	400	20	40.0	
38	725.445	450	15	45.0	
39	725.453	320	28	32.0	
40	747.6439999999999	210	41	21.0	
41	747.7239999999999	100	90	10.0	
42	747.908	120	69	12.0	
43	748.067	120	70	12.0	
44	770.675	100	91	10.0	
45	777.194	870	3	87.0	
46	777.4169999999999	810	4	81.0	
47	777.539	750	6	75.0	
48	788.627	80	101	8.0	
49	794.315	100	92	10.0	
50	794.717	100	93	10.0	
51	794.755	235	34	23.5	
52	795.08	210	42	21.0	
53	795.216	185	49	18.5	
54	798.194	110	82	11.0	
55	798.24	135	64	13.5	
56	798.698	190	47	19.0	
57	798.7330000000001	135	65	13.5	
58	799.507	250	33	25.0	
59	822.182	400	21	40.0	
60	822.765	265	30	26.5	
61	823.002	265	31	26.5	
62	823.3	325	25	32.5	
63	823.535	120	71	12.0	
64	842.6160000000001	120	72	12.0	
65	844.625	810	5	81.0	
66	844.6360000000001	1000	1	100.0	
67	844.676	935	2	93.5	
68	882.043	325	26	32.5	
69	905.701	160	51	16.0	
70	911.829	120	73	12.0	
71	913.471	80	102	8.0	
72	915.0139999999999	80	103	8.0	
73	915.148	80	104	8.0	
74	915.6010000000001	235	35	23.5	
75	926.081	450	16	45.0	
76	926.084	490	11	49.0	
77	926.0939999999999	450	17	45.0	
78	926.258	400	22	40.0	
79	926.2669999999999	540	9	54.0	
80	926.2769999999999	590	8	59.0	
81	926.5939999999999	490	12	49.0	
82	926.6010000000001	640	7	64.0	
83	939.919	185	50	18.5	
84	948.1160000000001	120	74	12.0	
85	948.288	120	66	12.0	
86	948.743	235	36	23.5	
87	949.2710000000001	140	60	14.0	
88	949.797	265	32	26.5	
89	949.93	160	56	16.0	
90	950.559	235	37	23.5	
91	952.196	210	43	21.0	
92	952.336	120	75	12.0	
93	952.3960000000001	120	76	12.0	
94	952.828	100	94	10.0	
95	962.2130000000001	100	95	10.0	
96	962.529	120	77	12.0	
97	967.738	160	57	16.0	
98	969.466	80	105	8.0	
99	969.4910000000001	65	106	6.5	
100	974.15	235	38	23.5	
101	976.065	235	39	23.5	
102	990.905	120	78	12.0	
103	993.698	140	61	14.0	
104	994.041	120	79	12.0	
105	999.5310000000001	160	58	16.0	
