	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	200.145	9600	10	33.10344827586207	
1	200.373	13000	8	44.827586206896555	
2	201.015	17000	4	58.62068965517241	
3	201.814	29000	1	100.0	
4	202.276	14000	5	48.275862068965516	
5	202.823	14000	6	48.275862068965516	
6	203.444	18000	3	62.06896551724138	
7	204.536	26000	2	89.65517241379311	
8	205.869	8600	12	29.655172413793103	
9	206.169	13000	9	44.827586206896555	
10	207.695	7200	15	24.82758620689655	
11	207.997	14000	7	48.275862068965516	
12	208.254	2900	32	10.0	
13	208.903	2900	33	10.0	
14	208.921	2900	34	10.0	
15	209.76	6000	16	20.689655172413794	
16	210.063	5300	17	18.275862068965516	
17	211.766	2100	43	7.241379310344827	
18	211.796	4800	22	16.551724137931036	
19	212.384	1900	49	6.551724137931035	
20	213.711	5300	18	18.275862068965516	
21	215.459	2600	37	8.96551724137931	
22	215.784	1300	61	4.482758620689655	
23	215.853	1200	64	4.137931034482759	
24	216.69	3100	27	10.689655172413794	
25	216.775	1100	71	3.793103448275862	
26	217.165	2100	44	7.241379310344827	
27	218.468	960	80	3.310344827586207	
28	220.249	760	95	2.6206896551724137	
29	222.798	600	121	2.0689655172413794	
30	223.461	1100	72	3.793103448275862	
31	225.215	1300	62	4.482758620689655	
32	226.46	1400	58	4.827586206896552	
33	226.828	360	189	1.2413793103448276	
34	227.017	960	81	3.310344827586207	
35	228.367	840	93	2.896551724137931	
36	228.932	570	128	1.9655172413793103	
37	229.731	380	179	1.3103448275862069	
38	230.831	660	105	2.2758620689655173	
39	232.018	550	133	1.896551724137931	
40	232.398	310	216	1.0689655172413792	
41	232.424	660	106	2.2758620689655173	
42	232.699	330	205	1.1379310344827587	
43	233.456	310	217	1.0689655172413792	
44	233.863	430	169	1.4827586206896552	
45	234.069	290	237	1.0	
46	234.374	430	170	1.4827586206896552	
47	234.575	260	258	0.896551724137931	
48	234.738	430	171	1.4827586206896552	
49	235.299	360	190	1.2413793103448276	
50	235.692	240	281	0.8275862068965517	
51	235.725	240	282	0.8275862068965517	
52	236.241	310	218	1.0689655172413792	
53	236.277	900	88	3.103448275862069	
54	236.924	290	238	1.0	
55	237.07	500	149	1.7241379310344827	
56	237.118	480	155	1.6551724137931034	
57	237.703	2600	38	8.96551724137931	
58	237.761	260	259	0.896551724137931	
59	237.939	900	89	3.103448275862069	
60	238.462	240	283	0.8275862068965517	
61	238.729	1700	55	5.862068965517241	
62	239.429	330	206	1.1379310344827587	
63	239.539	290	239	1.0	
64	239.588	1100	73	3.793103448275862	
65	239.678	220	307	0.7586206896551724	
66	240.113	960	82	3.310344827586207	
67	240.223	260	260	0.896551724137931	
68	240.354	200	315	0.6896551724137931	
69	240.385	330	207	1.1379310344827587	
70	240.545	290	240	1.0	
71	240.596	200	316	0.6896551724137931	
72	240.867	360	191	1.2413793103448276	
73	241.098	240	284	0.8275862068965517	
74	241.452	290	241	1.0	
75	241.799	530	135	1.8275862068965518	
76	241.853	530	136	1.8275862068965518	
77	242.456	500	150	1.7241379310344827	
78	242.497	1400	59	4.827586206896552	
79	242.681	240	285	0.8275862068965517	
80	243.119	380	180	1.3103448275862069	
81	243.161	380	181	1.3103448275862069	
82	244.602	360	192	1.2413793103448276	
83	245.074	900	90	3.103448275862069	
84	245.173	530	137	1.8275862068965518	
85	245.39	530	138	1.8275862068965518	
86	245.646	530	139	1.8275862068965518	
87	246.142	1800	53	6.206896551724138	
88	247.228	290	242	1.0	
89	247.478	290	243	1.0	
90	247.684	900	91	3.103448275862069	
91	248.243	360	193	1.2413793103448276	
92	248.855	4500	23	15.517241379310345	
93	249.102	290	244	1.0	
94	249.169	290	245	1.0	
95	249.242	360	194	1.2413793103448276	
96	249.841	2600	39	8.96551724137931	
97	249.992	330	208	1.1379310344827587	
98	250.229	330	209	1.1379310344827587	
99	250.439	500	151	1.7241379310344827	
100	250.451	260	261	0.896551724137931	
101	251.287	660	107	2.2758620689655173	
102	251.325	2400	41	8.275862068965518	
103	251.504	660	108	2.2758620689655173	
104	251.792	500	152	1.7241379310344827	
105	251.844	660	109	2.2758620689655173	
106	251.929	200	317	0.6896551724137931	
107	251.979	330	210	1.1379310344827587	
108	253.244	200	318	0.6896551724137931	
109	253.81	240	286	0.8275862068965517	
110	254.251	1000	77	3.4482758620689653	
111	255.446	310	219	1.0689655172413792	
112	256.649	600	122	2.0689655172413794	
113	256.688	290	246	1.0	
114	256.883	480	156	1.6551724137931034	
115	257.178	340	201	1.1724137931034482	
116	258.105	360	195	1.2413793103448276	
117	258.196	740	96	2.5517241379310347	
118	259.076	1000	78	3.4482758620689653	
119	259.198	200	319	0.6896551724137931	
120	260.92	210	308	0.7241379310344828	
121	260.956	380	182	1.3103448275862069	
122	261.078	400	177	1.3793103448275863	
123	261.263	470	161	1.6206896551724137	
124	261.306	1800	54	6.206896551724138	
125	261.994	800	94	2.7586206896551726	
126	262.062	230	287	0.7931034482758621	
127	262.182	530	140	1.8275862068965518	
128	262.848	380	183	1.3103448275862069	
129	263.713	3800	25	13.10344827586207	
130	264.411	1900	50	6.551724137931035	
131	264.689	340	202	1.1724137931034482	
132	264.773	380	184	1.3103448275862069	
133	264.934	380	185	1.3103448275862069	
134	265.668	490	153	1.6896551724137931	
135	265.86	1900	51	6.551724137931035	
136	265.983	640	110	2.206896551724138	
137	266.118	380	186	1.3103448275862069	
138	267.457	580	123	2.0	
139	267.488	400	178	1.3793103448275863	
140	268.982	2100	45	7.241379310344827	
141	269.959	510	146	1.7586206896551724	
142	270.67	580	124	2.0	
143	271.464	3000	31	10.344827586206897	
144	271.536	580	125	2.0	
145	272.004	1300	63	4.482758620689655	
146	272.186	850	92	2.9310344827586206	
147	273.061	580	126	2.0	
148	273.28	580	127	2.0	
149	276.142	690	103	2.3793103448275863	
150	276.327	470	162	1.6206896551724137	
151	276.504	340	203	1.1724137931034482	
152	277.071	960	83	3.310344827586207	
153	277.691	300	232	1.0344827586206897	
154	278.255	740	97	2.5517241379310347	
155	278.631	640	111	2.206896551724138	
156	279.399	230	288	0.7931034482758621	
157	279.419	230	289	0.7931034482758621	
158	279.673	530	141	1.8275862068965518	
159	280.407	320	214	1.103448275862069	
160	280.691	2800	36	9.655172413793103	
161	280.894	470	163	1.6206896551724137	
162	281.384	420	172	1.4482758620689655	
163	281.42	740	98	2.5517241379310347	
164	281.578	300	233	1.0344827586206897	
165	282.927	420	173	1.4482758620689655	
166	283.742	230	290	0.7931034482758621	
167	283.817	470	164	1.6206896551724137	
168	283.863	5100	19	17.586206896551722	
169	284.16	740	99	2.5517241379310347	
170	284.44	2300	42	7.931034482758621	
171	284.639	420	174	1.4482758620689655	
172	284.825	420	175	1.4482758620689655	
173	285.076	1500	56	5.172413793103448	
174	286.096	1500	57	5.172413793103448	
175	287.496	360	196	1.2413793103448276	
176	287.84	300	234	1.0344827586206897	
177	289.606	260	262	0.896551724137931	
178	290.906	9600	11	33.10344827586207	
179	291.233	2100	46	7.241379310344827	
180	291.726	530	142	1.8275862068965518	
181	291.979	2100	47	7.241379310344827	
182	292.557	300	235	1.0344827586206897	
183	292.951	360	197	1.2413793103448276	
184	293.128	510	147	1.7586206896551724	
185	293.464	260	263	0.896551724137931	
186	294.285	200	320	0.6896551724137931	
187	294.823	1100	74	3.793103448275862	
188	294.953	1400	60	4.827586206896552	
189	294.981	210	309	0.7241379310344828	
190	296.101	300	236	1.0344827586206897	
191	296.215	530	143	1.8275862068965518	
192	296.406	450	165	1.5517241379310345	
193	297.097	740	100	2.5517241379310347	
194	297.764	450	166	1.5517241379310345	
195	298.29	510	148	1.7586206896551724	
196	299.765	260	264	0.896551724137931	
197	301.307	330	211	1.1379310344827587	
198	301.725	570	129	1.9655172413793103	
199	301.804	4400	24	15.172413793103448	
200	301.938	480	157	1.6551724137931034	
201	303.07	1100	75	3.793103448275862	
202	304.09	2900	35	10.0	
203	304.35	210	310	0.7241379310344828	
204	304.946	230	291	0.7931034482758621	
205	305.039	210	311	0.7241379310344828	
206	305.866	8600	13	29.655172413793103	
207	306.03	290	247	1.0	
208	306.219	570	130	1.9655172413793103	
209	306.994	210	312	0.7241379310344828	
210	307.408	360	198	1.2413793103448276	
211	307.496	290	248	1.0	
212	307.744	290	249	1.0	
213	307.772	1100	76	3.793103448275862	
214	307.811	360	199	1.2413793103448276	
215	307.838	230	292	0.7931034482758621	
216	309.008	230	293	0.7931034482758621	
217	309.359	270	255	0.9310344827586207	
218	310.153	310	220	1.0689655172413792	
219	310.599	360	200	1.2413793103448276	
220	310.898	310	221	1.0689655172413792	
221	310.938	620	112	2.1379310344827585	
222	311.109	250	265	0.8620689655172413	
223	311.833	310	222	1.0689655172413792	
224	313.112	480	158	1.6551724137931034	
225	315.267	250	266	0.8620689655172413	
226	315.361	290	250	1.0	
227	315.625	3100	28	10.689655172413794	
228	315.678	250	267	0.8620689655172413	
229	316.651	310	223	1.0689655172413792	
230	317.806	420	176	1.4482758620689655	
231	318.188	230	294	0.7931034482758621	
232	318.533	230	295	0.7931034482758621	
233	318.698	310	224	1.0689655172413792	
234	318.946	310	225	1.0689655172413792	
235	319.423	310	226	1.0689655172413792	
236	323.206	1900	52	6.551724137931035	
237	323.863	290	251	1.0	
238	324.104	190	322	0.6551724137931034	
239	324.8	120	365	0.41379310344827586	
240	325.491	190	323	0.6551724137931034	
241	325.692	190	324	0.6551724137931034	
242	326.03	190	325	0.6551724137931034	
243	326.229	3100	29	10.689655172413794	
244	326.275	380	187	1.3103448275862069	
245	326.794	3100	30	10.689655172413794	
246	326.921	620	113	2.1379310344827585	
247	327.216	190	326	0.6551724137931034	
248	327.52	530	144	1.8275862068965518	
249	327.797	330	212	1.1379310344827587	
250	328.884	190	327	0.6551724137931034	
251	329.026	1200	65	4.137931034482759	
252	330.156	7600	14	26.20689655172414	
253	330.623	250	268	0.8620689655172413	
254	331.091	620	114	2.1379310344827585	
255	331.542	120	366	0.41379310344827586	
256	332.433	250	269	0.8620689655172413	
257	332.742	310	227	1.0689655172413792	
258	333.615	960	84	3.310344827586207	
259	335.174	110	399	0.3793103448275862	
260	335.797	230	296	0.7931034482758621	
261	336.115	250	270	0.8620689655172413	
262	336.412	190	328	0.6551724137931034	
263	337.02	120	367	0.41379310344827586	
264	337.059	960	85	3.310344827586207	
265	337.208	160	346	0.5517241379310345	
266	337.868	120	368	0.41379310344827586	
267	338.4	310	228	1.0689655172413792	
268	338.594	190	329	0.6551724137931034	
269	338.784	620	115	2.1379310344827585	
270	340.117	120	369	0.41379310344827586	
271	340.186	620	116	2.1379310344827585	
272	340.251	250	271	0.8620689655172413	
273	340.876	120	370	0.41379310344827586	
274	341.274	120	371	0.41379310344827586	
275	342.169	120	372	0.41379310344827586	
276	342.767	150	353	0.5172413793103449	
277	344.06	250	272	0.8620689655172413	
278	344.446	120	373	0.41379310344827586	
279	344.555	160	347	0.5517241379310345	
280	344.92	310	229	1.0689655172413792	
281	345.838	120	374	0.41379310344827586	
282	346.544	120	375	0.41379310344827586	
283	347.853	120	376	0.41379310344827586	
284	348.211	120	377	0.41379310344827586	
285	348.746	120	378	0.41379310344827586	
286	349.854	160	348	0.5517241379310345	
287	350.116	250	273	0.8620689655172413	
288	350.466	620	117	2.1379310344827585	
289	351.299	440	168	1.5172413793103448	
290	351.872	310	230	1.0689655172413792	
291	352.0	120	379	0.41379310344827586	
292	352.364	480	159	1.6551724137931034	
293	352.604	120	380	0.41379310344827586	
294	352.86	1200	66	4.137931034482759	
295	353.006	230	297	0.7931034482758621	
296	353.28	230	298	0.7931034482758621	
297	353.341	120	381	0.41379310344827586	
298	354.271	230	299	0.7931034482758621	
299	355.979	960	86	3.310344827586207	
300	356.086	1200	67	4.137931034482759	
301	356.234	120	382	0.41379310344827586	
302	356.978	310	231	1.0689655172413792	
303	357.408	120	383	0.41379310344827586	
304	358.732	120	384	0.41379310344827586	
305	359.811	620	118	2.1379310344827585	
306	360.183	190	330	0.6551724137931034	
307	361.657	250	274	0.8620689655172413	
308	361.943	120	385	0.41379310344827586	
309	364.033	450	167	1.5517241379310345	
310	365.449	230	300	0.7931034482758621	
311	365.69	330	213	1.1379310344827587	
312	366.631	120	386	0.41379310344827586	
313	367.089	480	160	1.6551724137931034	
314	367.545	120	387	0.41379310344827586	
315	368.906	250	275	0.8620689655172413	
316	370.325	190	331	0.6551724137931034	
317	370.656	120	388	0.41379310344827586	
318	370.914	120	389	0.41379310344827586	
319	371.373	230	301	0.7931034482758621	
320	371.952	210	313	0.7241379310344828	
321	372.013	230	302	0.7931034482758621	
322	374.647	180	335	0.6206896551724138	
323	375.252	3700	26	12.758620689655173	
324	375.712	100	408	0.3448275862068966	
325	376.63	130	364	0.4482758620689655	
326	376.814	120	390	0.41379310344827586	
327	377.44	120	391	0.41379310344827586	
328	377.462	110	400	0.3793103448275862	
329	377.625	120	392	0.41379310344827586	
330	377.699	290	252	1.0	
331	378.22	2100	48	7.241379310344827	
332	379.014	620	119	2.1379310344827585	
333	379.073	180	336	0.6206896551724138	
334	379.391	370	188	1.2758620689655173	
335	383.606	250	276	0.8620689655172413	
336	384.03	150	354	0.5172413793103449	
337	384.129	150	355	0.5172413793103449	
338	384.994	190	332	0.6551724137931034	
339	385.709	230	303	0.7931034482758621	
340	386.547	230	304	0.7931034482758621	
341	387.677	730	101	2.5172413793103448	
342	388.186	250	277	0.8620689655172413	
343	390.039	140	360	0.4827586206896552	
344	390.171	190	333	0.6551724137931034	
345	393.0	100	409	0.3448275862068966	
346	393.859	250	278	0.8620689655172413	
347	394.978	100	410	0.3448275862068966	
348	396.102	200	321	0.6896551724137931	
349	396.363	1000	79	3.4482758620689653	
350	396.496	100	411	0.3448275862068966	
351	396.967	150	356	0.5172413793103449	
352	397.544	110	401	0.3793103448275862	
353	397.723	730	102	2.5172413793103448	
354	398.818	100	412	0.3448275862068966	
355	400.348	150	357	0.5172413793103449	
356	400.402	100	413	0.3448275862068966	
357	400.516	150	358	0.5172413793103449	
358	401.826	160	349	0.5517241379310345	
359	403.784	100	414	0.3448275862068966	
360	404.192	280	254	0.9655172413793104	
361	404.805	160	350	0.5517241379310345	
362	406.669	960	87	3.310344827586207	
363	407.086	250	279	0.8620689655172413	
364	407.156	190	334	0.6551724137931034	
365	407.468	230	305	0.7931034482758621	
366	409.182	490	154	1.6896551724137931	
367	410.03	120	393	0.41379310344827586	
368	411.202	1200	68	4.137931034482759	
369	412.46	180	337	0.6206896551724138	
370	412.896	180	338	0.6206896551724138	
371	413.578	2500	40	8.620689655172415	
372	413.784	150	359	0.5172413793103449	
373	417.257	180	339	0.6206896551724138	
374	417.323	1200	69	4.137931034482759	
375	417.563	620	120	2.1379310344827585	
376	418.413	120	394	0.41379310344827586	
377	418.991	320	215	1.103448275862069	
378	420.145	180	340	0.6206896551724138	
379	420.206	250	280	0.8620689655172413	
380	421.186	1200	70	4.137931034482759	
381	421.386	120	395	0.41379310344827586	
382	421.516	100	415	0.3448275862068966	
383	423.346	170	341	0.5862068965517241	
384	426.085	4900	20	16.896551724137932	
385	426.475	100	416	0.3448275862068966	
386	426.961	120	396	0.41379310344827586	
387	428.59	100	417	0.3448275862068966	
388	429.395	560	131	1.9310344827586208	
389	431.14	560	132	1.9310344827586208	
390	432.625	110	402	0.3793103448275862	
391	432.868	340	204	1.1724137931034482	
392	433.875	100	418	0.3448275862068966	
393	435.153	100	419	0.3448275862068966	
394	436.567	210	314	0.7241379310344828	
395	437.066	110	403	0.3793103448275862	
396	439.486	520	145	1.793103448275862	
397	439.726	160	351	0.5517241379310345	
398	440.274	160	352	0.5517241379310345	
399	442.047	4900	21	16.896551724137932	
400	443.241	100	420	0.3448275862068966	
401	443.632	290	253	1.0	
402	443.964	100	421	0.3448275862068966	
403	444.735	230	306	0.7931034482758621	
404	448.476	120	397	0.41379310344827586	
405	454.866	110	404	0.3793103448275862	
406	455.041	540	134	1.8620689655172413	
407	455.13	140	361	0.4827586206896552	
408	461.678	170	342	0.5862068965517241	
409	463.183	170	343	0.5862068965517241	
410	466.382	140	362	0.4827586206896552	
411	479.399	670	104	2.310344827586207	
412	486.56	110	405	0.3793103448275862	
413	503.183	55	425	0.1896551724137931	
414	503.912	45	429	0.15517241379310345	
415	507.288	35	435	0.1206896551724138	
416	507.477	35	436	0.1206896551724138	
417	507.909	35	437	0.1206896551724138	
418	510.35	90	422	0.3103448275862069	
419	511.081	55	426	0.1896551724137931	
420	512.223	22	450	0.07586206896551724	
421	514.554	22	451	0.07586206896551724	
422	514.974	140	363	0.4827586206896552	
423	515.201	28	441	0.09655172413793103	
424	516.898	28	442	0.09655172413793103	
425	519.352	40	432	0.13793103448275862	
426	520.263	270	256	0.9310344827586207	
427	520.323	35	438	0.1206896551724138	
428	525.582	45	430	0.15517241379310345	
429	526.515	55	427	0.1896551724137931	
430	528.389	20	461	0.06896551724137931	
431	529.565	20	462	0.06896551724137931	
432	529.878	40	433	0.13793103448275862	
433	530.258	13	475	0.04482758620689655	
434	533.623	18	467	0.06206896551724138	
435	534.603	11	481	0.03793103448275862	
436	535.225	13	476	0.04482758620689655	
437	537.679	110	406	0.3793103448275862	
438	540.343	16	469	0.05517241379310345	
439	541.214	13	477	0.04482758620689655	
440	541.634	120	398	0.41379310344827586	
441	541.669	45	431	0.15517241379310345	
442	541.751	28	443	0.09655172413793103	
443	544.182	16	470	0.05517241379310345	
444	544.331	55	428	0.1896551724137931	
445	544.693	22	452	0.07586206896551724	
446	544.776	11	482	0.03793103448275862	
447	544.937	20	463	0.06896551724137931	
448	545.34	20	464	0.06896551724137931	
449	545.73	22	453	0.07586206896551724	
450	547.0	28	444	0.09655172413793103	
451	547.458	13	478	0.04482758620689655	
452	547.513	13	479	0.04482758620689655	
453	547.727	9	497	0.03103448275862069	
454	548.185	16	471	0.05517241379310345	
455	550.933	22	454	0.07586206896551724	
456	551.601	9	498	0.03103448275862069	
457	552.353	270	257	0.9310344827586207	
458	554.682	22	455	0.07586206896551724	
459	554.979	9	499	0.03103448275862069	
460	555.288	13	480	0.04482758620689655	
461	556.062	11	483	0.03793103448275862	
462	558.066	16	472	0.05517241379310345	
463	558.444	80	423	0.27586206896551724	
464	560.05	8	506	0.027586206896551724	
465	562.008	35	439	0.1206896551724138	
466	563.741	9	500	0.03103448275862069	
467	564.256	22	456	0.07586206896551724	
468	564.525	28	445	0.09655172413793103	
469	564.898	7	511	0.02413793103448276	
470	566.021	9	501	0.03103448275862069	
471	567.438	7	512	0.02413793103448276	
472	568.088	28	446	0.09655172413793103	
473	570.937	11	484	0.03793103448275862	
474	572.193	170	344	0.5862068965517241	
475	573.789	8	507	0.027586206896551724	
476	573.972	8	508	0.027586206896551724	
477	576.505	22	457	0.07586206896551724	
478	578.082	170	345	0.5862068965517241	
479	580.06	40	434	0.13793103448275862	
480	584.249	8	509	0.027586206896551724	
481	585.776	110	407	0.3793103448275862	
482	586.064	28	447	0.09655172413793103	
483	588.292	11	485	0.03793103448275862	
484	590.398	11	486	0.03793103448275862	
485	590.684	11	487	0.03793103448275862	
486	590.895	7	513	0.02413793103448276	
487	598.136	7	514	0.02413793103448276	
488	598.322	11	488	0.03793103448275862	
489	599.6	65	424	0.22413793103448276	
490	601.579	20	465	0.06896551724137931	
491	605.463	7	515	0.02413793103448276	
492	614.453	20	466	0.06896551724137931	
493	615.803	11	489	0.03793103448275862	
494	622.77	35	440	0.1206896551724138	
495	624.17	7	516	0.02413793103448276	
496	626.941	22	458	0.07586206896551724	
497	627.494	11	490	0.03793103448275862	
498	628.683	11	491	0.03793103448275862	
499	639.886	9	502	0.03103448275862069	
500	640.315	22	459	0.07586206896551724	
501	644.813	9	503	0.03103448275862069	
502	652.085	6	523	0.020689655172413793	
503	652.887	7	517	0.02413793103448276	
504	653.314	7	518	0.02413793103448276	
505	653.83	11	492	0.03793103448275862	
506	657.683	11	493	0.03793103448275862	
507	661.456	8	510	0.027586206896551724	
508	661.543	4	530	0.013793103448275862	
509	666.181	7	519	0.02413793103448276	
510	672.956	27	448	0.09310344827586207	
511	679.153	18	468	0.06206896551724138	
512	680.661	14	474	0.04827586206896552	
513	687.87	5	528	0.017241379310344827	
514	690.158	4	531	0.013793103448275862	
515	695.602	11	494	0.03793103448275862	
516	698.495	6	524	0.020689655172413793	
517	706.067	15	473	0.05172413793103448	
518	714.554	22	460	0.07586206896551724	
519	714.989	10	495	0.034482758620689655	
