	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	202.20162	5	84	0.005263157894736842	
1	205.088	5	85	0.005263157894736842	
2	205.32836	8	72	0.008421052631578947	
3	211.17581	6	80	0.00631578947368421	
4	211.50664	10	61	0.010526315789473684	
5	217.00047999999998	500	22	0.5263157894736842	
6	217.55801	7	78	0.007368421052631579	
7	218.788815	7	79	0.007368421052631579	
8	218.96026	8	73	0.008421052631578947	
9	223.74247000000003	20	50	0.021052631578947368	
10	224.68558	20	51	0.021052631578947368	
11	224.6892	25	49	0.02631578947368421	
12	233.241771	150	35	0.15789473684210525	
13	238.87974	180	32	0.18947368421052632	
14	239.37922799999998	550	21	0.5789473684210527	
15	239.95965800000002	140	38	0.14736842105263157	
16	240.19396	320	27	0.3368421052631579	
17	241.1734	320	28	0.3368421052631579	
18	244.38288500000002	150	36	0.15789473684210525	
19	244.61808100000002	160	33	0.16842105263157894	
20	247.637759	130	39	0.1368421052631579	
21	257.72596	80	44	0.08421052631578947	
22	261.36548999999997	500	23	0.5263157894736842	
23	261.41746	900	18	0.9473684210526315	
24	262.826231	160	34	0.16842105263157894	
25	265.70937000000004	10	62	0.010526315789473684	
26	266.31535	700	19	0.7368421052631579	
27	269.754055	10	63	0.010526315789473684	
28	280.19953	25000	6	26.31578947368421	
29	282.2582	100	40	0.10526315789473684	
30	282.31894	14000	11	14.736842105263158	
31	283.30534	35000	4	36.8421052631579	
32	287.33111	14000	12	14.736842105263158	
33	296.64595	15	55	0.015789473684210527	
34	297.29911	15	56	0.015789473684210527	
35	298.01568	15	57	0.015789473684210527	
36	311.88941	150	37	0.15789473684210525	
37	322.05283	600	20	0.631578947368421	
38	322.96128	100	41	0.10526315789473684	
39	324.01865	400	26	0.42105263157894735	
40	326.23553	200	29	0.21052631578947367	
41	357.27292	35000	5	36.8421052631579	
42	363.95677	50000	3	52.63157894736842	
43	367.14912999999996	20000	8	21.05263157894737	
44	368.34625	70000	2	73.6842105263158	
45	373.99352999999996	25000	7	26.31578947368421	
46	401.96321	15000	10	15.789473684210526	
47	405.78067000000004	95000	1	100.0	
48	406.2136	14000	13	14.736842105263158	
49	415.78144	10	64	0.010526315789473684	
50	416.80328	10000	14	10.526315789473685	
51	434.041258	200	30	0.21052631578947367	
52	500.54164199999997	1000	17	1.0526315789473684	
53	500.65724000000006	100	42	0.10526315789473684	
54	507.6352	10	65	0.010526315789473684	
55	508.948355	50	45	0.05263157894736842	
56	509.0008	20	52	0.021052631578947368	
57	510.72423	10	66	0.010526315789473684	
58	520.143711	2000	15	2.1052631578947367	
59	569.23465	40	47	0.042105263157894736	
60	589.56245	200	31	0.21052631578947367	
61	600.18624	2000	16	2.1052631578947367	
62	601.1666700000001	500	24	0.5263157894736842	
63	605.93556	500	25	0.5263157894736842	
64	611.05203	50	46	0.05263157894736842	
65	623.52656	100	43	0.10526315789473684	
66	689.2111	10	67	0.010526315789473684	
67	712.8942	5	86	0.005263157894736842	
68	722.89653	20000	9	21.05263157894737	
69	730.4683	5	87	0.005263157894736842	
70	733.0154	8	74	0.008421052631578947	
71	734.6675700000001	10	68	0.010526315789473684	
72	780.92587	20	53	0.021052631578947368	
73	781.7969	5	88	0.005263157894736842	
74	782.9008	6	81	0.00631578947368421	
75	789.6737099999999	5	89	0.005263157894736842	
76	816.80011	10	69	0.010526315789473684	
77	819.18855	6	82	0.00631578947368421	
78	821.77107	5	90	0.005263157894736842	
79	825.5607	8	75	0.008421052631578947	
80	827.26899	40	48	0.042105263157894736	
81	840.9384	20	54	0.021052631578947368	
82	847.84922	10	70	0.010526315789473684	
83	853.2172	8	76	0.008421052631578947	
84	872.2810099999999	5	91	0.005263157894736842	
85	885.7456699999999	10	71	0.010526315789473684	
86	913.0659	1	95	0.0010526315789473684	
87	913.6998	3	94	0.003157894736842105	
88	929.34765	8	77	0.008421052631578947	
89	938.4349	5	92	0.005263157894736842	
90	938.5889	5	93	0.005263157894736842	
91	943.8048	15	58	0.015789473684210527	
92	960.42966	15	59	0.015789473684210527	
93	960.8728	6	83	0.00631578947368421	
94	967.4351300000001	15	60	0.015789473684210527	
95	1008.91	1	96	0.0010526315789473684	
