	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	244.79058	1100	29	4.583333333333333	
1	247.64127	1700	23	7.083333333333333	
2	276.30899	1900	22	7.916666666666667	
3	292.24922	520	32	2.1666666666666665	
4	300.265	650	31	2.7083333333333335	
5	300.97738	45	52	0.1875	
6	302.79084	1500	24	6.25	
7	306.52986	1100	30	4.583333333333333	
8	311.4038	2600	18	10.833333333333334	
9	314.281	270	35	1.125	
10	324.26983	11000	7	45.833333333333336	
11	325.16361	2700	17	11.25	
12	325.87765	3500	16	14.583333333333334	
13	328.7248	460	33	1.9166666666666667	
14	330.21262	3600	15	15.0	
15	337.29943	5000	12	20.833333333333332	
16	340.45764	24000	1	100.0	
17	342.12215	13000	4	54.166666666666664	
18	343.34278	5000	13	20.833333333333332	
19	344.13896	6400	10	26.666666666666668	
20	346.07381	7700	9	32.083333333333336	
21	348.11516	10000	8	41.666666666666664	
22	348.977	2000	21	8.333333333333334	
23	351.69438	12000	5	50.0	
24	355.30803	12000	6	50.0	
25	357.11489	4500	14	18.75	
26	360.95457	20000	2	83.33333333333333	
27	363.46884	20000	3	83.33333333333333	
28	369.03368	5500	11	22.916666666666668	
29	371.89062	1400	28	5.833333333333333	
30	379.91867	1500	25	6.25	
31	383.2286	1500	26	6.25	
32	389.41988	2200	20	9.166666666666666	
33	395.86232	1500	27	6.25	
34	408.73434	290	34	1.2083333333333333	
35	416.98388	90	40	0.375	
36	421.29537	2500	19	10.416666666666666	
37	447.35857	180	36	0.75	
38	478.81874	55	46	0.22916666666666666	
39	481.75067	45	53	0.1875	
40	487.54253	35	56	0.14583333333333334	
41	511.0809	55	47	0.22916666666666666	
42	511.70072	75	41	0.3125	
43	516.38404	160	37	0.6666666666666666	
44	523.4861	55	48	0.22916666666666666	
45	529.56266	120	38	0.5	
46	531.25864	18	63	0.075	
47	534.51045	15	69	0.0625	
48	539.52201	35	57	0.14583333333333334	
49	554.28067	55	49	0.22916666666666666	
50	554.70202	35	58	0.14583333333333334	
51	561.94632	27	59	0.1125	
52	564.27039	15	70	0.0625	
53	565.54365	14	71	0.058333333333333334	
54	567.00697	75	42	0.3125	
55	569.01283	11	73	0.04583333333333333	
56	569.50916	55	50	0.22916666666666666	
57	573.66171	18	64	0.075	
58	677.45166	23	62	0.09583333333333334	
59	678.44887	65	44	0.2708333333333333	
60	683.34456	4	76	0.016666666666666666	
61	701.6446	11	74	0.04583333333333333	
62	731.0053	13	72	0.05416666666666667	
63	736.8095	75	43	0.3125	
64	739.19	27	60	0.1125	
65	748.6908	16	67	0.06666666666666667	
66	776.397	120	39	0.5	
67	778.6592	27	61	0.1125	
68	791.5755	45	54	0.1875	
69	796.1024	18	65	0.075	
70	813.2788	55	51	0.22916666666666666	
71	830.0773	45	55	0.1875	
72	835.3532	9	75	0.0375	
73	853.2694	18	66	0.075	
74	859.9069	16	68	0.06666666666666667	
75	876.1335	65	45	0.2708333333333333	
