	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	213.902	250	31	10.0	
1	222.067	300	23	12.0	
2	222.213	200	36	8.0	
3	234.461	250	32	10.0	
4	242.172	250	33	10.0	
5	242.609	300	24	12.0	
6	245.008	1500	2	60.0	
7	248.394	700	6	28.0	
8	249.053	700	7	28.0	
9	253.495	300	25	12.0	
10	255.733	300	26	12.0	
11	255.801	1500	3	60.0	
12	258.764	400	16	16.0	
13	264.536	300	27	12.0	
14	267.167	200	37	8.0	
15	276.192	600	8	24.0	
16	280.026	400	17	16.0	
17	282.411	250	34	10.0	
18	286.601	300	28	12.0	
19	291.931	400	18	16.0	
20	295.892	600	9	24.0	
21	300.321	2500	1	100.0	
22	306.931	450	15	18.0	
23	318.902	400	19	16.0	
24	324.024	600	10	24.0	
25	328.638	250	35	10.0	
26	332.86	600	11	24.0	
27	386.193	500	13	20.0	
28	417.052	1200	4	48.0	
29	449.321	800	5	32.0	
30	461.144	350	21	14.0	
31	487.624	400	20	16.0	
32	532.323	350	22	14.0	
33	574.485	300	29	12.0	
34	796.262	600	12	24.0	
35	843.387	300	30	12.0	
36	861.826	500	14	20.0	
