	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	308.2003	2	50	0.0022222222222222222	
1	311.2566	10	35	0.011111111111111112	
2	311.3047	3	45	0.0033333333333333335	
3	315.753	25	30	0.027777777777777776	
4	315.8259	5	39	0.005555555555555556	
5	322.7979	50	18	0.05555555555555555	
6	322.9156	6	37	0.006666666666666667	
7	334.8696	60	15	0.06666666666666667	
8	335.0812	75	11	0.08333333333333333	
9	358.705	100	9	0.1111111111111111	
10	359.1572	40	19	0.044444444444444446	
11	420.1792	1000	3	1.1111111111111112	
12	421.5524	500	4	0.5555555555555556	
13	508.79874	2	51	0.0022222222222222222	
14	513.24708	2	52	0.0022222222222222222	
15	515.0133900000001	10	36	0.011111111111111112	
16	516.50231	1	56	0.0011111111111111111	
17	516.51416	2	53	0.0022222222222222222	
18	516.9651	1	57	0.0011111111111111111	
19	519.52778	15	34	0.016666666666666666	
20	523.39679	2	54	0.0022222222222222222	
21	526.00338	20	31	0.022222222222222223	
22	526.02285	1	58	0.0011111111111111111	
23	532.238	3	46	0.0033333333333333335	
24	536.26013	40	20	0.044444444444444446	
25	539.0567900000001	4	43	0.0044444444444444444	
26	543.15321	75	12	0.08333333333333333	
27	543.18305	3	47	0.0033333333333333335	
28	557.8788	6	38	0.006666666666666667	
29	564.77735	40	21	0.044444444444444446	
30	565.375	20	32	0.022222222222222223	
31	572.41208	60	16	0.06666666666666667	
32	572.46143	3	48	0.0033333333333333335	
33	607.07547	75	13	0.08333333333333333	
34	615.9626400000001	30	25	0.03333333333333333	
35	620.6309200000001	75	14	0.08333333333333333	
36	629.83252	120	8	0.13333333333333333	
37	629.92245	5	40	0.005555555555555556	
38	727.99968	100	10	0.1111111111111111	
39	740.8173099999999	150	7	0.16666666666666666	
40	761.8933	200	6	0.2222222222222222	
41	775.76507	300	5	0.3333333333333333	
42	775.94363	60	17	0.06666666666666667	
43	780.0268	90000	1	100.0	
44	792.5260000000001	5	41	0.005555555555555556	
45	792.5537	4	44	0.0044444444444444444	
46	794.7603	45000	2	50.0	
47	827.1410000000001	40	22	0.044444444444444446	
48	827.1707	30	26	0.03333333333333333	
49	886.8512	40	23	0.044444444444444446	
50	886.8852	30	27	0.03333333333333333	
51	922.4639999999999	3	49	0.0033333333333333335	
52	923.425	2	55	0.0022222222222222222	
53	952.265	30	28	0.03333333333333333	
54	952.305	5	42	0.005555555555555556	
55	954.018	20	33	0.022222222222222223	
56	1007.53	35	24	0.03888888888888889	
57	1007.57	30	29	0.03333333333333333	
