	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	351.46	5	64	1.6666666666666667	
1	373.989	10	25	3.3333333333333335	
2	375.365	20	17	6.666666666666667	
3	391.72	10	26	3.3333333333333335	
4	394.172	10	27	3.3333333333333335	
5	395.236	10	28	3.3333333333333335	
6	422.606	10	29	3.3333333333333335	
7	430.776	80	9	26.666666666666668	
8	433.578	7	52	2.3333333333333335	
9	434.96	100	3	33.333333333333336	
10	443.505	40	15	13.333333333333334	
11	445.925	50	10	16.666666666666668	
12	450.848	50	11	16.666666666666668	
13	457.772	50	12	16.666666666666668	
14	460.938	50	13	16.666666666666668	
15	472.176	30	16	10.0	
16	572.258	6	53	2.0	
17	606.192	10	30	3.3333333333333335	
18	620.075	6	54	2.0	
19	638.045	6	55	2.0	
20	655.749	10	31	3.3333333333333335	
21	660.643	10	32	3.3333333333333335	
22	662.723	15	23	5.0	
23	666.96	6	56	2.0	
24	670.428	8	43	2.6666666666666665	
25	675.181	20	18	6.666666666666667	
26	680.679	6	57	2.0	
27	683.695	8	44	2.6666666666666665	
28	683.757	8	45	2.6666666666666665	
29	689.116	10	33	3.3333333333333335	
30	699.89	10	34	3.3333333333333335	
31	705.542	200	2	66.66666666666667	
32	726.811	100	4	33.333333333333336	
33	729.1	20	19	6.666666666666667	
34	732.098	6	58	2.0	
35	741.904	10	35	3.3333333333333335	
36	745.0	300	1	100.0	
37	747.089	8	46	2.6666666666666665	
38	748.313	8	47	2.6666666666666665	
39	751.413	8	48	2.6666666666666665	
40	751.692	8	49	2.6666666666666665	
41	752.393	6	59	2.0	
42	759.755	6	60	2.0	
43	760.128	8	50	2.6666666666666665	
44	765.748	10	36	3.3333333333333335	
45	773.843	10	37	3.3333333333333335	
46	774.664	20	20	6.666666666666667	
47	780.982	100	5	33.333333333333336	
48	804.9	20	21	6.666666666666667	
49	809.951	100	6	33.333333333333336	
50	817.384	6	61	2.0	
51	827.096	100	7	33.333333333333336	
52	831.451	8	51	2.6666666666666665	
53	834.974	6	62	2.0	
54	838.105	10	38	3.3333333333333335	
55	848.748	10	39	3.3333333333333335	
56	849.489	10	40	3.3333333333333335	
57	852.095	20	22	6.666666666666667	
58	860.007	100	8	33.333333333333336	
59	863.976	10	41	3.3333333333333335	
60	867.583	15	24	5.0	
61	880.775	10	42	3.3333333333333335	
62	932.702	50	14	16.666666666666668	
63	994.857	6	63	2.0	
64	1010.613	5	65	1.6666666666666667	
