	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	207.643	2400	26	21.818181818181817	
1	208.377	2600	25	23.636363636363637	
2	209.089	2400	27	21.818181818181817	
3	225.552	690	88	6.2727272727272725	
4	225.953	290	185	2.6363636363636362	
5	227.209	780	68	7.090909090909091	
6	227.819	240	214	2.1818181818181817	
7	227.9584	780	69	7.090909090909091	
8	228.538	170	269	1.5454545454545454	
9	230.254	290	186	2.6363636363636362	
10	231.78	480	124	4.363636363636363	
11	232.201	150	286	1.3636363636363635	
12	234.069	240	215	2.1818181818181817	
13	234.934	190	257	1.7272727272727273	
14	235.133	310	170	2.8181818181818183	
15	236.056	140	293	1.2727272727272727	
16	237.017	170	270	1.5454545454545454	
17	237.527	240	216	2.1818181818181817	
18	239.242	160	279	1.4545454545454546	
19	241.088	55	395	0.5	
20	242.0826	130	297	1.1818181818181819	
21	242.292	55	396	0.5	
22	242.96	45	406	0.4090909090909091	
23	243.293	65	384	0.5909090909090909	
24	244.745	30	423	0.2727272727272727	
25	245.058	30	424	0.2727272727272727	
26	245.492	65	385	0.5909090909090909	
27	245.862	65	386	0.5909090909090909	
28	246.294	55	397	0.5	
29	246.47	85	373	0.7727272727272727	
30	247.404	30	425	0.2727272727272727	
31	247.541	110	330	1.0	
32	247.688	100	355	0.9090909090909091	
33	248.991	30	426	0.2727272727272727	
34	249.178	18	454	0.16363636363636364	
35	249.402	85	374	0.7727272727272727	
36	249.656	65	387	0.5909090909090909	
37	249.9784	85	375	0.7727272727272727	
38	250.827	130	298	1.1818181818181819	
39	250.9066	110	331	1.0	
40	251.281	110	332	1.0	
41	254.422	280	195	2.5454545454545454	
42	254.667	120	311	1.0909090909090908	
43	254.948	280	196	2.5454545454545454	
44	254.958	550	106	5.0	
45	256.026	130	299	1.1818181818181819	
46	256.0845	120	312	1.0909090909090908	
47	256.315	110	333	1.0	
48	256.877	160	280	1.4545454545454546	
49	257.0973	100	356	0.9090909090909091	
50	257.857	100	357	0.9090909090909091	
51	257.953	100	358	0.9090909090909091	
52	258.957	100	359	0.9090909090909091	
