	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	216.88851	10	28	0.6666666666666666	
1	396.2	1	121	0.06666666666666667	
2	396.249	1	122	0.06666666666666667	
3	403.401	2	95	0.13333333333333333	
4	415.037	1	123	0.06666666666666667	
5	415.2604	50	11	3.3333333333333335	
6	415.7699	25	18	1.6666666666666667	
7	458.92605999999995	10	29	0.6666666666666666	
8	469.413	10	30	0.6666666666666666	
9	469.545	8	38	0.5333333333333333	
10	469.625	6	44	0.4	
11	527.81	1	124	0.06666666666666667	
12	527.87	2	96	0.13333333333333333	
13	527.899	3	74	0.2	
14	537.258	1	125	0.06666666666666667	
15	537.5830000000001	1	126	0.06666666666666667	
16	538.102	2	97	0.13333333333333333	
17	544.441	1	127	0.06666666666666667	
18	544.982	1	128	0.06666666666666667	
19	549.818	2	98	0.13333333333333333	
20	550.154	3	75	0.2	
21	550.701	4	62	0.26666666666666666	
22	560.524	1	129	0.06666666666666667	
23	560.869	1	130	0.06666666666666667	
24	561.439	1	131	0.06666666666666667	
25	569.663	2	99	0.13333333333333333	
26	570.024	4	63	0.26666666666666666	
27	570.611	6	45	0.4	
28	587.9630000000001	1	132	0.06666666666666667	
29	588.349	1	133	0.06666666666666667	
30	588.975	2	100	0.13333333333333333	
31	595.911	1	134	0.06666666666666667	
32	595.911	1	135	0.06666666666666667	
33	596.119	1	136	0.06666666666666667	
34	604.193	3	76	0.2	
35	604.604	5	51	0.3333333333333333	
36	605.266	10	31	0.6666666666666666	
37	617.2769999999999	3	77	0.2	
38	617.361	7	42	0.4666666666666667	
39	617.497	3	78	0.2	
40	617.582	7	43	0.4666666666666667	
41	639.5169999999999	2	101	0.13333333333333333	
42	639.6080000000001	1	137	0.06666666666666667	
43	639.664	3	79	0.2	
44	640.3580000000001	1	138	0.06666666666666667	
45	640.813	2	102	0.13333333333333333	
46	641.55	3	80	0.2	
47	653.561	2	103	0.13333333333333333	
48	653.641	4	64	0.26666666666666666	
49	653.6669999999999	2	104	0.13333333333333333	
50	653.7959999999999	2	105	0.13333333333333333	
51	653.857	6	46	0.4	
52	674.3580000000001	6	47	0.4	
53	674.8789999999999	8	39	0.5333333333333333	
54	675.716	10	32	0.6666666666666666	
55	699.279	3	81	0.2	
56	699.3989999999999	1	139	0.06666666666666667	
57	699.4580000000001	4	65	0.26666666666666666	
58	716.143	4	66	0.26666666666666666	
59	716.143	4	67	0.26666666666666666	
60	716.143	4	68	0.26666666666666666	
61	724.2439999999999	1	140	0.06666666666666667	
62	724.305	3	82	0.2	
63	724.3739999999999	1	141	0.06666666666666667	
64	724.475	6	48	0.4	
65	740.946	1	142	0.06666666666666667	
66	740.946	1	143	0.06666666666666667	
67	741.435	1	144	0.06666666666666667	
68	741.435	1	145	0.06666666666666667	
69	741.435	1	146	0.06666666666666667	
70	742.368	1	147	0.06666666666666667	
71	742.368	1	148	0.06666666666666667	
72	742.368	1	149	0.06666666666666667	
73	742.414	2	106	0.13333333333333333	
74	742.414	2	107	0.13333333333333333	
75	742.414	2	108	0.13333333333333333	
76	744.335	5	52	0.3333333333333333	
77	744.335	5	53	0.3333333333333333	
78	744.335	5	54	0.3333333333333333	
79	744.697	1	150	0.06666666666666667	
80	767.961	6	49	0.4	
81	768.6110000000001	8	40	0.5333333333333333	
82	769.672	10	33	0.6666666666666666	
83	772.50461	26	17	1.7333333333333334	
84	789.049	1	151	0.06666666666666667	
85	789.049	1	152	0.06666666666666667	
86	789.1030000000001	1	153	0.06666666666666667	
87	789.1030000000001	1	154	0.06666666666666667	
88	789.1030000000001	1	155	0.06666666666666667	
89	790.1460000000001	1	156	0.06666666666666667	
90	790.1460000000001	1	157	0.06666666666666667	
91	790.1460000000001	1	158	0.06666666666666667	
92	790.207	2	109	0.13333333333333333	
93	790.207	2	110	0.13333333333333333	
94	790.207	2	111	0.13333333333333333	
95	792.39	15	23	1.0	
96	792.39	15	24	1.0	
97	792.39	15	25	1.0	
98	792.798	1	159	0.06666666666666667	
99	813.301	2	112	0.13333333333333333	
100	813.544	4	69	0.26666666666666666	
101	813.617	3	83	0.2	
102	814.7810000000001	5	55	0.3333333333333333	
103	814.841	5	56	0.3333333333333333	
104	815.075	2	113	0.13333333333333333	
105	815.3489999999999	1	160	0.06666666666666667	
106	815.5089999999999	1	161	0.06666666666666667	
107	815.5930000000001	1	162	0.06666666666666667	
108	816.324	1	163	0.06666666666666667	
109	844.956	5	57	0.3333333333333333	
110	845.1339999999999	2	114	0.13333333333333333	
111	845.216	5	58	0.3333333333333333	
112	861.715	15	26	1.0	
113	862.663	2	115	0.13333333333333333	
114	863.323	4	70	0.26666666666666666	
115	864.852	1	164	0.06666666666666667	
116	865.5189999999999	2	116	0.13333333333333333	
117	866.8489999999999	3	84	0.2	
118	867.0219999999999	1	165	0.06666666666666667	
119	867.065	3	85	0.2	
120	867.1360000000001	2	117	0.13333333333333333	
121	867.9	1	166	0.06666666666666667	
122	867.965	3	86	0.2	
123	868.046	8	41	0.5333333333333333	
124	869.324	1	167	0.06666666666666667	
125	869.4	3	87	0.2	
126	869.471	10	34	0.6666666666666666	
127	882.557	1	168	0.06666666666666667	
128	882.654	1	169	0.06666666666666667	
129	882.654	1	170	0.06666666666666667	
130	883.248	1	171	0.06666666666666667	
131	883.347	1	172	0.06666666666666667	
132	883.347	1	173	0.06666666666666667	
133	883.347	1	174	0.06666666666666667	
134	884.6289999999999	1	175	0.06666666666666667	
135	884.7280000000001	3	88	0.2	
136	884.7280000000001	3	89	0.2	
137	884.7280000000001	3	90	0.2	
138	887.453	9	35	0.6	
139	887.453	9	36	0.6	
140	887.453	9	37	0.6	
141	887.962	1	176	0.06666666666666667	
142	903.592	6	50	0.4	
143	903.632	4	71	0.26666666666666666	
144	903.673	2	118	0.13333333333333333	
145	903.872	3	91	0.2	
146	903.927	3	92	0.2	
147	921.2865	1500	1	100.0	
148	922.8092	1050	2	70.0	
149	923.7538	810	3	54.0	
150	941.346	200	4	13.333333333333334	
151	942.193	200	5	13.333333333333334	
152	943.711	200	6	13.333333333333334	
153	943.76	50	12	3.3333333333333335	
154	944.503	50	13	3.3333333333333335	
155	945.543	100	8	6.666666666666667	
156	947.7860000000001	70	10	4.666666666666667	
157	947.9830000000001	20	21	1.3333333333333333	
158	949.916	25	19	1.6666666666666667	
159	950.1210000000001	20	22	1.3333333333333333	
160	963.313	80	9	5.333333333333333	
161	964.9568	120	7	8.0	
162	967.2283	30	16	2.0	
163	967.2531	25	20	1.6666666666666667	
164	967.75	1	177	0.06666666666666667	
165	967.8919999999999	1	178	0.06666666666666667	
166	968.0561	35	15	2.3333333333333335	
167	968.0809	50	14	3.3333333333333335	
168	968.6110000000001	2	119	0.13333333333333333	
169	969.7408	12	27	0.8	
170	990.9699	5	59	0.3333333333333333	
171	991.185	2	120	0.13333333333333333	
172	991.2156	3	93	0.2	
173	992.36	1	179	0.06666666666666667	
174	993.2359	4	72	0.26666666666666666	
175	994.9830000000001	5	60	0.3333333333333333	
176	995.8859	5	61	0.3333333333333333	
177	996.2989	3	94	0.2	
178	997.171	1	180	0.06666666666666667	
179	1001.85	4	73	0.26666666666666666	
