	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	203.98	500	2	83.33333333333333	
1	207.48	500	3	83.33333333333333	
2	216.42	500	4	83.33333333333333	
3	233.28	150	22	25.0	
4	241.35	600	1	100.0	
5	254.8	300	7	50.0	
6	432.87	120	33	20.0	
7	433.03	100	43	16.666666666666668	
8	473.08	500	5	83.33333333333333	
9	473.9	400	6	66.66666666666667	
10	474.22	300	8	50.0	
11	536.55	100	44	16.666666666666668	
12	536.99	120	34	20.0	
13	537.41	110	42	18.333333333333332	
14	632.56	200	13	33.333333333333336	
15	683.13	150	23	25.0	
16	699.069	120	35	20.0	
17	699.1792	100	45	16.666666666666668	
18	701.0809	200	14	33.333333333333336	
19	701.3875	150	24	25.0	
20	706.2065	300	9	50.0	
21	757.51	200	15	33.333333333333336	
22	758.34	250	12	41.666666666666664	
23	759.22	150	25	25.0	
24	760.68	120	36	20.0	
25	800.1	300	10	50.0	
26	803.64	200	16	33.333333333333336	
27	806.09	120	37	20.0	
28	806.53	120	38	20.0	
29	808.11	120	39	20.0	
30	809.32	150	26	25.0	
31	809.47	150	27	25.0	
32	814.93	180	20	30.0	
33	815.2	150	28	25.0	
34	815.77	200	17	33.333333333333336	
35	816.31	180	21	30.0	
36	818.29	150	29	25.0	
37	818.5	100	46	16.666666666666668	
38	819.46	120	40	20.0	
39	844.047	150	30	25.0	
40	845.038	150	31	25.0	
41	874.233	150	32	25.0	
42	891.886	300	11	50.0	
43	896.969	100	47	16.666666666666668	
44	900.197	200	18	33.333333333333336	
45	903.861	200	19	33.333333333333336	
46	908.314	80	49	13.333333333333334	
47	908.879	120	41	20.0	
48	914.083	80	50	13.333333333333334	
49	918.188	60	51	10.0	
50	927.112	60	52	10.0	
51	943.25	100	48	16.666666666666668	
52	982.558	60	53	10.0	
