	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	235.4319	80	217	0.27586206896551724	
1	242.8095	160	178	0.5517241379310345	
2	256.9469	40	233	0.13793103448275862	
3	293.183	130	194	0.4482758620689655	
4	330.1734	420	112	1.4482758620689655	
5	330.7534	430	110	1.4827586206896552	
6	332.2231	260	144	0.896551724137931	
7	332.9988	270	143	0.9310344827586207	
8	335.1246	1400	26	4.827586206896552	
9	336.6333	500	88	1.7241379310344827	
10	349.9672	200	161	0.6896551724137931	
11	354.8083	190	167	0.6551724137931034	
12	357.7243	30	235	0.10344827586206896	
13	362.8345	40	232	0.13793103448275862	
14	362.9144	150	182	0.5172413793103449	
15	363.9902	60	228	0.20689655172413793	
16	364.3838	70	226	0.2413793103448276	
17	364.4595	60	229	0.20689655172413793	
18	364.783	90	212	0.3103448275862069	
19	365.0159	80	218	0.27586206896551724	
20	365.2533	90	213	0.3103448275862069	
21	365.327	180	173	0.6206896551724138	
22	365.3928	50	231	0.1724137931034483	
23	365.6819	80	219	0.27586206896551724	
24	365.7213	80	220	0.27586206896551724	
25	365.8125	100	204	0.3448275862068966	
26	366.1267	100	205	0.3448275862068966	
27	366.4827	110	201	0.3793103448275862	
28	366.4907	90	214	0.3103448275862069	
29	366.5993	120	196	0.41379310344827586	
30	367.1627	120	197	0.41379310344827586	
31	367.2951	120	198	0.41379310344827586	
32	367.4859	80	221	0.27586206896551724	
33	367.8368	140	189	0.4827586206896552	
34	368.2919	130	195	0.4482758620689655	
35	368.6559	140	190	0.4827586206896552	
36	368.7261	90	215	0.3103448275862069	
37	369.5409	150	183	0.5172413793103449	
38	369.6613	150	184	0.5172413793103449	
39	370.3078	100	206	0.3448275862068966	
40	370.5901	250	148	0.8620689655172413	
41	370.6674	180	174	0.6206896551724138	
42	370.9173	150	185	0.5172413793103449	
43	371.1279	140	191	0.4827586206896552	
44	372.3628	100	207	0.3448275862068966	
45	372.5165	190	168	0.6551724137931034	
46	373.1926	180	175	0.6206896551724138	
47	374.5958	200	162	0.6896551724137931	
48	375.10699999999997	140	192	0.4827586206896552	
49	375.9493	190	169	0.6551724137931034	
50	377.37300000000005	220	156	0.7586206896551724	
51	378.0527	70	227	0.2413793103448276	
52	378.8918	190	170	0.6551724137931034	
53	379.7502	240	150	0.8275862068965517	
54	379.7526	100	208	0.3448275862068966	
55	380.7424	200	163	0.6896551724137931	
56	381.202	200	164	0.6896551724137931	
57	381.2044	80	222	0.27586206896551724	
58	384.3325	220	157	0.7586206896551724	
59	385.2144	280	138	0.9655172413793104	
60	386.5451	240	151	0.8275862068965517	
61	386.7067	290	134	1.0	
62	391.9566	250	149	0.8620689655172413	
63	392.4184	280	139	0.9655172413793104	
64	392.5872	280	140	0.9655172413793104	
65	392.9607	280	141	0.9655172413793104	
66	393.3523	140	193	0.4827586206896552	
67	393.5056	290	135	1.0	
68	393.5099	110	202	0.3793103448275862	
69	393.6037	260	145	0.896551724137931	
70	394.0711	170	176	0.5862068965517241	
71	394.08	500	89	1.7241379310344827	
72	394.3747	230	154	0.7931034482758621	
73	394.9374	150	186	0.5172413793103449	
74	395.0636	210	159	0.7241379310344828	
75	395.06699999999995	150	187	0.5172413793103449	
76	395.3095	240	152	0.8275862068965517	
77	395.9961	150	188	0.5172413793103449	
78	396.4581	220	158	0.7586206896551724	
79	396.9261	700	66	2.413793103448276	
80	397.0043	500	90	1.7241379310344827	
81	397.3072	190	171	0.6551724137931034	
82	397.8929	260	146	0.896551724137931	
83	398.9593	260	147	0.896551724137931	
84	399.7174	300	131	1.0344827586206897	
85	401.0806	350	124	1.206896551724138	
86	402.0882	360	122	1.2413793103448276	
87	403.0377	1000	49	3.4482758620689653	
88	403.2379	500	91	1.7241379310344827	
89	403.3191	160	179	0.5517241379310345	
90	403.8642	370	121	1.2758620689655173	
91	405.2512	420	113	1.4482758620689655	
92	406.0923	390	120	1.3448275862068966	
93	407.0718	440	107	1.5172413793103448	
94	407.0805	360	123	1.2413793103448276	
95	407.6147	410	116	1.4137931034482758	
96	408.7344	340	127	1.1724137931034482	
97	408.7442	290	136	1.0	
98	409.6063	500	92	1.7241379310344827	
99	412.8213	500	93	1.7241379310344827	
100	415.8526	600	75	2.0689655172413794	
101	418.5424	520	87	1.793103448275862	
102	419.2777	530	86	1.8275862068965518	
103	419.3148	320	129	1.103448275862069	
104	420.1534	500	94	1.7241379310344827	
105	420.2209	430	111	1.4827586206896552	
106	420.2522	190	172	0.6551724137931034	
107	420.37800000000004	320	130	1.103448275862069	
108	421.2036	700	67	2.413793103448276	
109	421.32300000000004	440	108	1.5172413793103448	
110	421.4246	440	109	1.5172413793103448	
111	422.4698	700	68	2.413793103448276	
112	422.6771	450	103	1.5517241379310345	
113	422.6826	450	104	1.5517241379310345	
114	424.001	600	76	2.0689655172413794	
115	424.2399	600	77	2.0689655172413794	
116	424.3868	500	95	1.7241379310344827	
117	425.2939	700	69	2.413793103448276	
118	425.8745	240	153	0.8275862068965517	
119	425.9013	420	114	1.4482758620689655	
120	426.23199999999997	700	70	2.413793103448276	
121	426.566	500	96	1.7241379310344827	
122	428.8145	600	78	2.0689655172413794	
123	429.4148	600	79	2.0689655172413794	
124	430.8105	700	64	2.413793103448276	
125	431.3182	110	200	0.3793103448275862	
126	431.9053	900	59	3.103448275862069	
127	431.92199999999997	340	128	1.1724137931034482	
128	432.1953	600	80	2.0689655172413794	
129	432.6445	300	132	1.0344827586206897	
130	433.2439	600	81	2.0689655172413794	
131	433.7664	1100	42	3.793103448275862	
132	433.7891	420	115	1.4482758620689655	
133	434.075	700	71	2.413793103448276	
134	436.171	800	61	2.7586206896551726	
135	436.9365	700	72	2.413793103448276	
136	437.94699999999995	680	73	2.3448275862068964	
137	438.582	800	62	2.7586206896551726	
138	440.6009	410	117	1.4137931034482758	
139	441.2621	160	180	0.5517241379310345	
140	441.8087	400	118	1.3793103448275863	
141	443.8044	1000	50	3.4482758620689653	
142	445.1804	90	216	0.3103448275862069	
143	446.3301	1000	51	3.4482758620689653	
144	448.0507	440	106	1.5172413793103448	
145	452.2301	470	102	1.6206896551724137	
146	453.1348	500	97	1.7241379310344827	
147	453.2375	1000	52	3.4482758620689653	
148	458.2993	1100	43	3.793103448275862	
149	460.7331	29000	1	100.0	
150	467.775	600	82	2.0689655172413794	
151	467.8326	1000	47	3.4482758620689653	
152	468.8546	1400	27	4.827586206896552	
153	470.3984	110	203	0.3793103448275862	
154	471.2146	1000	53	3.4482758620689653	
155	471.2347	600	83	2.0689655172413794	
156	471.3959	160	181	0.5517241379310345	
157	472.2278	1600	20	5.517241379310345	
158	472.9466	220	155	0.7586206896551724	
159	474.1922	1600	21	5.517241379310345	
160	475.5495	700	65	2.413793103448276	
161	478.3782	1500	22	5.172413793103448	
162	478.43199999999996	1700	17	5.862068965517241	
163	481.1881	2300	10	7.931034482758621	
164	483.2043	2900	7	10.0	
165	485.5045	1200	36	4.137931034482759	
166	486.87	1200	37	4.137931034482759	
167	486.917	1100	44	3.793103448275862	
168	487.2493	1500	23	5.172413793103448	
169	487.6075	1200	38	4.137931034482759	
170	489.19800000000004	1500	24	5.172413793103448	
171	489.2639	1100	45	3.793103448275862	
