	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	369.358	450	29	15.0	
1	370.012	450	30	15.0	
2	370.312	300	56	10.0	
3	374.504	650	12	21.666666666666668	
4	375.935	650	13	21.666666666666668	
5	376.114	350	45	11.666666666666666	
6	376.514	1700	3	56.666666666666664	
7	378.353	600	18	20.0	
8	378.992	410	35	13.666666666666666	
9	379.22	390	37	13.0	
10	383.026	1500	6	50.0	
11	383.342	540	23	18.0	
12	388.334	330	49	11.0	
13	388.822	480	25	16.0	
14	389.464	490	24	16.333333333333332	
15	389.599	330	50	11.0	
16	389.789	330	51	11.0	
17	390.133	1600	5	53.333333333333336	
18	390.806	480	26	16.0	
19	390.914	380	40	12.666666666666666	
20	390.955	330	52	11.0	
21	391.543	650	14	21.666666666666668	
22	401.004	300	57	10.0	
23	401.326	330	53	11.0	
24	402.288	220	90	7.333333333333333	
25	402.477	370	41	12.333333333333334	
26	403.228	870	8	29.0	
27	403.622	350	46	11.666666666666666	
28	403.886	210	93	7.0	
29	405.412	430	32	14.333333333333334	
30	406.037	410	36	13.666666666666666	
31	406.158	1300	7	43.333333333333336	
32	407.522	260	70	8.666666666666666	
33	408.124	390	38	13.0	
34	408.66	210	94	7.0	
35	409.219	210	95	7.0	
36	409.449	260	71	8.666666666666666	
37	410.537	650	15	21.666666666666668	
38	411.25	300	58	10.0	
39	411.992	260	72	8.666666666666666	
40	414.351	280	67	9.333333333333334	
41	415.853	350	47	11.666666666666666	
42	416.909	240	79	8.0	
43	416.932	240	80	8.0	
44	417.105	240	81	8.0	
45	417.26	240	82	8.0	
46	417.282	240	83	8.0	
47	417.347	260	73	8.666666666666666	
48	418.621	240	84	8.0	
49	418.716	300	59	10.0	
50	419.674	390	39	13.0	
51	420.374	650	16	21.666666666666668	
52	420.649	600	19	20.0	
53	421.35	300	60	10.0	
54	421.509	480	27	16.0	
55	421.756	300	61	10.0	
56	421.916	260	74	8.666666666666666	
57	422.428	260	75	8.666666666666666	
58	423.189	260	76	8.666666666666666	
59	423.282	480	28	16.0	
60	423.535	300	62	10.0	
61	425.524	370	42	12.333333333333334	
62	426.366	260	77	8.666666666666666	
63	426.634	650	17	21.666666666666668	
64	426.969	330	54	11.0	
65	427.521	220	91	7.333333333333333	
66	428.97	300	63	10.0	
67	429.836	370	43	12.333333333333334	
68	429.99	300	64	10.0	
69	430.295	240	85	8.0	
70	430.718	240	86	8.0	
71	431.042	450	31	15.0	
72	431.156	300	65	10.0	
73	431.325	370	44	12.333333333333334	
74	431.883	2200	2	73.33333333333333	
75	432.223	600	20	20.0	
76	432.643	3000	1	100.0	
77	432.89	240	87	8.0	
78	433.212	600	21	20.0	
79	433.643	870	9	29.0	
80	433.764	600	22	20.0	
81	433.841	1700	4	56.666666666666664	
82	434.062	700	11	23.333333333333332	
83	434.253	430	33	14.333333333333334	
84	435.609	280	68	9.333333333333334	
85	435.681	870	10	29.0	
86	436.016	280	69	9.333333333333334	
87	437.202	220	92	7.333333333333333	
88	438.245	330	55	11.0	
89	438.823	300	66	10.0	
90	439.091	260	78	8.666666666666666	
91	442.019	140	99	4.666666666666667	
92	442.31	350	48	11.666666666666666	
93	443.272	110	101	3.6666666666666665	
94	443.612	240	88	8.0	
95	443.938	110	102	3.6666666666666665	
96	444.804	240	89	8.0	
97	446.769	110	103	3.6666666666666665	
98	449.307	430	34	14.333333333333334	
99	451.152	150	98	5.0	
100	453.413	45	158	1.5	
101	453.714	45	159	1.5	
102	453.723	45	160	1.5	
103	454.907	110	104	3.6666666666666665	
104	455.045	110	105	3.6666666666666665	
105	455.646	110	106	3.6666666666666665	
106	459.238	45	161	1.5	
107	461.196	30	188	1.0	
108	461.749	27	209	0.9	
109	463.207	65	125	2.1666666666666665	
110	463.659	65	126	2.1666666666666665	
111	464.723	80	114	2.6666666666666665	
112	465.838	60	137	2.0	
113	466.279	80	115	2.6666666666666665	
114	466.545	50	144	1.6666666666666667	
115	466.94	40	165	1.3333333333333333	
116	467.69	80	116	2.6666666666666665	
117	468.187	70	123	2.3333333333333335	
118	468.252	50	145	1.6666666666666667	
119	473.42	60	138	2.0	
120	473.993	80	117	2.6666666666666665	
121	474.78	70	124	2.3333333333333335	
122	478.678	180	96	6.0	
123	481.377	100	109	3.3333333333333335	
124	484.039	25	213	0.8333333333333334	
125	485.481	30	189	1.0	
126	491.59	95	110	3.1666666666666665	
127	492.409	35	175	1.1666666666666667	
128	492.683	35	176	1.1666666666666667	
129	492.893	50	146	1.6666666666666667	
130	493.179	65	127	2.1666666666666665	
131	497.142	29	194	0.9666666666666667	
132	497.304	29	195	0.9666666666666667	
133	498.056	29	196	0.9666666666666667	
134	499.795	55	139	1.8333333333333333	
135	502.216	50	147	1.6666666666666667	
136	502.465	29	197	0.9666666666666667	
137	503.312	50	148	1.6666666666666667	
138	505.43	55	140	1.8333333333333333	
139	506.579	55	141	1.8333333333333333	
140	507.825	110	107	3.6666666666666665	
141	508.111	24	214	0.8	
142	508.966	24	215	0.8	
143	510.109	24	216	0.8	
144	510.856	24	217	0.8	
145	511.839	35	177	1.1666666666666667	
146	512.018	24	218	0.8	
147	513.169	50	149	1.6666666666666667	
148	514.758	50	150	1.6666666666666667	
149	516.427	24	219	0.8	
150	517.013	29	198	0.9666666666666667	
151	517.061	24	220	0.8	
152	517.651	50	151	1.6666666666666667	
153	517.997	50	152	1.6666666666666667	
154	518.459	50	153	1.6666666666666667	
155	518.613	85	112	2.8333333333333335	
156	518.848	50	154	1.6666666666666667	
157	519.886	50	155	1.6666666666666667	
158	520.277	35	178	1.1666666666666667	
159	520.455	40	166	1.3333333333333333	
160	520.797	40	167	1.3333333333333333	
161	521.428	40	168	1.3333333333333333	
162	522.199	40	169	1.3333333333333333	
163	522.812	120	100	4.0	
164	523.511	40	170	1.3333333333333333	
165	524.871	75	118	2.5	
166	527.503	24	221	0.8	
167	528.105	75	119	2.5	
168	530.472	65	128	2.1666666666666665	
169	530.819	29	199	0.9666666666666667	
170	530.946	29	200	0.9666666666666667	
171	531.923	110	108	3.6666666666666665	
172	533.104	35	179	1.1666666666666667	
173	533.79	65	129	2.1666666666666665	
174	533.859	35	180	1.1666666666666667	
175	535.488	160	97	5.333333333333333	
176	536.972	75	120	2.5	
177	537.598	75	121	2.5	
178	541.365	29	201	0.9666666666666667	
179	541.62	29	202	0.9666666666666667	
180	542.643	29	203	0.9666666666666667	
181	544.338	35	181	1.1666666666666667	
182	545.7	29	204	0.9666666666666667	
183	545.981	55	142	1.8333333333333333	
184	548.145	24	222	0.8	
185	550.961	55	143	1.8333333333333333	
186	551.454	50	156	1.6666666666666667	
187	552.412	65	130	2.1666666666666665	
188	552.562	24	223	0.8	
189	556.593	35	182	1.1666666666666667	
190	563.88	29	205	0.9666666666666667	
191	568.648	40	171	1.3333333333333333	
192	574.758	85	113	2.8333333333333335	
193	576.266	24	224	0.8	
194	579.564	75	122	2.5	
195	581.536	65	131	2.1666666666666665	
196	584.297	29	206	0.9666666666666667	
197	585.107	65	132	2.1666666666666665	
198	587.062	65	133	2.1666666666666665	
199	589.884	35	183	1.1666666666666667	
200	590.24	24	225	0.8	
201	590.471	35	184	1.1666666666666667	
202	592.078	65	134	2.1666666666666665	
203	593.938	50	157	1.6666666666666667	
204	594.017	35	185	1.1666666666666667	
205	595.117	24	226	0.8	
206	603.897	29	207	0.9666666666666667	
207	603.938	29	208	0.9666666666666667	
208	629.243	24	227	0.8	
209	651.868	35	186	1.1666666666666667	
210	658.182	35	187	1.1666666666666667	
211	670.261	40	172	1.3333333333333333	
212	689.995	45	162	1.5	
213	690.198	40	173	1.3333333333333333	
214	711.269	11	238	0.36666666666666664	
215	718.748	10	241	0.3333333333333333	
216	720.428	65	135	2.1666666666666665	
217	723.498	19	231	0.6333333333333333	
218	725.773	40	174	1.3333333333333333	
219	731.157	17	232	0.5666666666666667	
220	747.215	9	242	0.3	
221	748.454	22	228	0.7333333333333333	
222	749.545	9	243	0.3	
223	749.612	45	163	1.5	
224	751.14	27	210	0.9	
225	758.749	27	211	0.9	
226	759.024	45	164	1.5	
227	759.644	65	136	2.1666666666666665	
228	762.405	22	229	0.7333333333333333	
229	762.781	30	190	1.0	
230	773.763	30	191	1.0	
231	779.32	22	230	0.7333333333333333	
232	786.499	15	234	0.5	
233	788.57	6	246	0.2	
234	791.311	6	247	0.2	
235	795.531	13	235	0.43333333333333335	
236	799.803	11	239	0.36666666666666664	
237	800.104	17	233	0.5666666666666667	
238	805.38	6	248	0.2	
239	816.417	27	212	0.9	
240	817.17	13	236	0.43333333333333335	
241	821.257	95	111	3.1666666666666665	
242	821.433	11	240	0.36666666666666664	
243	825.908	8	245	0.26666666666666666	
244	850.27	13	237	0.43333333333333335	
245	851.18	30	192	1.0	
246	860.34	30	193	1.0	
247	867.825	9	244	0.3	
