	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	409.4187	100000	1	100.0	B+
1	410.5841	95000	2	95.0	B+
2	418.7615	88000	3	88.0	C+
3	371.7914	77000	4	77.0	C+
4	388.3132	68000	5	68.0	B+
5	420.3727	60000	6	60.0	C+
6	388.7348	54000	7	54.0	B+
7	374.4064	50000	8	50.0	B+
8	391.6477	35000	9	35.0	C+
9	435.9928	27000	10	27.0	C+
10	375.1806	17000	11	17.0	C+
11	394.927	15000	12	15.0	C+
12	438.6434	14000	13	14.0	C+
13	341.0048	8500	14	8.5	D+
14	379.8541	7700	15	7.7	B
15	473.3335	6800	16	6.8	C+
16	530.7116	6500	17	6.5	B
17	380.7719	6000	18	6.0	B+
18	567.5835	5200	19	5.2	B+
19	297.3218	4900	20	4.9	B+
20	317.2654	4500	21	4.5	B
21	389.6617	4400	22	4.4	B+
22	348.7379	4200	23	4.2	B
23	353.791	4200	24	4.2	B
24	356.3876	4200	25	4.2	B+
25	356.7356	4200	26	4.2	B+
26	413.8334	4000	27	4.0	B+
27	363.8408	3800	28	3.8	D+
28	404.4474	3800	29	3.8	B+
29	422.2671	3800	30	3.8	D
30	255.2764	3600	31	3.6	C
31	308.1121	3600	32	3.6	B+
32	340.5967	3600	33	3.6	B
33	304.687	3400	34	3.4	C+
34	341.259	3400	35	3.4	D
35	341.6588	3400	36	3.4	B
36	342.9332	3400	37	3.4	D
37	347.6692	3400	38	3.4	
38	348.0975	3400	39	3.4	B
39	349.9948	3400	40	3.4	C
40	356.0916	3400	41	3.4	C
41	324.6963	3200	42	3.2	B
42	382.6386	2900	43	2.9	B+
43	384.0869	2900	44	2.9	C+
44	358.6067	2800	45	2.8	D+
45	427.1716	2700	46	2.7	B+
46	459.9017	2700	47	2.7	C
47	563.1406	2700	48	2.7	B+
48	351.7598	2500	49	2.5	C
49	589.563	2400	50	2.4	B+
50	334.9987	2300	51	2.3	B+
51	402.423	2200	52	2.2	D+
52	331.865	2100	53	2.1	B+
53	346.7513	2100	54	2.1	D+
54	355.5818	2100	55	2.1	B+
55	285.4166	2000	56	2.0	B
56	439.442	2000	57	2.0	
57	646.0261	2000	58	2.0	B+
58	576.4287	1900	59	1.9	B
59	364.6703	1800	60	1.8	B
60	259.6489	1700	61	1.7	B+
61	291.4839	1700	62	1.7	
62	338.0534	1700	63	1.7	B+
63	339.3186	1700	64	1.7	
64	344.7353	1700	65	1.7	B+
65	468.192	1600	66	1.6	
66	312.2533	1500	67	1.5	B+
67	314.2433	1500	68	1.5	B+
68	318.0565	1500	69	1.5	B+
69	429.8365	1500	70	1.5	C
70	451.9595	1500	71	1.5	B+
71	506.0895	1500	72	1.5	B
72	325.1782	1400	73	1.4	B+
73	439.6495	1400	74	1.4	B
74	495.7175	1400	75	1.4	B+
75	597.1264	1400	76	1.4	B+
76	755.833	1400	77	1.4	B+
77	755.833	1400	78	1.4	B+
78	252.7022	1300	79	1.3	C+
79	356.9805	1300	80	1.3	B+
80	338.0688	1200	81	1.2	B+
81	414.9144	1200	82	1.2	B
82	415.8601	1200	83	1.2	B+
83	439.596	1200	84	1.2	B
84	445.4033	1200	85	1.2	B+
85	465.5087	1200	86	1.2	D
86	469.1111	1200	87	1.2	B+
87	684.4262	1200	88	1.2	B+
88	260.1092	1100	89	1.1	C+
89	454.8597	1100	90	1.1	B+
90	472.426	1100	91	1.1	B+
91	677.9767	1100	92	1.1	C
92	793.084	1100	93	1.1	C+
93	341.8625	1000	94	1.0	C
94	350.0918	1000	95	1.0	B+
95	344.5668	990	96	0.99	C+
96	397.6679	950	97	0.95	D+
97	459.6626	950	98	0.95	B
98	464.3125	950	99	0.95	B+
99	511.397	950	100	0.95	B+
100	660.4955	950	101	0.95	B+
101	801.79	950	102	0.95	B+
102	251.3778	900	103	0.9	B
103	413.8387	900	104	0.9	B
104	349.9446	870	105	0.87	B+
105	351.4112	850	106	0.85	B
106	357.5291	850	107	0.85	B+
107	378.1148	850	108	0.85	B
108	284.1123	800	109	0.8	B+
109	293.2966	800	110	0.8	C+
110	405.5809	800	111	0.8	C+
111	444.2735	800	112	0.8	B+
112	445.9986	800	113	0.8	B+
113	453.215	800	114	0.8	C+
114	456.4676	800	115	0.8	C+
115	467.5312	800	116	0.8	C+
116	506.667	800	117	0.8	B+
117	521.3376	800	118	0.8	B+
118	684.5755	800	119	0.8	C+
119	773.153	800	120	0.8	C
120	514.2886	790	121	0.79	B
121	351.9428	780	122	0.78	B+
122	323.3741	750	123	0.75	B+
123	748.108	750	124	0.75	C+
124	749.02	750	125	0.75	C
125	380.2074	700	126	0.7	B
126	410.793	700	127	0.7	B+
127	434.6484	700	128	0.7	B+
128	468.5114	700	129	0.7	C
129	475.9905	700	130	0.7	C+
130	565.8298	700	131	0.7	B+
131	426.0487	690	132	0.69	B+
132	463.396	670	133	0.67	C
133	470.1565	670	134	0.67	B+
134	339.7867	650	135	0.65	
135	329.6303	580	136	0.58	C+
136	329.9115	570	137	0.57	E
137	402.5615	570	138	0.57	C+
138	439.9723	550	139	0.55	B+
139	492.3826	550	140	0.55	C
140	576.0202	550	141	0.55	B+
141	792.751	550	142	0.55	C+
142	351.3997	530	143	0.53	B+
143	498.513	510	144	0.51	D+
144	444.7585	500	145	0.5	D+
145	446.7983	500	146	0.5	D+
146	461.3967	500	147	0.5	C+
147	492.7732	500	148	0.5	C+
148	497.89	500	149	0.5	B+
149	310.7152	490	150	0.49	B+
150	487.0367	490	151	0.49	B+
151	488.3675	490	152	0.49	C+
152	332.498	470	153	0.47	C+
153	327.1781	460	154	0.46	D+
154	436.7238	460	155	0.46	C+
155	341.7692	430	156	0.43	B+
156	442.5958	410	157	0.41	B+
157	452.4821	410	158	0.41	B
158	254.981	400	159	0.4	C+
159	262.2467	400	160	0.4	D+
160	351.3128	400	161	0.4	B
161	460.485	400	162	0.4	B+
162	460.485	400	163	0.4	B+
163	462.1716	400	164	0.4	B+
164	462.6968	400	165	0.4	B
165	510.7533	400	166	0.4	C+
166	518.5249	400	167	0.4	C
167	518.5249	400	168	0.4	C
168	529.1143	400	169	0.4	C+
169	529.4324	400	170	0.4	C+
170	529.4324	400	171	0.4	B+
171	564.26	400	172	0.4	B
172	785.608	400	173	0.4	C
173	455.7633	390	174	0.39	B+
174	516.0543	390	175	0.39	B
175	252.785	350	176	0.35	B+
176	258.342	350	177	0.35	B+
177	364.8853	350	178	0.35	
178	441.1697	350	179	0.35	C+
179	464.4579	350	180	0.35	B+
180	466.67	350	181	0.35	B+
181	467.5098	350	182	0.35	B
182	480.8679	350	183	0.35	C+
183	481.3496	350	184	0.35	C+
184	483.5754	350	185	0.35	B
185	500.1025	350	186	0.35	B
186	504.5408	350	187	0.35	C+
187	508.5086	350	188	0.35	C
188	508.5086	350	189	0.35	B
189	530.0205	350	190	0.35	
190	530.2694	350	191	0.35	B+
191	589.9473	350	192	0.35	B+
192	665.772	350	193	0.35	C+
193	379.1307	340	194	0.34	B+
194	393.7282	330	195	0.33	C+
195	341.1893	300	196	0.3	B+
196	672.1365	300	197	0.3	B+
197	672.1365	300	198	0.3	B+
198	357.5662	290	199	0.29	C+
199	505.3043	290	200	0.29	B+
200	407.7221	270	201	0.27	C
201	480.7477	270	202	0.27	B
202	480.7477	270	203	0.27	C+
203	482.8966	270	204	0.27	B
204	485.1755	270	205	0.27	B+
205	487.9194	270	206	0.27	B+
206	487.9194	270	207	0.27	B+
207	489.164	270	208	0.27	C
